start	end	text
0	8960	Hello ladies and gentlemen and welcome to The Right Opinion, the home of a twat with
8960	13460	too much free time, and, oh boy, have we got a lot to unbox today.
13460	17080	In case anyone isn't aware, I'm a man of music, I have reviewed music on this channel,
17080	20300	I've covered various controversies with regards to music, I've talked about provocative
20300	23640	content and it creates probably some of my most polarising content.
23640	26820	I'm also a trained singer-songwriter and I guarantee you when I get the chance The
26820	30700	Right Opinion is dropping a fucking fire album that blows all of these hoes out of
30700	31700	the water.
31700	34580	But that's besides the point, I've realised that now I'm doing longer content that it's
34580	38240	not going to be so easy to just chuck out my opinions on music, and often given the
38240	42140	length of the song, it's hard to talk in the mini-documentary styles that I do, but
42140	45820	that won't stop me from trying, and every now and then an absolute sitter comes in and
45820	47580	I have to take a swing.
47580	51620	Enter stage left Nicole Arbour, the comedian slash YouTube personality, has caused a fair
51620	53660	bit of commotion throughout her career.
53660	58340	Famously in 2015 she decided to release a video known as Dear Fat People, in which she
58340	62500	criticised obese individuals for their excessive weight and told them to lose it in quite a
62500	63500	crude manner.
63500	82020	A lot of people took offence to the blunt way that she attacked others, and yes it is
82020	86600	rather provocative, and revisiting it in preparation for this video, in all honesty, the only thing
86600	89540	I actually found offensive was how unfunny it was.
89540	93220	Now I accept comedy as subjective, but it was all this distraction comedy with no real
93220	94220	punchline to me.
94220	97680	But yeah, that regardless I can understand why people were annoyed by it, and in true
97680	101360	controversial fashion she released a part too, I assume because she had so much more
101360	105000	to develop from the first one, but it had been a couple years and she had ducked down
105000	107900	to the public eye, I certainly wasn't thinking about her.
107900	112060	As a stage right, Donald Glover aka Childish Gambino, the jack of all trades, has been
112060	116120	praised for his work all over the spectrum of media from script writing to music production,
116120	119860	I have to give him props for that, I respect that grind, but realising that he had yet
119860	123720	to make a vociferous political statement, he decided that why not infuse that with his
123720	126300	natural talents, and brought us This is America.
126300	130660	The meticulously crafted creation impressed me on both a technical level and an interpretive
130660	131660	level.
131660	135220	As someone who really does enjoy artistry, I cannot express how much I appreciate the
