start	end	text
0	8680	Hello ladies and gentlemen, and welcome to The Right Opinion, the home of a twat with too much free time,
8680	12440	and there are many ways that celebrities may immortalise themselves in popular culture,
12440	17680	maybe they pioneered a defining industry, maybe they released a series of critically acclaimed albums,
17680	24560	or maybe they died young. I know that was a bit of an abrupt segue, but there is a morbid fascination we have
24560	28360	with celebrities who didn't necessarily bow out in the most graceful fashion,
28400	33640	when someone with such great potential and apparent success is victim to the tragedy of a premature demise,
33640	38560	particularly those of artificial sorts, we're left thinking about what might have been for that individual,
38560	42760	and we're also encouraged to reflect on the industry that may have manufactured such an outcome.
42760	47480	Now make no mistake, some of these individuals were incredibly prolific regardless of their depth,
47480	51880	and you don't want to overstate their depth as if to take away from their artistic contribution,
51880	55880	but when someone passes away, that contribution is often frozen in that moment,
55880	60440	and we are drawn to the attention of what that death has taken away from us as individuals.
60440	65080	A really great example of that was Stefan Karl Steffensen, the guy who played Robbie Rotten,
65080	69320	and provided me and many others with the numerous memes that yielded from We Are Number One.
69320	76200	His diagnosis, recovery, relapse, and eventual death was an emotional rollercoaster that many people were on all the way,
76200	80200	but his death reflected something else. Because we were there throughout the situation,
80200	85080	we had time to provide our support to someone we loved. Popular individuals dying prematurely
85080	91080	is not the most common event, and often what is even rarer is being able to foresee the possibility of that death,
91080	97400	as many people don't go public about it, and therefore the journey to that destination is often a fight we want to be there for.
97400	102280	There's an emotional battle that gives us purpose, to know that we might make a difference in that battle.
102280	107640	Therefore, it was natural that when people found out that today's subjects were dying, they wanted to show their support.
107640	112360	Who are those subjects? Well, they are a pair of YouTubers by the name of Xtreme Games,
112360	119240	the Australian brothers of Thomas and Jonathan, who do what you want to see, have fun, play games, and chill.
119240	124120	They describe their content as family friendly, and kid friendly, and in their five years on YouTube,
124120	130440	they've built up a fairly sturdy subscriber count of 4.24 million, and over 314 million views.
130440	136200	Pretty impressive. Where did those views come from? Well, who remembers Pro Gamer Jay? No one?
136200	141240	Well, let me refresh your memory. A couple years back, he was the punching bag for many commentators
141240	147320	who found his content a bit, well, laughable. He was notorious for rather misleading, albeit amusing, clickbait.
147320	152920	His most well known was a video that was titled, If You See Red Then You Are Colorblind, or Words To That Effect,
152920	157080	as he has changed it since then, the cheeky bugger. However, although many people picked on him,
157080	162120	maybe due to his delivery, he was part of a greater trend that was represented by multiple creators,
162120	167080	even to this day, that rated the power of leading your audience to believe that they were doing something
167080	170360	with higher stakes than what actually happened in the video.
170360	174360	Now, with that said, a lot of these channels specialised in various areas of clickbait.
174360	178840	There was obviously a significant amount of overlap, but they all occupied various corners.
178840	183560	Honestly, these videos should have died out much faster than they did, but some have, in fact, persisted.
183560	188120	The ones who have either grew into the creative maestros, such as Mr. Beast, who actually followed through
188120	194040	on their clickbaits, or a level of uninspired irony that I and other audiences appear still to be attempting
194040	196840	to understand, such as Mork's.
196840	204760	Guys, I'm so close, but I'm just not sure what the item is. What could come after B-O-O?
204760	212360	Wait a minute! Book! I guessed the letter K! Guys, what could that final letter be?
212360	216760	A math book! A mal book! A mad book! A mad book!
216760	221560	However, many of these creators also lost a lot of traction, with the introduction of corporate channels
221560	226120	like Brightside, who can just pump out these dire informational videos on a regular basis.
226120	230680	Many individual creators realised that they couldn't compete, and only channels who were doing things
230680	233640	that weren't just based on clickbait managed to survive.
233640	238760	Extreme Games were one of the channels that appeared to have gained most of their prominence off this trend initially.
238760	243800	Although they clearly had some presence prior to two years ago, this is the only content that really is still
243800	247880	accessible on their channel. In fact, one of the things that I found while researching their videos
247880	251000	is that they removed them at an unbelievably high rate.
251000	257000	However, like many channels around this time, Extreme Games were the victim to the demise of that brand of content.
257000	264200	Extreme Games at their peak seemed to specialise in Nerf gun mods, DIY fidget spinners, and DIY Nerf guns.
264200	267720	Basically mixing and matching various trends at that point.
267720	271880	Now, there's been worse clickbait to be honest, but it became very clear that people were not going to be won over
