start	end	text
0	28080	🎵Music🎵
28080	33280	Hello ladies and gentlemen, and welcome to The Right Opinion, the home of a twat with too much free time.
33280	37520	And today, we're gonna be reacting to Danielle Bregoli on Dr. Phil!
37520	41360	Whoa, whoa, whoa, whoa, whoa, what the fuck do you think you're doing here, Benji?
41360	43040	What on earth do you think you're doing? Shut up!
43040	47200	Well, dude, since you've been changing your content recently, I thought I would modernize it.
47200	49120	That's the word you use, right? Modernize?
49120	54560	Oh, look at me, I'm The Right Opinion, and this mutiny of my content creation hub is a travesty.
54560	57200	Hmm, let me publish a thesis on this catastrophe.
57200	61920	I love to use a prolific amount of big boy words because I'm insecure about my monocle.
61920	64320	You are not an invited guest. Goodbye.
65280	68400	This is a right opinion video, not a democracy.
68400	72880	And although topics have changed, I'll still be covering some more serious issues that you're familiar with.
72880	75840	Basically, I'll be doing what I find fun and somewhat original,
75840	78960	and I hope you guys in the Tro family will find it fun too.
78960	80800	But let's talk about family for a moment.
80800	82800	Whether that family is biological, adopted,
82800	85440	or just a group of people that you share a unique connection with,
85440	87760	they play a real role in shaping you as a person,
87760	89920	and can help you through some of your hardest times.
89920	91520	That should never be underrated.
91520	93360	But what if that family is Greg Paul?
94080	97280	Well, that's the scenario that Jake and Logan find themselves in.
97280	101280	It makes sense, he's their biological father, but he's not your normal dad of a YouTuber,
101280	104000	the one who stands, hopefully supportively, on the sidelines.
104000	106160	He clearly enjoys basking in the spotlight,
106160	108960	and on principle there is nothing wrong with that time of the belief that
108960	111120	age should not constrain one's capacity,
111120	113120	and even if the doorway is via nepotism,
113120	117280	they may still have the character independent from the familial factor to redeem that.
117280	120320	The 54 year old is a character without a doubt,
120320	122960	but he clearly does want to involve himself in his son's lives,
122960	124240	and we'll touch on this later.
124240	127360	Jake and Logan Paul have established clout within their own rights,
127360	129920	but still appear to appreciate the presence of their father.
129920	132240	In one event, which I won't be discussing today,
132240	134160	Gregory here featured in one of Jake's videos,
134160	135360	and made out with a fan,
135360	137680	and although it's weird and marginally unsettling,
137680	140000	it's been ran into the ground by everyone under the sun,
140000	142400	and I think people have mostly made their mind up on it.
143440	147120	However, it is important that we provide some background for what inspired this video.
147120	151040	It was May, the Earth was rotating on its axis like any normal day,
151040	153040	but it wasn't any normal day for Team 10,
153040	156720	in fact it was quite an eventful period of time for Jake Paul and his comrades,
156720	159200	because on May the 5th, the COO of Team 10,
159200	163600	Nick Crompton, you know, the person who claimed that England was his city, stepped down.
163600	166480	Nick Crompton had been noted for his staunch devotion to Jake Paul,
166480	169360	and even in his divorce statement, he kept it relatively civil,
169360	171520	and urged people not to blindly hate on Jake.
171520	174800	However, an indirect recipient of the underlying message within the letter
174800	176800	seemed to be Mr. Gregory Paul himself.
176800	178640	It was also not long before Charles Sutton,
178640	180560	another highly distinguished member of the troop,
180560	182400	decided it was time for him to part ways,
182400	186000	and eventually, after a fair bit of digging, various hypotheses were stated.
186000	188640	The main one being that Greg Paul, in question,
188640	192000	had assumed control of many of Jake's assets within the Team 10 business,
192000	193920	and had since been making some ruthless cut.
193920	198800	To put it quaintly, he had taken up the role of Team 10's own personal human resources department.
198800	200560	There were some elaborate stories,
200560	203200	some that included various details of possible merger,
203200	205440	and more individual developments that we'll discuss later,
205440	209120	but that is the core story that is mostly confirmed from both sides.
209120	212560	I follow this vaguely, and often it's something I would not rather touch on,
212560	215200	but I do believe there is a greater commentary that can be made out of
215200	219040	Greg Paul, his demeanour, and various relationships that this story encompasses.
219040	221920	Both Jake and Logan have their fair share of controversies,
221920	224320	Logan with the obvious, and Jake with the consistency,
224320	227120	and once again I stress that Jake and Logan can act how they want,
227120	229040	and the public will judge them as they do,
229040	232720	but if they want to be slightly more positive role models than the ones they're currently,
232720	235440	a mediating actor could be genuinely beneficial.
235440	236800	However, what I've found today,
236800	240400	tends to lend support to the fact that this could actually be rather detrimental.
241280	243280	No one's obliged to be great human beings,
243280	246080	however if you want to lecture people on what's right and what's wrong,
246080	247680	you better practice what you preach,
247680	251280	something that I find fundamentally lacking for all parties involved today.
251280	252720	I never do things lightweight here,
252720	255600	and although I'm leaning very heavily on the trending topic genre,
255600	257280	moreover than I ever have in the past,
257280	261520	do not expect any less of a serious analysis with various hypotheses integrated.
261520	264720	This is what we do here, on the right fucking opinion.
266880	270160	So, without further ado, let's get to it.
281360	292000	I think it's best to start an analysis with a bit of background.
292000	295280	Greg Paul started up his Vine in light of Logan and Jake's success,
295280	297520	and although the Vine account doesn't appear to be up anymore,
297520	301200	I have found a compilation of clips that seem to reflect the sort of content that he made.
301200	303760	Given the fact that obviously his sons had Vine accounts too,
303760	307120	it's fairly easy to compare and contrast the sort of content that they produced.
307120	309200	Logan and Jake had a high energy style,
309200	311840	that whether you find funny or not, clearly had its appeal.
311840	314240	It was well produced, the punchlines were mostly on point,
314240	316800	and their choice of topics were diverse enough to have a novelty,
316800	318720	while similar enough to retain an audience.
318720	320960	Greg's content tended to revolve around a few things,
320960	324880	either captioning videos on the internet, interacting with his family, or yoga.
324880	326400	It's an interesting compilation.
326400	330240	Now, as intriguing as the yoga might be, I'm more interested in the second point there.
330240	334560	You see, through these, Greg Paul built his reputation as Logan and Jake Paul's dad.
334560	335760	Duh, I hear you say.
335760	336960	Well, that's who he is.
336960	338160	But it's not that simple.
338160	341280	For example, I assume most of the audience watching this video have parents,
341280	344560	but those parents don't go around branding themselves as your parents,
344560	346080	although it is factually true.
346080	349680	A significant proportion of Greg Paul's Vine and subsequent YouTube content
349680	352720	is dedicated to the misadventures with his two sons.
352720	355600	It makes sense, and I'm not saying it's a necessarily bad thing,
355600	357840	but it does set up premises for later statements.
357840	360000	It means that instead of really growing his own clout,
360000	363360	nearly all of his followers are confined within the Paul brothers circle.
363360	366800	This also means it makes a lot of interactions between the Paul family public,
366800	369520	which is okay again, considering Greg does seem to enjoy it.
369520	371120	But when dealing with certain levels of drama,
371120	373360	although it is family nature to defend the ones you love,
373360	375840	other times responding can just make you look worse,
375840	378240	and trying to justify unjustifiable actions
378240	381040	becomes much harder when you have journalistic attention.
381040	384720	Now, on the surface, a fair majority of his content is fairly harmless.
384720	388000	However, you can see how a mindset is created in most of his quote,
388000	391760	harmless content that follows into some of the more challenging videos of his,
391760	393920	particularly those surrounding drama.
393920	397440	So to get to the crux of the matter, we have to brush away at the surface first.
397440	400480	I think it's time to discuss the manufactured love.
400480	402240	Everyone needs a bit of love in their life,
402240	405520	but Greg Paul milks that simple fact until the cows come home.
405520	408880	It's kind of a meme, the more senior individuals within society
408880	410640	act slightly unnaturally online,
410640	413200	but Greg Paul seems to be a victim of that theory.
413200	415440	He bases his actions on the notion of love,
415440	418080	he's the sort of guy who would punch you in the name of love.
418080	420880	The haters knew how much love was out there and how much support was out there,
420880	422160	they'd shut their freaking mouths.
422880	425200	There's one video that kind of pushes this example,
425200	427920	it's the video in which Greg Paul confronts paparazzi.
427920	430720	Now, it would take someone very talented to make me feel sorry
430720	433440	for individuals who follow you around everywhere and take pictures,
433440	435840	and I'm not sure Greg Paul quite achieves that,
435840	437520	but I'll give him points for trying.
437520	440640	Being loud and obnoxious, being all in your face,
440640	442240	it's all for the love, my man.
442240	443200	Gotta have that love.
443920	446880	I've been talking about intentions a lot on this channel recently.
446880	448400	I said in my Nicole Arber video,
448400	451600	the good causes do not absolve terrible execution.
451600	454400	I do believe that many of these adults are quite aware of that,
454400	455280	they're not stupid.
455280	459040	I think Greg Paul's expression of this notion is excessively transparent,
459040	461200	but nonetheless, in spite of its contrivances,
461200	463040	some people still eat that shit up.
463040	465840	Despite the simple truth that if he'd done all the same things,
465840	467680	just out of anger or vitriol,
467680	469840	he wouldn't be given the same treatment.
470400	471280	Why is this?
471280	473200	Well, people like to justify their actions,
473200	476800	even when their actions may seem illogical to the individual in question.
476800	481040	Now, I have no doubt that there is a rationale behind the way that Greg Paul behaves,
481040	482880	but love is not that rationale.
482880	485760	Love is what he uses as a shield to deflect the idea
485760	488960	that sometimes he behaves in a less than socially aware manner.
488960	491440	This becomes increasingly transparent when you turn
491440	494320	to some of the more controversial statements that he put out.
494320	497200	My favorite video being the one he posted on his Instagram,
497200	499680	in response to the scrutiny Logan received,
499680	502240	many of it I'd argue justifiably so.
502240	503360	He made this statement.
506720	508560	Yo folks, what's happening?
508640	509760	GP coming at you.
509760	512560	Hey, a couple things I want to let everybody know that Logan is coming back.
512560	513360	That is definite.
513920	516080	A little bit of the bus update.
516080	517760	I put a new insulated floor in.
518560	520400	I've got some kitchen cabinets going in.
520400	522800	I've got a couple dressers I'm going to use for storage.
523520	524880	And it's coming along nice.
524880	526480	I'm having fun with this thing.
526480	530800	Also, the amount of love that has been coming has been unbelievable.
530800	532720	The amount of people showing support is unbelievable.
532720	534720	And I am now calling you guys super fans.
