start	end	text
0	3000	Well, here we are.
3000	8000	Fuck being on some chill shit. We go 0 to 100 nigga real quick.
8000	13000	Hello ladies and gentlemen, welcome to The Right Opinion, the home of a twat with too much free time.
13000	16000	And hey, that's pretty good.
16000	20000	It's taken its time, but I've made my first milestone a hundred.
20000	25000	Hopefully not my last achievement in my hugely successful lifespan.
25000	30000	And as a special treat, I'm going to reveal parts of my body.
30000	33000	This time, my finger.
55000	60000	And as a special treat, I'm going to reveal parts of my body.
60000	65000	And as a special treat, I'm going to reveal parts of my body.
65000	70000	And as a special treat, I'm going to reveal parts of my body.
70000	75000	And as a special treat, I'm going to reveal parts of my body.
75000	80000	And as a special treat, I'm going to reveal parts of my body.
80000	84000	And as a special treat, I'm going to reveal parts of my body.
84000	89000	And as a special treat, I'm going to reveal parts of my body.
89000	94000	And as a special treat, I'm going to reveal parts of my body.
94000	114360	Oh yeah, look at that symmetry, wow, what a wonderful finger.
114360	118760	If you get me to 500 I might even show you my hand.
118760	124280	It would be like a game of hangman, without the noose, hopefully.
124280	128160	But for real, I really appreciate it, the huge wave of support I've received recently
128160	132720	has been unreal, and without this wonderful amp discord, I doubt I'd be celebrating such
132720	135220	a pioneering accomplishment.
135220	139960	I've done some collabs, even a couple podcasts, expanding has been a lot of fun recently,
139960	144200	I also wouldn't have done it without the support of my friends to set this channel up.
144200	149160	I am eternally grateful, and the gratitude can be shown in the sidebar of my channel,
149160	156160	I suggest you check some of their content out.
156160	161560	Now as I'm such a generous, virtuous, ethical, principle, righteous human being, I'll take
161560	167840	suggestions on what to do to celebrate this huge feat on YouTube that I'm sure the management
167840	170420	are celebrating as well.
170420	174660	You can leave your suggestions in the comments below, or you can contact me over one of the
174660	178700	social mediums and I will decide what's most reasonable.
178700	184620	I won't do anything offensive by the actual definition, nor will I do a face reveal, that
184620	191560	will probably come at around 10 million subscribers, maybe something a bit more ambitious actually.
191560	196200	So yeah, drop me your suggestions and I might just listen to them, if I'm in a good mood
196200	197200	that is.
197200	200260	I look forward to hearing them.
200260	220420	Anyway, I'm The Right Opinion, and thanks, seriously.
