start	end	text
0	10800	Hello ladies and gentlemen, and welcome to The Right Opinion, the home of a twat with too much free time.
10800	13400	I think we need to discuss this, it's been long enough.
13400	18800	Yes, because I had exams, those bellends thought they could put me to the test, well, not again.
18800	21400	Not until the next set of exams, at least.
21400	24400	God, my life is just one continuous cycle of despair.
24400	25900	Boop boop boop boop boop!
25900	28600	And on that note, I think it's time we talk about this situation.
28600	33000	But let's start off with a story, because I know how much we love them here, on The Right Opinion.
33000	35200	You see, I released a video on H3.
35200	41200	I worked incredibly hard on the research, that brought it together, the points I made, and I gave it a lot of thought,
41200	46600	explaining why I believe they strayed away from their original content, and this has subsequently led them to take a break.
46600	50100	I took a very sympathetic point of view towards them, because of how I felt.
50100	52200	I think there are a lot of people who've been there.
52200	57700	However, almost immediately after I released it, I received a few comments pointing out that H3 got themselves
57700	63400	in another shitstorm less than 24 hours before, leading my video to be timed fairly inconveniently.
63400	66700	So what was this shitstorm? Well, let's talk about BetterHelp.
66700	70700	Even if you're a YouTube casual, you probably will have heard of BetterHelp,
70700	75900	the online interactive website that promotes therapy on an accessible platform, the internet.
75900	81700	So to give you a breakdown, if you're a patient of this site, you sign up, and you fill out a basic form explaining what you're looking for,
81700	87200	and what you may be experiencing, and what they do is that their extensive roster of allegedly qualified therapists
87200	91000	will return to the alleged part in a bit, and they'll hook you up with one of these blokes.
91000	94200	The ultimate aim? Well, generally to improve health, I assume.
94200	100600	But if you've seen the title, you'll know that this is a video also about YouTubers, so where do they fit into this very enticing plot?
100600	106000	Well, BetterHelp targeted a certain brand of YouTubers, in fact, ones that I like to talk about the most,
106000	109400	the individuals who are seen as the moral bastions of the platform.
109400	113800	This is no coincidence, these individuals have built special relationships with their fans,
113800	117800	and unlike the Jake Pauls of this generation, they deal with more mature subjects.
117800	124200	This is the sort of setup that is pretty perfect, and honestly the environment has been set up neatly for something like this to come into play.
124200	129200	Now make no mistake, BetterHelp has existed for a few years, since its inception in 2013,
129200	136800	it was always purring in the background, but recently one of their marketing executives must have spotted an opportunity in the fertile grounds of YouTube,
136800	143800	which is a smart idea in principle. In the last few years, YouTube has become a lot deeper than just a place where people put on facades for the day,
143800	148200	and I've spoken about that in length in the past, it just seems like a progression of the culture.
148200	155400	Amongst a lot of these deeper topics that have popped up in the last few years, one that seems increasingly prevalent is that of depression and mental health.
155400	162400	There are multiple reasons for this, I think the online world has brought together a new set of people who find themselves away from the turmoil of their real lives,
162400	168600	and in that escape we try to find answers for the problems we face in our own minds, and one of those comes down to mental health.
168600	174600	Depression and so on are complex topics, we need to be able to distinguish between when we may be experiencing mood dips,
174600	178000	and when we actually have an imbalance that disposes us to be depressed.
178000	185000	A great example of the confusion of the two was Prince EA's video, on how you're not depressed, you just shut up, and that.
185000	190800	Also, it was great to see that Prince EA made the Mental Health Awareness Day on YouTube,
190800	195400	after such an inspirational set of videos, YouTube really know their creators.
195400	201000	YouTubers know that speaking about mental health is extremely sensitive, you can't be seen as taking advantage of the topic,
201000	206200	but equally we are in a culture where people are being encouraged to be open about their experiences with conditions,
206200	210400	and often being open about these things can help others, and we certainly shouldn't diminish that.
210400	217200	On the other hand, we shouldn't be seen as clickbaiting it, or taking advantage of the possible experiences of suffering to emotionally manipulate our audiences,
217200	224000	so ironically it becomes a whole different balancing act on working out how to appear genuine, which in a way is contrived within itself.
224000	230000	But that's a topic for a different time, creators who address these topics in their videos will create a bond with their audience,
230000	234400	sharing an experience, and maybe helping an individual to come to terms with their own struggles,
234400	239400	so it made perfect sense to better help reach out to these lovely creators who are renowned for their reputability,
239400	243400	to promote their therapy website, and help others make it through the same struggles.
243600	246400	But there's a catch, in fact there are a lot of catches.
246400	250800	You see, we over on the YouTube platform are critical bastards, particularly in commentary,
250800	256400	and YouTube, although not being exactly quite on the level of attention as much that comes along with celebrity status,
256400	261600	still comes under investigation from commentators and media alike, and BetterHelp should have known this,
261600	267400	because regardless of what is discussed in the next 20, 30, 40 fucking minutes, I don't know how long this is gonna be,
267400	271800	the fact that they've been caught in such a whirlwind of controversy shows they must have done something wrong,
271800	278000	and it should be a lesson to them, but we'd be dishing out lessons all day today, like you're attending a college course,
278000	284800	and this motherfucker right here is handing out scholarships, because really this whole thing goes a lot deeper than just BetterHelp.
284800	290000	Today I'm going to be asking what is wrong with BetterHelp, if there's anything wrong with the YouTubers who promote it,
290000	296000	and if there's anything wrong with their responses, because my exams may be over, but we're just getting started.
296000	299200	So without further ado, let's dive right in.
302800	309800	Now, people have pretty much gone top to bottom of every single inconsistency within the website and its presentation,
309800	314800	so when I clicked on, I expected to be mostly doing a clean-up job with a lot of the morsels left behind,
314800	322800	but I was wrong, and I do have a lot to say, however firstly I'll give you a rundown of the set of controversies they've faced down in the last few weeks.
322800	326800	I definitely recommend checking out PewDiePie's videos, this covers it a lot,
326800	332800	their terms and conditions contained information that was rather sketchy, basically setting out the company as merely a third party,
332800	336800	most notably even though they claim to run background checks on their therapist,
336800	343800	they don't take responsibility if it's revealed that the therapist isn't actually qualified, a very unsettling clause,
343800	347800	mainly for the reason that it might lead to employees being lax on the background checks,
347800	353800	which might end up letting some unqualified and seedy individuals in, such as Dr. Al Dershberger.
353800	360800	Now, Big Al here is under indictment for rape charges, I want to emphasise, as always, that an individual is innocent until proven guilty,
360800	368800	and people losing their job over any fake accusations is a legitimate concern, however equally when you're having people in positions of mental health counselling,
368800	375800	a significantly more sensitive job, it might be best to not give them a platform until the charges are heard out at least.
375800	382800	You could also make the point that an individual's occupation should not necessarily define whether they should be allowed to operate in their position,
382800	388800	this is not an unfair point either, but I feel that given BetterHelp's self acclaimed status as a facilitator,
388800	391800	for them it might be best to err on the side of caution with these issues.
391800	396800	Also, this is only a real source of criticism, because when it was pointed out, they quickly removed his page,
396800	401800	which says to me that it was more about a lack of vetting rather than just a different philosophy.
401800	407800	Equally, there are many people who provide testaments where their therapist didn't appear to be sufficiently qualified in their behaviour,
407800	414800	at least towards these individuals, I think this raises one of the first greater philosophical concerns, BetterHelp is a large corporation,
414800	418800	and there is no denying that there are many people who have had positive experiences,
418800	422800	nor am I denying that there are an array of qualified individuals doing a great job,
422800	428800	but there is an incredible shifting of responsibility which makes the website prone to such mishaps.
428800	434800	With any hierarchy, there are people who are expected to be held accountable for the employment of their subordinates,
434800	440800	and in a clinic, this is typically localised to an extent, although chains may have national managers and CEOs,
440800	446800	you'll typically have some sort of branch manager who has that power, BetterHelp seems to have less of a structure when it comes to that,
446800	452800	and although they have dedicated sectors, the lack of involvement seems to have alienated management from these issues,
452800	457800	meaning that they had let their growing criticism slip through the cracks, and this was culminating on the review sites,
457800	461800	although responses were predominantly positive, there was a significant proportion that were negative,
461800	464800	and really there's a lot less room for error when dealing with mental health,
464800	472800	and if these people had legitimate complaints, they probably should have been given more attention before BetterHelp decided to launch their platform into the public eye,
472800	476800	however going on their website, the reviews are fairly positive, even with a video review,
476800	481800	while some must have been particularly passionate to submit their experience through the form of a video,
481800	485800	apart from the fact that this guy was actually a paid Fiverr bloke, and I wish I was joking,
485800	492800	so the credibility of such testimonials comes under scrutiny, particularly given how generic and banal many of these reviews seem,
492800	496800	and when comparing these testaments to the more mixed experiences documented elsewhere,
496800	501800	this is all part of a greater point however, the marketing, as mentioned some people like BetterHelp,
501800	507800	some people have had positive experiences, in fact it's very likely that a majority of people have had positive experiences,
507800	513800	however the truth is that when your job is merely to provide a platform and some dodgy practitioners are operating
513800	517800	just because they say they're not responsible doesn't mean other people aren't going to hold them responsible,
517800	521800	they should have sorted out these concerns earlier, and instead we're here now,
521800	525800	in response to a lot of the criticism BetterHelp founder Alon Matas posted a response,
525800	528800	which honestly just made themselves look worse in my opinion,
528800	534800	Matas basically set up straw men of people's concerns, talking about certain claims like the ones where the therapists were AIs,
534800	540800	before saying how ridiculous they were, the simple truth is that even though some narratives were undoubtedly exaggerated,
540800	546800	the concerns came from a legitimate place, and that cannot be undermined by pointing out the most far-fetched points of view,
546800	553800	it came across as a very salty response, and make no mistake, sometimes YouTube, fandoms, etc can overreact,
553800	558800	I think it's perfectly reasonable to criticise when people go too far, in my Zoella video for example I make that clear,
558800	565800	but equally the context of Matas being the founder of BetterHelp and the apparent presentation that this is him defending himself against the allegations
565800	572800	means that people will not perceive this response well, and although I think discussing whether people are overreacting is a legitimate discourse that needs to be had,
