start	end	text
0	3680	It seemed manageable at first.
3680	8020	On the Monday before Christmas, as winter storm Elliott began to build, Southwest Airlines
8020	11360	management huddled up to formulate a plan.
11360	13820	The following day, it went into motion.
13820	18280	After internal deliberation, and after informing the pilot's union, Southwest HQ began cancelling
18280	20840	flights in advance of the strengthening storm.
20840	24640	The notice first directed customers at these airports to check if their flight had been
24640	25640	disrupted.
25640	28880	Then, the list of airports began to grow.
29200	33000	So, the airlines started the process of cancelling flights by the hundreds.
33000	36000	As the winter storm worsened, that call proved worthwhile.
36000	40400	In fact, with the benefit of hindsight, they didn't go far enough.
40400	45060	But the assumption that undergirded the decision to cancel, that they could process the cancellations
45060	49440	early enough for customers to pivot plans and crews to reposition for new routings,
49440	53200	proved utterly, devastatingly wrong.
53200	54680	You know the rest of the story.
54680	59040	Temperatures plummeted, thermometers across Denver plunged 37 degrees in a single hour,
59040	63720	foiled travel plans ruined holidays, 5,700 flights nationwide cancelled before Christmas,
63720	67760	and while other carriers staggered along, Southwest crumbled into crisis, ultimately
67760	74600	cancelling nearly 17,000 flights and losing out on an estimated $825 million in the final
74600	75840	10 days of the year.
75840	79000	It was the biggest meltdown of its kind.
79000	83200	Some blamed the storm, others blamed the carriers' point-to-point model, while others still blamed
83200	84600	the company's culture.
84600	89600	But as time let the hot takes cool, a less exciting culprit came forward.
89600	95180	A culprit that's hardly unique to Southwest—a culprit, in fact, that's less a bug and
95180	98640	more an inherent flaw within the industry.
98640	102720	While the biggest, the meltdown wasn't the first, and while an embarrassment to Southwest
102720	108240	alone, it was hardly a crisis unique to the big, beloved, budget airline.
108240	112920	For Southwest, winter storm Elliott may have set the stage for the meltdown, but it didn't
112920	113920	cause it.
114240	118680	As much as anything, Southwest's meltdown was a function of legacy.
118680	121920	Southwest made its name as the pioneer of the low-cost business model through quick
121920	124160	turnarounds and point-to-point route networks.
124160	128320	While a typical airline will fly their plane out and right back into their hub, a given
128320	132960	day for a Southwest aircraft might start in San Diego, then continue to Sacramento, Denver,
132960	135600	and Nashville before finishing up in Tampa.
135600	138860	Through this network structure, Southwest could offer non-stop flights where competitors
138860	143560	only had one-stops, and by exploiting this niche, grew into the world's sixth largest
143560	144560	airline.
144560	148980	But while efficient in perfect conditions, the system becomes a liability in the event
148980	153880	of a delay or cancellation—pilots time out, crews don't make it to their expected destination
153880	158620	for the evening, and planes aren't positioned in the right place for the next day's flight.
158620	163380	But weather and unforeseen circumstances, as they always have, exist.
163380	168800	So Southwest has tools for these situations, one of which is a GE aeronautics system called
168800	170280	SkySolver.
170280	174840	Plug data into SkySolver on irregular operations, and its algorithms will, in the words of its
174840	178200	brochure, execute flight schedule changes and cancellations, conduct aircraft routing
178200	181360	and equipment swaps, and make fixes to crew assignments and pairings.
181360	185180	That means that, if a developing storm was to roll over Denver and cause Southwest to
185180	188960	cancel this inbound flight from Sacramento, on account of the risk that the plane and
188960	192840	crew will stay grounded by the weather, it would call on SkySolver to effectively stem
192840	196600	the bleeding, and make sure that problems don't cascade to impact the rest of the
196600	197600	routing.
197600	201020	Even in Sacramento, rather than heading to Denver, SkySolver might send this plane on
201020	204800	a passenger-less deadhead to Nashville, where the crew now nearing the end of their workday
204800	207860	could time out and hand the plane over to the next.
207860	211880	Of course, that's only the beginning—while finding the most cost-efficient solution is
211880	216080	simple in the context of this single routing, it becomes orders of magnitude more complicated
216080	219920	when considering the hundreds of additional Southwest flights passing through.
219920	223800	Like, where to reposition this 737 that normally would have been running in and out of Denver
223800	228040	all afternoon that has both the space for the plane and can begin running services the
228040	229040	following morning?
229040	232800	Or, what to do with this 737 that is running flights between cities in the storm's path
232800	236520	and thus is at risk of getting stuck in a snowed-in airport?
236520	239520	And how to make sure the later legs of this routing get flown when the plane meant to
239520	241880	run it won't make it out of Denver that morning?
241880	246640	Now, SkySolver is powerful enough to run up to 300 batches of cancellations in 20 minutes,
246640	248400	but it does have limitations.
248400	252840	First, it creates solutions to cancellations on the assumption of a static baseline.
252880	256000	However, to figure out viable alternatives if half of Denver's flights are canceled,
256000	259880	it needs to know that the Sacramento to Denver flight has already been canceled, and if it
259880	263520	doesn't, or if the flight is canceled while the system is running, SkySolver solutions
263520	267120	become less tenable, requiring reruns or manual intervention.
267120	271300	Second, SkySolver is also limited by the data input into the system.
271300	275720	Some of this data comes from an internal tool of Southwests called the Baker.
275720	279080	Dispatch processes delays and cancellations through the Baker to reconfigure routings
279080	283280	for aircraft and passengers before the information is then plugged into SkySolver.
283280	288040	Crucially, what the Baker's data lacks is crew information—who's available where,
288040	291000	when, and for how long before they're timed out.
291000	295220	Now, as the storm worsened and the number of cancellations increased, the limitations
295220	299400	of Southwests' solver collided, resulting in a massive tailspin.
299400	303480	With crews left out of the equation, the algorithm's output provided what it thought to be viable
303480	306920	solutions, but solutions without pilots and attendants.
306960	309920	Once these flights had to cancel close in to departure time when it became apparent
309920	313940	that they only had half of crew, everything else unraveled, as these new cancellations
313940	316360	altered SkySolver's baseline assumptions.
316360	321120	Effectively, the software's blind spot transformed the expected difficulties of a winter storm—hundreds
321120	326200	of flights canceled at least 24 hours out on the 20th and 21st—into a full-blown crisis
326200	330560	where Southwest tools worsened problems that it then tried to fix, only to worsen things
330560	331720	further.
331720	335800	Through Christmas, cancellations occurred closer and closer to departure time as pilots
335800	339360	arrived to planes with no flight attendants, while planes with no passengers deadheaded
339360	344200	on circular, nonsensical routings like this as the software essentially panicked, positioning
344200	349040	and repositioning planes only for the crew to time out and get stuck once again.
349040	353760	Finally, blind as to where their own crews were, and with flawed programs providing flawed
353760	358720	fixes, Southwest went manual, training volunteer staff at headquarters on how to process pilot
358720	362320	and flight attendant forms and preparing for a hard reset.
362320	367800	In the four days following Christmas, Southwest would cancel an incredible 10,700 flights,
367800	371640	all because the airline failed to address a weak point that they had already identified.
371640	376400	They had put too much pressure, and stacked up too much complexity, onto a fragile IT
376400	380800	system that everyone already knew needed an overhaul.
380800	385880	And yet, as the calendar flipped, as Southwest began to stabilize, and as more detailed reporting
385880	390640	on the meltdown began to emerge, a new meltdown stole the spotlight.
390640	394920	Now it was the FAA that issued a nationwide ground stop.
394920	400160	For 90 minutes, no commercial flights took off, and for the first time since 9-11, American
400160	405640	commercial aviation came to a complete standstill, all because a single software update went
405640	409760	sideways, leading to important preflight safety communications having to be relayed manually
409760	413760	until they could simply no longer keep up with the morning rush of flights.
413760	418540	And the cycle began again—upset customers, outraged press, and promises that the old
418540	421940	technology that everyone knew would fail would be looked into.
421940	424660	And this pattern didn't start with Southwest, either.
424660	430740	IT meltdowns hit British Airways in 2017, then in 2019, then again in 2022, they forced
430740	435740	Delta to cancel thousands of flights in 2016 and 2017, they pushed American Airlines to
435740	439140	cancel over 1,000 regional flights in 2018.
439140	443860	All said they'd do better the next time, and yet all still rely on outdated, overstretched
443860	448420	IT systems that were never designed to handle the volume of industry growth in the decades
448420	450640	since their initial development.
450640	454980	But the problems of old, overstacked IT systems don't stop at the back end.
454980	459300	While customer-facing systems might look good on the surface, the most important one, the
459300	464220	very system that makes it all possible, was created as close in time to the Wright brothers'
464220	466180	first flight as to today.
466180	471140	When a traveler sees this, it may look modern, but what they're actually looking at is
471140	473700	a translation of this.
473700	478820	In the scenes, Google Flights entered a query into the Global Distribution System, an interconnected
478820	482740	set of softwares run by Amadeus, Sabre, or Travelport.
482740	488500	In fact, specifically it entered this, AD, to initiate an availability lookup, 08FEB
488500	494440	to indicate the date, then DENLHR to specify Denver as the origin and London as the destination.
494440	499100	This initiates a query from the GDS system to another, OAG, which essentially acts as
499100	502660	the definitive source of airline scheduling data worldwide.
502660	508140	The GDS then comes back and spits out two options—one by British Airways, one by United.
508140	512100	The strings of letters and numbers indicate availability across the different fare classes,
512100	517060	then the Wright side provides most other data—departure time, arrival time, aircraft type, and flight
517060	519460	duration—but the fare data is still missing.
519460	523660	For that, Google Flights needs to pick a flight, pick a fare class, then enter another query
523660	524660	for its price.
524660	528740	But the GDS doesn't have that data itself—it seeks the answer from the airline tariff publishing
528740	533740	company which, similarly to the OAG US scheduling, is the one-stop shop for pricing data used
533740	536660	by essentially every major airline globally.
536660	541500	So once again, the GDS will repackage their response into this, reiterating the flight
541500	545540	schedule, then displaying the base fare, the carrier surcharge, US passenger facility charge,
545540	551180	security fee, and international departure tax to give a total $630.20 one-way fare on
551180	554540	the February 8th British Airways Denver to London flight.
554540	558380	This entire process is repeated for the United option, which gives Google Flights all the
558420	561580	information necessary to populate this screen.
