start	end	text
0	5800	This video was made possible by Hover—professionalize your web presence with a custom domain and
5800	11020	email address for 10% off at hover.com slash wendover.
11020	16620	About 13 million times per day, someone clicks the order button on Amazon.com.
16620	21840	Some days later, all, or at least almost all, of those 13 million orders arrive at their
21840	22960	destination.
22960	26040	But, what happens in between?
26040	29000	How does Amazon get a package to you?
29000	32000	Well, it depends—a lot.
32000	37480	In fact, Amazon's fulfillment system, their shipping system, is more complicated and convoluted
37480	43840	than that of almost any logistics company—it's far more complicated than that of UPS or FedEx
43840	47360	or DHL or any other major delivery company.
47360	52440	In a counterintuitive way, this complicated and convoluted fulfillment system is a crucial
52440	56800	component of this secret sauce that's driving Amazon's success.
56800	62240	They're striving to make the consumer experience simple through behind-the-scenes complexity.
62240	66140	So, back to the question, how does an Amazon package get to you?
66140	67200	And the answer?
67200	68200	It depends.
68200	72940	It depends first on who's fulfilling the package—Amazon or the seller.
72940	77460	About one-fourth of sales in the US are fulfilled directly by the seller, as most products on
77460	81960	Amazon are listed there by a third party, which can send packages directly through UPS,
81960	86680	FedEx, the Postal Service, or another consumer delivery company if they choose.
86680	90740	Amazon has nothing to do with the fulfillment of those orders, and the process looks largely
90740	93680	the same as with any other e-commerce company.
93680	99280	What's different is how the other three-quarters of Amazon packages in the US get to you—the
99280	102000	ones that are fulfilled directly by Amazon.
102000	106720	The path that these take depends first on how big the package is.
106720	112160	You see, Amazon's fulfillment centers are more or less split into three categories—small
112160	115600	sortable, large sortable, and large non-sortable.
115600	121120	That first category, small sortable, represents the bread and butter of Amazon's business.
121120	126560	These are items that are less than 12 by 16 by 6 inches or 30 by 40 by 15 centimeters
126560	130780	in size, and about 25 pounds or 11 kilograms in weight.
130780	135220	The next category, large sortable, is basically anything larger than this up to a weight of
135220	137760	about 60 pounds or 27 kilograms.
137760	142740	Now, the reasons for the split between large and small is because the fulfillment operations
142740	148600	of smaller items is much easier to automate—they can fit on conveyor belts and automated robots
148600	152140	and other tools that lower the company's reliance on humans.
152140	157020	For example, Amazon uses a robot called the Kiva which fundamentally changed the way the
157020	162060	job of the company's pickers—the people who find and grab an item out of storage—worked.
162060	167540	Previously, pickers would walk some 10 to 12 miles or 16 to 19 kilometers a day through
167540	169580	cavernous rows of shelves.
169580	174980	Now, at least in their most advanced fulfillment centers, a robot picks up an entire mobile
174980	179820	shelf on which a required product is located and transports it to the picker who picks
179820	180820	it.
180820	185580	Essentially, rather than the picker going to the shelf, the shelf goes to the picker.
185580	191760	With these robots, one person can pick 300 to 400 items an hour rather than the 100 or
191760	193780	so that was possible on foot.
193780	197800	Of course, fewer humans in the mix is good for Amazon, given the amount of criticism
197800	202360	it receives for its treatment of workers, and because humans, even low-paid ones, are
202360	203700	expensive.
203700	208160	The fulfillment process for larger items, though, is just tougher to automate cheaply,
208160	212680	so the company chooses to segment the two processes out, and runs a far more manual
212680	215840	and distinct fulfillment system for larger items.
215840	221760	However, in most but not all cases, the fulfillment centers for large and small items are under
221760	225560	the same roof, even if they're operated completely independently.
225560	229760	Of course, the ideal scenario for Amazon would be to have every single item they sell
