start	end	text
0	3320	This video was made possible by CuriosityStream.
3320	7280	If you've already signed up for the CuriosityStream-Nebula bundle deal, make sure to watch the extended
7280	9240	cut of this video on Nebula.
9240	13700	If you haven't signed up yet, you can get both CuriosityStream and Nebula bundled together
13700	21200	for just $15 a year with the current sale at CuriosityStream.com slash Wendover.
21200	24880	China has backed itself into a corner.
24880	29520	About a year ago, in spring 2020, it emerged triumphant.
30040	35260	After months of devastation, it became the first country to coax life back to near-normal
35260	38320	after a widespread COVID epidemic.
38320	42760	Just as it emerged from lockdown, the rest of the world was entering into it, so China
42760	47920	started to focus its attention on not only recovering from COVID, but also from the hit
47920	52680	it took to its global image as a result of perceived mismanagement in the virus' early
52680	53680	days.
53680	59180	As the US and Europe struggled from far larger, far more devastating outbreaks, China sat
59180	64000	on the sidelines, working on ways to be viewed not only as the country that crushed COVID
64000	68140	within its borders, but also led the fight against it around the world.
68140	72280	They wanted to be seen doing what the US and Europe couldn't while they were focused
72280	74220	on their problems at home.
74220	78180	As hospital ships docked and intensive care units ballooned in size throughout April and
78180	83440	New York, planes were landing at JFK carrying thousands of desperately needed ventilators
83440	84600	from China.
84600	89680	As hospitals around the world ran out of supplies and required healthcare workers to reuse masks
89680	95000	for days or weeks on end, national airlines were making special, dedicated trips to pick
95000	97600	up medical supplies donated by China.
97600	101520	As every corner of the world worked to ramp up testing to get a more accurate picture
101520	106760	of their problems, Chinese-made test kits were streaming through their borders.
106760	112220	China was at the center of the fight against the virus, but the center can be the riskiest
112220	113960	place to be.
113960	120160	As donations turned into purchases, it emerged that there was a major quality problem.
120160	125400	Some 90% of mask certifications from China, according to one measure, were fake, tests
125400	130900	that were supposed to have 80% sensitivity actually had 30%, and stories emerged globally
130900	135860	of Chinese officials demanding public displays of thanks in exchange for donations.
135860	142740	What was supposed to be a diplomacy coup rekindled an old narrative of Chinese-made as inferior.
142740	148100	At best, this effort did little to rewrite China's role in the pandemic, but at worst,
148100	152880	it seems very possible that it actually further damaged their global image.
152880	158200	However, while the start and the middle of the pandemic did not entirely go China's
158200	163520	way, in terms of global image, there was still the end.
163520	168200	China still had the chance to recover what they'd lost, and, more specifically, they
168200	174180	had the chance to display their homegrown scientific skill and manufacturing might.
174180	177940	China could be the country that supplies the shots that would end the world's misery
177940	180520	and put the pandemic in the history books.
180520	187540	They could make the world's vaccine, but of course, first, they needed a vaccine.
187540	190080	Luckily, they had a head start.
190080	195040	As soon as the outbreak began in China, a number of private companies, state-owned enterprises,
195040	198960	and government-run institutes started work on developing a vaccine.
198960	204980	By spring, there were some strong, viable candidates, so the next step was testing.
204980	210160	Just as most of the Western world entered their lockdowns, the first Chinese vaccine,
210160	217480	85-nCoV by CanSino Biologics, entered a phase 1 clinical trial on March 17th, 2020, with
217480	220880	108 adults in Wuhan receiving the shot.
220880	226440	Under positive data, this same vaccine became the first in the world to enter phase 2 trials
226440	229920	on April 11th, with 508 participants.
229920	234160	When the results from that trial were published on July 20th, they revealed that not only
234160	238500	was the vaccine acceptably safe, but that it was also generating the desired immune
238500	243200	response—in short, it was seemingly both safe and effective.
243200	249200	However, the next phase of clinical testing presented a problem for CanSino.
249200	254420	You see, phase 1 vaccine trials are about seeing if they're safe, and then phase 2
254420	258860	trials are about seeing if they generate the desired immune response in the body.
258860	264640	Phase 3 trials, however, that's about seeing if the vaccine works in the real world—to
264640	267640	see if it actually protects humans.
267640	273720	To do so, researchers divide the study participants into two equal-sized groups—one receives
273720	279360	the actual candidate vaccine, the other receives a placebo shot—typically just a saline
279360	280360	solution.
280360	285080	Then, the two groups are tracked to see if one is less likely to contract the virus than
285080	286080	the other.
286080	290560	The problem for CanSino, the other Chinese vaccine makers, and the country as a whole
290560	296120	was that, by late summer, when the first Chinese vaccines were moving into phase 3 trials,
296120	300640	daily COVID cases in the country had been reduced to double-digit levels in a country
300640	303480	of well over a billion.
303480	308960	Most phase 3 vaccine trials have below 50,000 participants, so it would take years, if not
308960	313640	decades, at those caseloads to get to the hundreds of infections needed in a trial to
313640	315920	prove a vaccine's efficacy.
315920	320240	Essentially, it was impossible for Chinese companies to complete their COVID vaccines
320240	325640	in China exactly because the country had done so well at suppressing the virus.
