start	end	text
0	4940	The documentary you're about to watch is a Nebula original—that means it was funded
4940	8580	by and released on the streaming platform Nebula first.
8580	12700	We thought, though, that this one in particular would be important to get out to the widest
12700	16260	audience possible given how important the subject matter is.
16260	20860	It is, though, going to be one of the last Nebula originals uploaded to YouTube as we're
20860	21860	phasing that out.
21860	26340	I hope this serves as evidence for you on just how high-quality the content on Nebula
26340	32480	is, and, each week, new originals come out from some of the top educational content creators.
32480	36820	If you want to see more, Nebula is available through a bundle deal with CuriosityStream
36820	41860	for just $15 a year at their current sale pricing, and that's available only by going
41860	45580	to CuriosityStream.com slash Wendover.
45580	47560	Now to the Marshall Islands.
56340	81820	The legend in Marshall's eyes is that the Marshall Islands were created by a cart.
81820	83380	His name was Lawa.
83380	91540	He descended on the atoll of island Lawa, and he created the islands by saying Lawa
91540	97660	and islands, and they were islands, Lawa and people, and they were people, Lawa and fish,
97660	102060	and they were fish, and on and on like that.
102060	108780	Our lands, you know, like our mothers, you know, they provide for everything, and our
108780	109780	oceans, same thing.
109780	115660	We've always thought about the ocean as our friends, but now it's becoming a threat
115660	118860	to us.
118860	124260	You know when you find a globe, and you give it a whirl, and it goes around and around
124260	129180	and around, and then as the going slows, your eyes come to a rest on a dash of color that
129180	133900	has never caught your attention before—a spot that sits on the part of the sphere you
133900	136400	normally spin right past.
136400	141920	An island so isolated that you're not even sure how you'd explain where it is—somewhere
141920	147560	whose story is seen as insignificant, a land that's lost to most of the world, left out
147560	151320	of the history books apart from a passing mention.
151320	156280	That place is here—the Republic of the Marshall Islands.
156280	159980	But unknown, untold, unremembered places aren't unique.
159980	164760	What makes the Marshall Islands story singular is not that it's unrecognized from above,
164760	169240	but because it's under siege, from below, and it's only when you see it from the middle
169240	171880	that you can understand why.
171880	176360	Go on, take a look, you won't have the chance for long.
176360	179840	We can talk more about the end of their world later, but first I've got to tell you about
179840	180840	what we've got here.
180840	185240	It's a small nation, the Marshall Islands, with a bit over 50,000 residents and 70 square
185240	191000	miles of land, split up into 29 atolls—thin rings of land encircling saltwater lagoons.
191000	195860	While significant populations can be found on 13 of those atolls, over half of the Marshallese
195860	199180	people can be found on this one, Majuro.
199180	205040	About 28,000 people live on the capital atoll, and none of those 28,000 live more than a
205040	207160	few minutes' walk from the ocean.
207160	212080	The furthest you can get from the water is about 2,000 feet or 600 meters inland, but
212080	217440	that's an anomaly—in most spots, water flanks you closely on both sides.
217440	222480	In some spots, the atoll gets so thin that you could stand in the lagoon and have a conversation
222480	225280	with someone standing in the ocean.
225280	231320	Life on a remote, sunny coral atoll may sound idyllic, but the population density of Majuro,
231320	236840	greater than that of Bahrain, Bermuda, or Bangladesh, has not been kind to the mother
236840	237840	atoll.
237840	242120	In a part of the world usually thought of as pristine, sparse, and pastoral, Majuro
242120	245400	is instead gritty, overcrowded, and urbanized.
245400	249520	But it's far from an island paradise.
249520	254840	Based on the 2011 census, which was the last census we had, average household size on Majuro
254840	261520	was about seven people, and household income is probably about $16,000 in that neighborhood.
261520	270120	Well, I mean, $16,000 divided by seven, you know, it can be, that can be a challenge,
270120	271120	that can be tough.
271120	272800	Here's the problem.
272800	276800	Some places are poor because they haven't yet seized their opportunity.
276800	280120	Others are poor because they have no opportunity.
280120	283600	Majuro is in that second category.
283600	287840	Characteristics of the economy here in the islands is, you know, you're looking at
287840	290040	fish, coconuts, people.
290040	294920	I mean, outside of that, our natural resources are fairly scarce.
294920	300720	And then combined with our challenges with education and skills attainment makes it even
300720	305200	more challenging with people being our third largest natural resource.
305200	311760	Those are some major inhibitors for, you know, sustaining economic growth, expanding the
311760	313940	economy here in the islands.
313940	317880	Like many small island nations, the Marshall Islands doesn't have too much in the way
317880	322360	of natural resources worth exporting, and even when it does manage to produce something
322360	326840	people might want to buy, the cost of shipping it to those potential buyers will have pumped
326840	330580	up the price so much that it's no longer worth it.
330580	334880	One of the very few things they make decent business of selling abroad is copra, or dried
334880	339100	coconut meat, which is produced mainly on outer atolls and then brought into Majuro
339100	340100	for processing.
340100	344840	It's a work-intensive process mostly conducted by families who form informal assembly lines
344840	349620	getting paid 50 cents a pound, and even that low wage is the result of heavy government
349620	351600	subsidies.
351600	356120	Because creating viable export goods is so difficult, most of the jobs in the Marshall
356120	359060	Islands are either in government or the subsistence economy.
359060	363100	In other words, most people in the Marshall Islands are providing services or making goods
363100	368340	exclusively for the Marshall Islands, which leaves very little opportunity for growth.
368340	374060	But the country does have one tiny little asset that keeps it running—its location.
374060	378300	A location that makes the Marshall Islands attractive to one of the world's biggest
378300	382020	businesses—the US military.
382020	386340	The American military presence can be found mainly on Kwajalein Atoll, which serves as
386340	391060	a key test site for the US ballistic missile defense system, among other purposes.
391060	395340	In the end, it's simple logic—the US military wants access to the Marshall Islands, the
395340	400540	Marshall Islands wants money and security, and thus, an agreement exists—the Compact
400540	401540	of Free Association.
401540	408300	So, the Compact of Free Association basically lays the foundation for the relationship between
408300	412340	the United States and the freely associated states.
412340	417680	One section of the Compact deals with the relationship between our peoples, and it allows
417680	425780	for qualified citizens to live and work and study in the United States without a visa.
425780	430740	There's another section of the Compact that generally governs economics, and it provides
430740	438220	for grants and services, all kinds of USG assistance coming to the Marshall Islands.
438220	442980	The third big section of the Compact has to do with security provisions.
442980	446460	The United States is the guarantor of security in the Marshall Islands.
446460	449820	It's difficult to overstate the significance of the Compact.
449820	454780	It's the basis of the entire modern economic and political system of the Marshals, and
454780	459420	while each of the three sections has an enormous impact on the country, perhaps none is more
459420	463640	consequential than the second—financial aid.
463640	471960	The Marshals are heavily dependent on money from donors or from the United States.
471960	478980	That's a tremendous part of the national income—upward 70-80%.
478980	484240	The US provides approximately $100 million every year to the RMI as a combination of
484240	486240	grants and services and programs.
486240	491360	Now, it's a big world out there, and there are quite a few places the US could send $100
491360	494320	million a year in exchange for military access.
494320	495420	So why here?
495420	499760	Why is there this strange partnership between one of the world's largest superpowers and
499760	502120	one of the world's smallest countries?
502120	507440	Well, like most strange things, it came as a result of millions of years of chance and
507440	508960	circumstance.
508960	514580	About 70 million years ago, 29 ancient volcanoes in what we now call the North Pacific came
514580	519760	to life and spewed out lava which quickly cooled and built up into under-ocean volcanic
519760	525680	structures until they grew so much that they emerged above water and became islands.
