start	end	text
0	4400	This video is made possible by Shopify—the platform behind Wendover and thousands of
4400	7180	other e-commerce businesses.
7180	10700	Among the many former British colonies that have grown into some of the world's most
10700	14260	developed countries, Australia is unique.
14260	19180	Specifically, its economy has developed into something unlike that of any other and a big
19180	24180	player in the story of that economy is China—for better or worse.
24180	27840	To understand China's role in Australia and the problem this poses down under, one
27840	32520	has to start in a very different place—the United States.
32520	36400	If it were not for the US, Australia might not exist.
36400	40180	Prior to the American Revolutionary War, Britain would primarily send their prisoners to the
40180	43280	American colonies when sentenced to transportation.
43280	47260	Once the colonies became the independent country of the United States, Britain needed to find
47260	52480	a new place to put their convicts and for that, they chose what is now Sydney.
52480	55920	The first fleet of convicts who arrived in Botany Bay were the origins of what is now
55920	60440	the country of Australia and they might not have made the long trek to there if not for
60440	62840	the founding of the United States.
62840	68060	Beyond just this, the history of Australia and the history of the US are eerily similar
68060	69400	and interlinked.
69400	75360	The two countries' founding are offset from each other by 180 years, but parallel significantly.
75360	79440	Australia is almost the exact same size as the contiguous United States and even has
79440	82020	similar dimensions to the US.
82020	87260	Both nations include similarly diverse landscapes and climates, and both started in the east.
87260	91500	They then each expanded west, taking over indigenous land, largely fueled by the discovery
91500	93340	of gold and its subsequent mining.
93340	97800	While the scale is obviously quite different, both nations were quite isolated by distance
97800	102220	to the European world, although close to a number of other European colonies.
102220	105620	Both nations started with their small British populations and then grew primarily through
105620	109500	immigration from English-speaking countries, secondly through immigration from non-English-speaking
109500	113180	European countries, and thirdly through immigration from the rest of the world.
113180	117140	They even share the same story in the founding of their capital cities—they each built
117140	121500	a planned city in a central location between their two major population centers as to not
121500	123420	favor one over the other.
123420	127800	The similarities go on and on, but the point is that Australia and the US were largely
127800	132200	dealt the same cards but got vastly different results.
132200	136520	The US quickly developed into one of the most politically, economically, and socially powerful
136520	140800	countries on earth, with a population well over 300 million.
140800	146540	Australia, however, never grew into more than a small regional power with a small population
146540	148400	of just 25 million.
148400	151800	Now, Australia is no doubt a highly successful nation.
151800	155680	It's among the world's most wealthy countries, the world's most developed countries, it
