start	end	text
0	5140	It's the summer of 1990. A crew of fossil hunters pulled together by the Black Hills
5140	9480	Institute of Geological Research had been searching through a ranch in South Dakota
9480	14160	for months. They'd found some good stuff—some Edmontosaurus bones—and were getting ready
14160	18480	to wrap up and return to Hill City to get the artifacts ready for display. But then
18480	22920	their truck got a flat tire, then their spare was flat, then their pump's rubber hose
22920	27440	was broken too, so they slowly nursed the truck from their camp to the nearby town of
27440	29640	Faith to get it fixed.
29640	34060	But there was no sense in them all going, at least according to paleontologist Sue Hendrickson,
34060	38500	who decided to stay back and search some more. She wanted to see if they could get one last
38500	43940	win before the summer wrapped up. And they absolutely did.
43940	49940	In a hillside not yet examined, she spotted the most obvious fossil—an articulated dinosaur
49940	55120	vertebrae was visible in plain sight. Once the rest of the crew returned, she brought
55120	60320	them to the site, and they immediately knew they'd have to delay their trip home.
60320	65340	Over the next 17 days, the Institute team removed the entire hillside above by hand,
65340	71520	they found 250 bones, then they carefully excavated each one. With each additional piece,
71520	76360	they understood the exponentially increasing scientific and financial value of what they
76360	80360	were unearthing. It was clear this was one of the most complete T-Rex skeletons ever
80360	86180	found anywhere on earth, so they made every move with the highest degree of caution.
86180	89920	On the penultimate day of the excavation, Institute founder Peter Larsen met with the
89920	94180	owner of the property they were working on, a rancher named Morris Williams. He showed
94180	98840	him the fossil, talked about its future, then Williams agreed to take $5,000 in exchange
98840	103820	for the fossil, at least according to Larsen. The exact details of that very specific moment
103820	109360	are debated and disagreed upon, as they end up being of immense importance.
109360	114400	Nature hunting is a tricky business, you see, but it can be a genuine business. It's
114400	118560	built upon the simple principle that, as things get older, they get more valuable, and some
118560	123800	of the oldest objects out there are not found in flea markets or antique stores, but rather
123800	130440	out in the wild, as yet undiscovered by humanity. But as with mining or hunting or fishing or
130440	135940	any other extractive industry, just as tricky as extracting whatever is of value is gaining
135940	138940	and maintaining the legal right to do so.
138940	142780	For the moment, the Black Hills team headed back to their headquarters in Hill City, South
142780	147660	Dakota, and began to clean and prepare the fossil, now dubbed Sue, after its discoverer,
147660	153420	for display. It was going to be the centerpiece of their brand new Hill City Museum of Natural
153420	158700	History, a museum of worldwide influence given the singular nature of its centerpiece, offering
158700	163640	pride and prominence to the small community that the Institute called home. Over the next
163640	167880	two years, community members filtered through the Institute every day to watch the work
167880	174480	on Sue as excitement grew for its grand unveiling. But on May 14, 1992, that dream was ripped
174480	180040	away in an instant, as dozens of FBI agents and National Guardsmen showed up unannounced
180040	186340	on the Institute's doorstep. They were there to seize Sue. It was now part of a pending
186340	191680	investigation led by acting Attorney General of South Dakota, Kevin Shipher. He argued
191680	193840	that the fossil had been stolen.
193840	199200	You see, Morris Williams didn't technically own his land. He was a member of the Cheyenne
199200	204160	River Sioux Tribe, so his land was technically held in trust by the federal government on
204160	209120	his behalf—that's how reservations work. Therefore, he had to get approval from both
209120	214220	the Bureau of Indian Affairs in DC and his tribe before selling anything from his land,
214220	218500	which he hadn't. So that meant there were now four different entities claiming they
218500	222900	owned Sue—the Black Hills Institute, landowner Morris Williams, the Cheyenne River Sioux
222900	228220	Tribe, and the US federal government. After a long and highly publicized trial, the judge
228220	233300	ruled that the fossil was a fundamental component of the physical land that Williams didn't
233300	238660	technically own, and therefore it was the US government's property. But bafflingly,
238660	242860	that was, in practice, a win for Williams as the federal government allowed him to send
242860	247740	the fossil off for auction, which he would get the proceeds from tax-free.
247980	252280	This was a devastating blow for the Black Hills Institute team. What they thought for
252280	257520	two years was their biggest win ever turned into not only a waste of two years' work,
257520	261940	but later untangled further into a feud with the federal government that would land Larson
261940	266940	in jail for two years due to failure to fill out a customs form to declare cash during
266940	271520	travel. The Institute team could only watch as Sue was trucked to New York, displayed
271520	276340	for weeks in a polished Sotheby's gallery, then finally put up for auction as Morris
276340	283380	Williams waited to hear how much wealthier he was about to be. The answer was $7.6 million,
283380	289140	a new record for the sale of a dinosaur fossil paid for by the Chicago Field Museum. It would
289140	293700	be Sue's new home. Now, while Sue was a remarkably complete and
293700	298580	well-preserved fossil, much of its record-breaking sale price can be attributed to the ironclad
298580	304440	legal footing of its ownership. The US government, the institution that enforces property ownership
304440	310060	in America, asserted that it was their property, and therefore the buyer could have full confidence
310060	315040	that it would not later be seized by another rightful owner—a scenario that occurs all
315040	320840	the time, even to high-profile buyers like Nicolas Cage. Many, if not most, treasures
320840	327260	do not sell with such confident provenance. After all, not all are found on private land,
327260	332500	or even on land at all. There's really no telling how many shipwrecks
332500	337660	dot the world's waters. One popular database has entries for about 200,000, another has
337660	343360	about 250,000, while shipwreck hunters themselves populate their own secretive databases with
343360	348200	unknown numbers. UNESCO, for its part, has put the estimate of global shipwrecks at a
348200	353620	staggering 3 million, a number which some scoff at from either side of the total. As
353620	358740	to how much valuable metal has sunk with these countless ships, well, that too is a mystery.
358740	362740	Some cite the number at 60 billion worth, but with the recent finding that by itself
362740	368060	makes up a third of that value, that number seems impossibly low. Most in the business
368060	372640	just don't even try to put a number on the potential value. With only 5% of the ocean
372640	377600	actually explored, and only 20% of its floor mapped, any estimate of the amount of treasure
377600	383580	held by the ocean is little more than a guess. And yet, around this impossible mystery has
383580	387040	blossomed an entire industry of shipwreck hunting.
387040	391080	Rather than pondering questions of scale, the shipwreck hunting operations, ranging
391080	396340	in size, organizational complexity, and financial backing from individual pirates to US-based
396340	401200	publicly traded companies, obsess over the wrecks they do know about, rapidly salvaging
401200	405560	what they find to maximize profit, and when they do, fighting their way through the legal
405560	409160	morose that surrounds the world of maritime salvage.
409160	413660	A shipwreck produces value in a few different ways. There's the physical material that
413660	417660	can be lucratively scrapped, there's the historical remnants that can be sold on to
417660	422600	collectors or museums, and then there's the cold, hard coinage—the tons upon tons
422600	428140	of gold and silver that made the world economy turn for the last 600 years. All three provide
428140	433620	value, but it's the latter that's turbocharged this industry since the 1980s, raising the
433620	437840	investment, the stakes, and the legal messiness to new heights.
437840	443940	Take the 1986 discovery of this ship—the SS Central America. Led by an ocean engineer
443940	449020	named Tommy Thompson, the discovery of this gold and silver stacked ship 160 miles or
449020	454560	260 kilometers off the coast of North Carolina and 7,000 feet or 2100 meters below the water
454560	460140	was the fruit of years of relentless research and crowdfunding that pulled over 160 investors
460140	465240	and $12 million together to first locate, then salvage, the precious treasure. Once
465240	469340	found using new-age technology similar to that that found the Titanic, the moment brought
469340	472540	Thompson fame and the promise of a wealthy future.
472540	478460	But the moment also begged a question that's come to define the industry—whose treasure
478460	483300	was it? Well, it wasn't the federal government's, as it wasn't a US Navy ship, and it didn't
483300	488180	fall within the Abandoned Ship Act of 1987's purview, as it was too far off the coast.
488180	492680	But it was a treasure that had been insured 130 years prior when it left from the California
492680	497780	coast on its way to the American Northeast, and the very day the treasure made landfall,
497780	504200	Thompson's Columbus America Discovery Group of Ohio was sued by 39 insurance companies.
504200	508200	The next ten years, as the case bounced between federal district and appeals courts, the three
508200	512980	tons of gold sat in an undisclosed warehouse in Virginia, picking up dust. Eventually,
512980	517540	the court sided, mostly with the treasure hunters, awarding 92% of the cut to Thompson
517540	522680	and his investors, ultimately a win, but so nearly a loss that it took 12 years to
522680	527420	figure out. Making things worse for investors and the industry's image, rather than paying
527420	531740	out the investors' returns, Thompson took the money and went into hiding.
531740	536480	Thompson's eccentricities are, of course, unique, but the actual legal complexity surrounding
536480	542060	maritime treasure hunting only compounds when national interests get involved. In 2007,
542060	547220	Odyssey Marine Exploration successfully salvaged $500 million of silver and gold coins off
547220	551940	the Portuguese coast and shipped their haul to a warehouse in Florida. Soon after, the
551940	555700	Spanish government sued, claiming that the coins weren't salvaged from a host of unknown
555700	560100	ships that had sunk in the region as the company claimed, but from the Nuestra Señora de las
560100	564700	Mercedes, a Spanish frigate that a British ship had sunk in 1804. The case headed to
564700	568940	federal court in the US, with Spain eventually winning out on its claim through an interpretation
568940	573540	of the Foreign Sovereign Immunities Act—that the cargo of a Spanish-owned ship, though
573540	579520	sunk, was still under Spanish ownership. Five years after Odyssey painstakingly, expensively
579520	584220	pulled it out of the water, Spanish authorities loaded the silver onto C-130s and headed back
584220	590280	across the Atlantic. For their time, the company also had to pay a $1 million fine.
590280	594060	The question as to who owns the loot that rises from the deep is one that doesn't
594060	598260	afford quick answers. There's International Maritime Law of Salvage, which provides the
598260	601900	finder much of the keep, but that's bound to lose out should a sovereign state have
601900	605980	a claim to the ship. Then there's the tricky factor that most of the accessible shipwrecks
605980	611040	happen not out at high seas, but within the exclusive economic zones of countries, further
611040	615460	limiting any claim to maritime laws. And should a ship have cannons, treasure hunters may
615460	620020	as well turn around because that warship is still seen as state property.
620020	624380	These court cases have the potential to doom treasure hunting companies. The Columbus America
624380	629420	Discovery Group of Ohio, after all, no longer hunts for sunken ships, nor does Tommy Thompson,
629420	634660	who's currently in jail. Yet, the industry still exists, there's simply too much potential,
634660	639680	but it's been forced to pivot, either collaborating with governments, or going behind their back
639680	645240	entirely. This messiness is all why, in the marketplace for found treasures, the more
645240	650340	confident the ownership, the higher an item's value. This also explains why the dinosaur
650340	656460	fossil industry has a rather specific geographic concentration. China, Mongolia, Argentina,
656460	661260	and the United States all have some of the world's best fossils, but only the US has
661260	666440	a flourishing industry. That's because, rather uniquely, the US both deems fossils
666440	670300	the property of the owner of the land on which they were found, and allows the owners of
670300	675900	fossils to do whatever they want with them—selling, exporting, anything. That's why, of the
675900	680900	ten most valuable dinosaur fossils ever sold, all came from either Wyoming, South Dakota,
680900	686420	or Montana, and why these three sparsely populated states have become the global epicenter of
686420	690980	this burgeoning industry. And within this region, there is no more influential industry
690980	697140	player than Hill City's Black Hills Institute. That's because, after that fateful day in
697140	701700	1992, they didn't give up. Within weeks of Sue's seizure, the crew packed up their
