start	end	text
0	3660	This video was made possible by CuriosityStream.
3660	7140	Watch an exclusive behind-the-scenes video, finally answering the question of how we make
7140	14100	these videos, by signing up for the CuriosityStream-Nebula bundle deal at CuriosityStream.com slash Wendover.
14100	20580	In the early morning hours of August 22nd, 2021, the Maersk Essek pulled away from birth
20580	24540	402 at the port of Los Angeles, California.
24540	29300	After navigating through the breakwater, the ship made a westward turn, beginning a two-month
29300	36460	17,000 mile, 27,000 kilometer voyage from America to Asia and back.
36460	41600	This is, in the context of today's ocean shipping industry, a rather unremarkable journey
41600	44120	on a rather unremarkable ship.
44120	49940	Just 15 years ago, though, the Maersk Essek would have been truly extraordinary.
49940	58120	You see, the Essek boasts a capacity for 13,092 20-foot containers, or TEU—20-foot equivalent
58120	59120	units.
59120	66040	In 2006, the Zinn Los Angeles entered service with a capacity for 9,600 TEU.
66040	70820	This was heralded with proclamations of a new era for shipping, as the Zinn ranked as
70820	74340	the single largest container ship sailing the oceans.
74340	79760	In summer 2021, though, the EverAce took its maiden journey from Asia to Western Europe
79760	88820	with a capacity for 23,992 TEU—two and a half times more than the largest ship of
88820	90740	a decade and a half ago.
90740	95700	As a point of comparison, that means this one ship could carry every single container
95700	101620	the 100,000-person nation of St. Vincent and the Grenadines received in 2020 at once, and
101620	105380	then add Bermuda's annual container traffic on top of that.
105400	110560	Now, this trend towards larger and larger ships is indicative of another major trend
110560	113360	in the shipping industry—consolidation.
113360	118200	Recognizing the incredible economies of scale in an industry founded on the principles of
118200	122920	economies of scale, the largest container shipping lines recently worked to reap a cost
122920	127880	advantage that their smaller competitors could not, by aggregating a larger quantity of containers
127880	129640	onto fewer ships.
129640	135120	This is both a cause and effect of the fact that in 2000, the top ten shipping lines controlled
135180	140980	51% of the global market, but now they hold 85%.
140980	146100	Bolstered by historically low shipbuilding costs, Maersk, MSC, Evergreen, and others
146100	150940	elected to order these new behemoth ships, rather than buy or renovate used ships, to
150940	155500	operate on their busy Asia to Europe and Asia to Western North America routes.
155500	161980	So a 13,000 TEU behemoth like the Essex, a record breaker in the wrong year, is now but
161980	167840	a rather unremarkable workhorse of a ship, fixed on a regular route from Los Angeles.
167840	172400	After an uneventful ten days traversing the Pacific, the Maersk Essex stopped at its first
172400	175360	port of call—Yokohama, Japan.
175360	179720	The stop lasted eight hours as cranes unloaded containers from the Americas, then loaded
179720	182860	more bound both east and westward.
182860	187840	Soon enough, though, the Essex pulled in its lines, thrust it away from the dock, and carefully
187840	191280	navigated its way out of Tokyo Bay.
191280	196500	Once it reached open water, however, it actually slowed down slightly, for rather strategic
196500	197500	reasons.
197500	203680	You see, in 2008, in the early days of the financial crisis, shipping lines faced a perfect
203680	209780	storm of circumstance—shipping demand was rock bottom and fuel costs were sky high.
209780	214500	The lines had to innovate to survive, and so a working group at Maersk came up with
