start	end	text
0	3600	This video was made possible by Morning Brew.
3600	7100	Start your day catching up on what's happening in business, finance, and tech by signing
7100	11040	up for their free daily newsletter at the link in the description.
11040	17440	In our lifetimes, the dominant story of economic explosion has been that of China.
17440	21760	Previously, it was a poor, vast, peripheral country.
21760	26680	In mere decades, though, its growth has pulled it to center stage, and the country now plays
26680	29660	a serious role in world affairs.
29660	34860	At the core of that transformation now behind us, however, many have asked the question,
34860	36660	who's next?
36660	42160	Which corner of the world is set for a similar, dramatic rise in the coming years?
42160	47100	Plenty of candidates come up, but one of the most frequently floated names is Africa.
47100	52860	It's a continent with a huge population, but a generally lower level of economic development.
52860	58740	It's a region that often, in many ways, falls behind, but that means the only direction
58740	60380	to go is up.
60380	67020	So, is the African continent poised to become the next China—the next darling of the world
67020	68500	economy?
68500	73980	Africa is a sprawling continent three times the size of Europe, composed of 54 countries,
73980	79500	1.4 billion people, and countless religions, languages, ethnic groups, and cultures.
79500	84380	Many appropriately criticize media when they overzealously refer to the continent as one,
84380	87940	generalizing what's happening in part of the continent to its entirety, but there is
87940	92980	logic and precedent for examining Africa as a cohesive unit from an economic lens,
92980	93980	at least.
93980	98440	For the purposes of simplicity, economists and journalists often group related countries
98440	100780	together into business regions.
100780	105580	For example, often, economists will look at the European economy as a whole since France's
105580	110420	economy, for example, is deeply interwoven with Germany's, so their fates are essentially
110420	111420	tied.
111420	115460	Meanwhile, they'll often look at China by itself since it's large enough to be analogous
115460	120140	to Europe, but also unique and isolated enough economically that grouping it with Japan,
120140	125140	for example, would not be appropriate—Japan can prosper when China does not, and vice
125140	126140	versa.
126140	131020	That's why China is worth examining on its own while Africa is examined as a whole.
131020	135420	The countries that compose the continent are economically interlinked and add up to a population
135420	137380	comparable to China's.
137380	142980	Therefore, in this context, one could expect that the development potential of Africa could
142980	146100	be roughly akin to that of China.
146100	148180	But we can quantify this.
148180	153700	The African continent's current gross domestic product is $2.69 trillion.
153700	161260	China's GDP in 2006 was, inflation adjusted, $2.89 trillion, meaning the African economy
161260	165620	today is roughly analogous to that of 2006 China.
165620	170700	This is backed up by the fact that Africa's GDP per capita is currently $2,030, while
170700	173460	in 2006 China's was $2,100.
173460	178100	Africa's urbanization rate is roughly equal to China's in 2008, while their foreign
178100	182460	direct investment inflows are about the same as China's in 1992.
182460	187540	All around, these four important economic development indicators suggest that Africa
187540	191380	stands roughly 20 years behind today's China.
191380	197300	Now, it would be staggering if this were the case—if in a mere two decades, the African
197300	200580	economy would be as relevant as China's today.
200580	205360	Of course, some would have said the same about China decades ago, but economic indicators
205360	211740	are often, counterintuitively, not the most helpful in determining economic growth prospects.
211740	215220	China did not grow off of natural resources.
215220	219820	So too, Africa is not likely to grow off of natural resources.
219820	224440	Both have extensive resources, but economists have observed a phenomenon globally that they
224440	226940	refer to as the resource curse.
226980	232600	Essentially, an abundance of natural resources does not regularly translate well into sustainable
232600	234060	economic growth.
234060	238780	The reasons behind this are hotly contested and quite complex, but one of the simpler
238780	243740	contributing factors is the tendency of resource-based economies to concentrate wealth to a select
243740	244740	few.
244740	248740	While a diamond mine owner might grow rich, the workers in the mine aren't learning
248740	252940	any skills that they can use to innovate, start their own business, and grow the economy.
252940	257300	They just aren't getting educated, and there's no direct incentive on a national
257300	261560	level to improve formal education, since the money that's being made is through jobs
261560	264620	that do not require a high level of education.
