start	end	text
0	3540	I remember exactly where I was.
3540	5380	Sydney International Airport waded into board
5380	6680	a 10-hour flight to Tokyo,
6680	8340	followed by a 12-hour flight to Boston,
8340	10580	then a one-hour one to D.C. to arrive home
10580	12780	the day before Thanksgiving, 2018.
12780	15380	My agent Dave said he had an idea he wanted to run past me,
15380	16980	so he popped on a call.
16980	19620	He had just talked to Vimeo, the video streaming platform.
19620	21100	They were trying to persuade him to persuade
21100	23420	one of his other clients to build a paywall streaming site
23420	25300	for their videos using their tech.
25300	27640	This, and infinite minor variations of this,
27640	29900	was something we'd get pitched constantly as creators,
29900	33100	but everyone recognized that it couldn't really work.
33100	36300	In fact, it had a long history of not working.
36300	38540	Perhaps the most flashy failure was Vessel.
38540	39780	It launched in early 2015
39780	41480	with the big-name creators of the time.
41480	43180	Good Mythical Morning, Epic Meal Time,
43180	45080	Shane Dawson, Linus Tech Tips.
45080	46660	It was basically a YouTube replacement.
46660	48680	Same content, same creators, same features,
48680	51060	with the addition that users could pay $2.99 a month
51060	53000	to watch videos 72 hours early.
53000	54900	Combine that with their supposedly unique
54900	57220	advertising ecosystem, and the pitch to creators
57220	59300	was that they could earn dramatically more per view.
59300	61400	This is always the core proposition
61400	63040	with these alternate streaming services.
63040	64200	More revenue per view,
64200	67240	but they almost always have the same problem.
67240	70880	The number of views is orders of magnitude lower.
70880	73580	Platforms have to extract value from the audience somehow,
73580	74840	whether through a paywall or through
74840	76280	more intrusive advertising.
76280	78120	So why would a viewer watch on your platform
78120	80560	when they could watch the exact same content on YouTube
80560	83420	for free and with less intrusive advertising?
83420	85420	So creators signed on to platforms like Vessel,
85420	86960	get menial views compared to YouTube,
86960	88600	and before these platforms can grow enough
88600	89760	to get to a point where it's worth it
89760	91540	for creators beyond an initial test group,
91540	93500	they run out of money and shut down.
93500	96060	But we had some ideas on how we could fix that.
96060	99040	We thought there was a chance that we had identified
99040	102300	a magic formula that we were in a uniquely good position
102300	105220	to undertake that could make this simple concept work
105220	107680	where all others had failed.
107680	111520	Four years later, well, not to brag, but we were right.
111520	113820	Nebula has grown massively.
113820	118020	Over 650,000 paying users, 100 staff members,
118680	122320	a conservative overall valuation of over $150 million,
122320	125580	and it did all of that with absolutely zero dollars
125580	127320	of venture capital funding.
127320	128760	So what did we do different?
128760	131460	Why were we able to make this simple concept work
131460	133520	when all others had failed?
133520	136160	Clearly this video is going to be different.
136160	138700	I'm not gonna be talking about logistics or geopolitics
138700	140700	or infrastructure or another business.
140700	142240	I'm talking about my business.
142240	145140	So that's why, for the first time, I'm here.
145140	146880	This was a tricky video to write.
146900	149440	I'm trying to use my unique combination of positions
149440	152280	as an owner of a now sizable business and as a creator
152280	154200	to tell an intimate inside story
154200	157680	of how you can grow an idea into an enterprise.
157680	159180	There are a lot of things that can't be said
159180	160640	for legal or practical reasons,
160640	162920	and there are countless different stakeholders involved.
162920	165560	So what follows is what I believe is the fullest story
165560	168060	anyone can tell about the inside operations
168060	169760	of a business of this size and nature,
169760	171260	but there are, unfortunately,
171260	173020	some things I just can't talk about.
173020	176160	It's a long story, but it begins in a very small way.
176180	177920	On July 27th, 2016,
177920	181220	I got this DM from Philip Detmer of Curse Protect.
181220	182820	Hey man, let's get right to it.
182820	184980	So me and another big YouTuber might be starting something,
184980	186860	but I can't really talk about it yet.
186860	188960	We went back and forth for a month trying to schedule a call,
188960	190100	then finally we talked.
190100	192060	Basically, Philip was going to introduce me
192060	193700	to the freelance sponsorship agent
193700	196360	he and CGP Grey had been working with for years,
196360	198960	and later that might turn into something bigger.
198960	202200	That freelance sponsorship agent was Dave Whiskas.
202200	203300	That's a name you'll want to remember.
203300	204840	It's pretty relevant throughout.
204860	206660	We talked, he promised better rates
206660	208860	through a data-driven approach with an upfront commission.
208860	210140	I somehow believed him,
210140	213060	but eventually it turned out he was actually right.
213060	214500	Some important context.
214500	217800	The industry that had arisen around YouTube creators in 2016
217800	220640	was chock full of liars, cheats, and thieves.
220640	221860	It was only over the prior couple of years
221860	223700	that people could start to make a living off of YouTube,
223700	224820	and seemingly the first people
224820	226420	that thought to insert themselves as middlemen
226420	228480	were all glorified grifters.
228480	231140	Getting sponsored is crucial to going full-time on YouTube.
231140	232720	AdSense alone rarely cuts it,
232720	234580	so at the time, the only deals I could land
234580	236040	for my fledgling channel were ones
236040	238980	that automatically locked me into six months of exclusivity
238980	240460	with the agency I booked through
240460	243680	without any guarantee they would actually fill video inventory
243680	245460	and with undisclosed commissions.
245460	247720	Undisclosed commissions in this context
247720	250580	means they just told you exactly what you'd get paid,
250580	252680	which sounds great in theory, but in practice,
252680	254340	what it means is that they're selling the slot
254340	255980	to the sponsor for one price,
255980	259320	then paying you a completely different, lower price,
259320	261020	and never telling you what the difference was.
261020	262960	So just decide what they think you'll accept,
262960	264320	but you have little leverage to say no,
264320	267120	because once again, you're locked into exclusivity.
267120	269480	You're only legally allowed to work with them.
269480	270920	Oh, and also, contractually,
270920	272840	they represented the sponsor, not the creator,
272840	274320	so their incentives were to push the price
274320	275440	as low as it could go.
275440	277040	If you didn't like it and wanted to jump ship,
277040	279000	you had to go without sponsorship for six months,
279000	280760	which would kill your finances.
280760	282840	I've seen hard evidence that this particular agency
282840	285400	was taking a 50% undisclosed commission
285400	286760	on certain creator sponsorships,
286760	288560	so it's no wonder why Dave was able
288560	289960	to immediately beat their rates
289980	291660	and get sponsors to come back.
291660	293280	They might have actually been paying less,
293280	295900	but I, the creator, was getting more hit.
295900	298140	By chance, Gray and Philip had also introduced Dave
298140	299540	to Brian from Real Engineering.
299540	301140	We had collaborated on a set of videos
301140	302660	that turned out to be big viral hits
302660	304700	that launched both of our channels into relevancy,
304700	306740	so he was one of my first creator friends.
306740	309060	The next one was Joseph from RealLifeLore.
309060	311740	I had never met him in person, but we had talked plenty,
311740	312960	so I convinced him to fly out
312960	316380	to the inaugural VidCon Europe in Amsterdam in April 2017.
316380	318140	Part of the reason was because I had been nagging Dave
318140	319580	for months to work with Joseph,
320120	322400	whose channel was exploding, and Dave would be there too,
322400	324120	the perfect opportunity for them to meet.
324120	325920	Joseph ended up having a nightmare weekend
325920	328360	of travel delays, some snowstorm or something,
328360	329340	so he didn't end up getting there
329340	331240	until the afternoon of the last day,
331240	333520	but I introduced everyone and we headed to a bar.
333520	334720	We stayed there for hours.
334720	335720	Everyone hit it off,
335720	338040	and it capped off an exhilarating week out,
338040	340740	the first time any of us had seen a physical manifestation
340740	342920	of the industry we had inserted ourselves into.
342920	345160	After working in isolation, it was eye-opening
345160	346880	to see and talk to so many others
346880	349520	doing the same thing as us, and according to Dave,
350340	353060	in retrospect, this was the moment when he fully realized
353060	356140	that this informal system of freelance sponsorship booking
356140	358700	could grow into something more.
358700	361080	It'd be called Standard, a purposely forgettable name
361080	363380	for a company designed to exist in the background,
363380	366220	making life easier for the creators on center stage,
366220	367060	and it worked.
367060	369280	Creators were simply just having a better experience
369280	370460	working with Standard.
370460	372740	The rates were strong, the experience was personal,
372740	375460	the ethos ethical, in a landscape filled with grifters
375460	377980	and cheats, the concept of a sponsorship agency
377980	379680	simply doing its job fairly
379680	382280	was enough to drive natural word-of-mouth growth.
382280	384060	We added dozens of creators to the roster
384060	386560	and started to be viewed as the go-to agency
386560	387800	for educational YouTube.
387800	389480	We hired staff, got an office,
389480	391960	started throwing VidCon parties, it was all happening.
391960	394480	Unbelievably, this part, the part that at the time
394480	397080	felt like hard-earned yet incredible success,
397080	399760	needs to get glossed over to get to the good part,
399760	401920	November 27th, 2018.
401920	403400	After a couple of days of back and forth
403400	405000	with myself and a few other creators,
405000	407440	that's when Dave emailed his full roster of creators
407440	409580	the white paper, the initial concept
409580	411540	laying out our vision for Nebula.
411540	414380	This is that exact email.
414380	415860	In some ways, it was close.
415860	416880	How would this work?
416880	419140	Standard creators post ad and sponsor-free versions
419140	420620	of their videos, and occasionally
420620	422420	the service premieres exclusive content.
422420	425660	Let's say we charge users $5 per month for their service.
425660	428300	All of this is still true to this day, even the price.
428300	430420	In other ways, we were way off.
430420	431780	How do we attract viewers?
431780	434940	First, we can simply buy AdSense ads on Standard channels.
434960	438200	Sponsoring our own creators feels wrong, at least for now.
438200	440240	We can revisit it later if we think we can do it
440240	441120	without looking dumb.
441120	442960	This is about as wrong as it could be.
442960	445360	We have never figured out how to make AdSense marketing
445360	447640	for Nebula profitable, while sponsoring YouTube creators
447640	449800	has been the driving growth force.
449800	451200	We'll get to how we made that work.
451200	453800	But the real key that we understood from day one
453800	455520	was that opportunity cost.
455520	457800	To Standard, but especially to creators,
457800	461240	had to be as small as it could possibly be.
461240	463720	Equivalents before us always raised a huge amount
463740	466420	of venture capital funding, made a big splash at launch,
466420	468180	and ran out of money before profitability,
468180	470500	leaving creators embarrassed when they folded.
470500	472540	We knew that creators were wary of aligning themselves
472540	476380	to something so risky, so we needed to make a small splash.
476380	479340	We needed to design Nebula to fail gracefully.
479340	481540	We needed to make it so that if it did fail,
481540	483940	it would have the smallest possible impact
483940	486180	on reputation and finances.
486180	488100	Essentially, we followed the most dramatic form
488100	490580	of the minimum viable product model of innovation.
490580	493140	We needed to get a super scrappy version of the product
493680	495800	out into the public so that rather than us having to guess,
495800	498360	they, the customers, would tell us what they wanted
498360	499800	through how they acted.
499800	502480	You watch consumer behavior in order to fulfill their wants.
502480	504800	Luckily, a lot of the bones were already in place.
504800	507240	Dave's prior life was in the iOS app development world,
507240	509520	so he had a lot of experience in software.
509520	511280	We actually had a few engineers on staff
511280	513640	to work on the backend tool we use for sponsor billing
513640	515160	and inventory management.
515160	518080	The trickiest bit would be the actual streaming.
518080	519720	The big platforms like YouTube and Netflix
519720	522800	make it look easy, but it's quite a technical challenge
523340	525740	to distribute high-quality video on low-quality internet
525740	527700	all across the globe, and we didn't possibly
527700	529320	have the money to build our own streaming tech.
529320	531220	Of course, Vimeo originally approached us,
531220	532580	but the problem with partnering with them
532580	535100	was that they'd have owned the billing relationship.
535100	536700	Basically, when someone signed up,
536700	538700	Vimeo would keep their credit card details and info,
538700	540220	and while we'd get the money,
540220	541820	if we ever decided to split with them,
541820	544300	there was no guarantee we'd keep the subscribers.
544300	545500	So we'd rather decided to partner
545500	547620	with another streaming provider called Zype.
547620	549940	Therefore, all we had to build was a front end,
549940	551700	a slick, flashy user interface
551720	554200	to make it all look professional, and an iOS app.
554200	555800	We barely even had a backend.
555800	558140	We had Eric, who doubled as our podcast editor,
558140	559580	who would take the videos creators added
559580	561800	to a shared Dropbox folder, run them through the encoder,
561800	564560	and post them in the right spot with the right metadata.
564560	566640	All in all, it cost around $100,000
566640	568080	to get Nebula ready for launch,
568080	571200	an incredibly low sum for both the website and app,
