start	end	text
0	2800	This video was made possible by Hover.
2800	8640	Buy your domain before it's gone for 10% off by going to hover.com slash wendover.
8640	11900	This is Heathrow Airport—Britain's busiest.
11900	17080	Each day, about 650 flights take off from one of its two runways.
17080	21780	At the busiest times, this represents one aircraft every 45 seconds.
21780	26800	Of those 650, about 20 flights daily head to Frankfurt.
26800	31520	During British Airways and Lufthansa, flights on this route depart more than hourly throughout
31520	32600	the daytime.
32600	37080	This makes Frankfurt one of Heathrow's most frequently served destinations.
37080	41280	Despite the unremarkable nature of such a flight, the complexity of even this one hour
41280	43000	hop is enormous.
43000	47760	It takes dozens of people spread out all across the continent to coordinate and navigate just
47760	51000	one of these flights safely to its destination.
51000	55300	This is everything that happens within the 90 minutes it takes for a plane to get from
55300	59020	its gate at Heathrow to its gate in Frankfurt.
59020	62760	Hours before the flight is scheduled to take off, British Airways will have sent a flight
62760	68220	plan to HERE—Eurocontrol's Network Manager Operation Center in Brussels.
68220	72900	Now, Eurocontrol is an intergovernmental air traffic management organization.
72900	80160	Well Eurocontrol is an intergovernmental organization of 43 states—Eurocontrol and beyond—and
80160	83260	we do air traffic management service transversal.
83260	87220	What that means is that Eurocontrol deals with a variety of different aspects of the
87220	90180	job of managing air traffic in Europe.
90180	93400	One element of that is what's called network management.
93400	97380	This function essentially involves, from this room, making sure that flights make their
97380	101180	way through Europe as safely and smoothly as possible.
101180	106060	That field is headed up by Sopo Prisinati—Eurocontrol's Director of Network Management.
106060	109500	So, here you see that's our operational room.
109500	117940	The scope is to provide services to 43 air navigation service providers, to provide services
117940	124940	to more than 500 airports, and to provide services to more than 1,000 airlines over
124940	126180	the network.
126180	130260	One corner of this room is devoted to checking those flight plans that airlines send in.
130260	135080	Now, what they need to check is that these plans are following the rules.
135080	140160	You see, two aircraft, the sky does not look like this, but rather this.
140160	144640	At least in most of Europe, there are thousands upon thousands of predefined airways each
144640	149640	with their own rules on directionality and routes and more so aircraft not only need
149640	154520	to fly on these roads but they also need to follow the rules of the roads.
154520	158240	Looking at this map, you can see why, for example, you won't see many planes flying
158240	162880	over this area in the east of England—there just aren't many airways there.
162880	166560	Eurocontrol sends the flight plans through a program to check that they follow these
166560	171840	rules but if the computer rejects it, then it goes to these people in about 2% of cases
171840	174880	who coordinate with the airline to fix it manually.
174880	178440	From there, they'll distribute the flight plans to all the air traffic control centers
178440	181720	that each aircraft is expected to fly over.
181720	185320	That process happens before the flight has even taken off.
185320	189640	Going back to that British Airways Heathrow to Frankfurt flight, once their plan is approved,
189640	193460	the plane is fueled, loaded, and ready to go, the pilot will get approval from British
193460	198320	Airways' flight dispatcher, and Heathrow's ground control to push back.
198320	202320	Ground control is responsible for navigating all the vehicles and planes safely across
202320	205340	the apron until when they reach the runway.
205340	209440	The moment an aircraft gets to the runway, they are then the responsibility of tower
209440	213700	control which, assuming all is well, clears them for takeoff.
213700	217440	As the plane reaches altitude, it will be passed off to the London Terminal Control
217440	222360	Center located here near Southampton which navigates aircraft through the complex London
222360	228040	area airspace until they reach 24,500 feet or flight level 245 which for this flight
228040	231240	should be just about when it reaches the coast.
231240	235000	From there, they'll be transferred to the London Area Control Center, which is physically
235000	238640	located in the same building, to navigate them across the channel.
238640	244200	Once they reach about halfway across, however, they leave the UK's airspace and enter Belgium's.
244200	248860	With that, they are now the responsibility of the Maastricht Upper Area Control Center,
248860	251080	also managed by Eurocontrol.
251080	260480	We are a European nonprofit cross-border military-civil air navigation service provider and our job
260480	267020	is that we handle safely and in an efficient and performant way all traffic above flight
267020	270920	level 245, 24,500 feet.
270920	278200	To reiterate, they handle traffic across this whole area, above 24,500 feet or 7,500 meters.
278200	289200	So we manage what more or less 1.9 million of movements per year so between 5,000-5,700
289200	293360	movements depending on the season and the day per day.
293360	297840	It's one of the busiest and most complex airspaces in Europe especially as it receives
297840	302200	a significant amount of traffic climbing from or descending into four of Europe's
302200	307180	five busiest airports—Heathrow, Schiphol, Frankfurt, and Paris Charles de Gaulle.
307180	312040	Every single one of those flights, as long as it's between flight level 245 and 660,
312040	314560	is in contact with the people in this room.
314560	319880	Now, the Maastricht Control Center's airspace is divided into three sector groups—the
319880	322920	Brussels, Hanover, and Deco sector groups.
322920	327240	Each sector group is staffed by their own set of controllers who only work on their
327240	328240	group.
328240	331800	A Brussels sector group controller would very rarely switch over to the Hanover group, for
331800	332800	example.
332800	337820	Many controllers spend their entire careers working at one control center within one sector
337820	338840	group.
338840	342720	This allows them to really learn the design of their airspace in depth.
342720	346320	Each of these sector groups is then divided into sectors themselves.
346320	350600	Now, sectors can be divided both horizontally and vertically.
350600	355840	For example, there's the Luxembourg sector, between flight level 245 and 355, and also
355840	360060	the Luxembourg High sector, above flight level 355.
360060	365680	At the very busiest times, each sector will have its own dedicated set of controllers.
365680	370800	At less busy times, though, they can and do combine the upper and lower sectors together
370800	373600	so they're staffed by one set of controllers.
373600	377440	At the least busy times, such as in the middle of night, they'll often combine a number
377440	378540	of sectors.
378540	383180	For example, the entirety of Belgian airspace is typically controlled by one set of controllers
383180	384600	in the dead of night.
384600	388300	In charge of each sector are two controllers working as a team.
388300	392020	One is in charge of talking to pilots, the other is in charge of talking to their counterparts
392020	394260	at other sectors to coordinate handovers.
394260	399280	Now, in practice, for that London to Frankfurt flight, before it enters Maastricht airspace
399280	403660	in the Coxie sector, they'll receive info on where and at which flight level it will
403660	404660	arrive.
404660	409180	They'll also get info from the flight plan on where it's supposed to exit their sector.
409180	413780	An aircraft might also enter at one altitude and be planned to exit at another.
