start	end	text
0	2440	This video was made possible by Hover.
2440	8820	Buy your custom domain and email before it's gone for 10% off at hover.com slash wendover.
8820	15040	The United States, despite its geopolitical prominence, is flanked by but two countries.
15040	22280	To the north, the 5,525 mile, 8,891 kilometer line separating it from Canada represents
22280	24500	the longest border in the world.
24500	31940	To the south, the 1,954 mile, 3,145 kilometer US-Mexico border is perhaps one of the most
31940	34220	significant in the world.
34220	38220	It separates two of the most economically and socially interlinked countries in the
38220	39220	world.
39220	43700	The US buys more from Mexico than any other country, Mexico buys more from the US than
43700	48060	any other country, and Mexico sells more to the US than any other country.
48060	53820	Beyond that, there are some 37 million people living in the US with Mexican ancestry which
53820	56420	is a truly staggering statistic.
56420	59820	That means there are more Mexicans living in the US than there are people living in
59820	62340	Canada full stop.
62340	67260	Both the US and Mexico rely hugely on this continuous flow of people and money back and
67260	73500	forth which means how well this border functions is directly tied to the success of both countries.
73500	79000	Unfortunately for both, though, this border, while significant, has its issues.
79000	83540	A border and its effectiveness involves far more than the line itself—it's about how
83540	88260	well the overall immigration system between the two countries functions—but, at the
88260	91840	end of the day, that line is still quite important.
91840	96420	The Mexico-US border is crossed more than any other, restricted border in the world,
96420	98900	meaning it's actually quite porous.
98900	102620	There are 50 spots where one can legally cross the border by land.
102620	107420	The smallest is the tiny Boquillas Port of Entry in Big Bend National Park where about
107420	112820	11,000 annual travelers are processed remotely using video inspection kiosks, mostly to make
112820	116980	day trips to the small Mexican town of Boquillas del Carmen while vacationing in the national
116980	117980	park.
117980	122080	On the other hand, the largest crossing is the San Ysidro Port of Entry, processing
122080	127860	11 million pedestrians and 26 million cars per year—thereby making it the busiest land
127860	130780	border checkpoint in the western hemisphere.
130780	135180	As part of the primary route between San Diego and Tijuana, two cities between which people
135180	139660	commute on a daily basis, this crossing is never not busy.
139660	147740	The rest of this 1,954 mile, 3,145 kilometer line, beyond those 50 checkpoints, is secured
147740	152820	as, to go from Mexico to the US or the US to Mexico, you have to go through immigration
152820	156760	checkpoints—at least to do it legally.
156760	160940	Each and every year, hundreds of thousands or millions of people attempt to cross into
160940	165580	the US via the southern border without the legal right to do so.
165580	168340	In short, they try to migrate illegally.
168340	173900	Now, the vast majority of these undocumented immigrants are not successful in their endeavor—an
173900	180300	estimated 55-85% of them are caught and sent back to their home country—but to many people,
180300	182180	these odds are worth it.
182180	187700	There is enormous economic disparity between the US, where average income is $65,000 per
187700	193100	year, and Mexico, where that number stands at $9,500 per year.
193100	197500	Also, while low compared to other wealthy countries, the US scores much better than
197500	202140	Mexico on social mobility, meaning a poor person is more likely to become wealthier
202140	204980	in their lifetime in the US than Mexico.
204980	208500	In short, while there are certainly nearly infinite reasons why someone might choose
208500	213780	to migrate to the US, including, quite often, family reunification or an escape from violence,
213780	218220	research has shown that money, and the attempt to escape poverty, is typically the strongest
218220	220060	and primary one.
220060	224780	Of course, the question is, why don't these people migrate to the US legally?
224780	227020	It would certainly be safer and cheaper.
227060	231580	Well, overwhelmingly, the answer is because they can't.
231580	237460	For some people, there is no legitimate route to legal status in the US and, to others,
237460	239180	there's no practical way.
239180	244240	Many forms of American immigrant visas have annual caps that are not proportional to immigration
244240	246200	demand from a given country.
246200	250660	That means that, for example, if you were a married Mexican citizen who was the son
250660	255560	or daughter of a US citizen, the wait time to have your visa processed currently stands
255600	258220	at 24 years.
258220	263400	That means that now, in September 2020, they're currently only processing applications submitted
263400	266520	up until August 1st, 1996.
266520	270720	Faced with the prospect of waiting 24 years, more than a fourth of their life, until they
270720	275000	can live and work in the same country as their parents or, for example, take care of them
275000	280520	in old age, many people seeking this and other classes of visas choose not to wait, and rather
280520	286640	take the faster, yet riskier option of immigrating without authorization.
286640	291400	While dangerous, the process of crossing the border illegally is a path generally not taken
291400	292400	alone.
292400	297480	Back 20 years ago, people had to figure out this process themselves, but nowadays, upwards
297480	302160	of 95% of first-time crossers hire a smuggler to help them.
302160	308240	That's an expensive proposition, with the average fee hovering around $3,500 per person—about
308240	310700	four months' wages for the average Mexican.
310700	314680	In exchange for their fees, these smugglers will generally group migrants together, transport
314680	318580	them to the border, give them instructions on how to cross, and then arrange for transportation
318580	320120	on the other side.
