start	end	text
0	7480	In 2013, Jeff Bezos introduced the world to a concept that promised to revolutionize delivery.
7480	12840	Bezos kept telling us that he did have a big surprise, something he wanted to unveil for
12840	14080	the first time.
14080	17280	But there's no reason that they can't be used as delivery vehicles.
17280	22880	Within a matter of years, autonomous drones would engulf cities, sweeping across skies,
22880	26840	delivering packages to front yards just 30 minutes after their order.
26880	31880	The announcement floored Charlie Rose and America alike, grabbing headlines for weeks
31880	36640	and setting off fiery debates over just how disruptive the disruptive technology would
36640	37640	be.
37640	42480	Drones would offer urban and suburban consumers a clean, quick, convenient delivery option
42480	47480	for food, medicine, or whatever else five pounds or less without burning fossil fuels,
47480	50560	without getting stuck in traffic, without making them wait.
50560	54780	The idea was far-fetched, it was exciting, it was the future arriving in front of our
54780	60080	very eyes, and it signaled that the race to take delivery drones to market was on.
60080	64280	By the time Amazon landed its first package, Zipline was already delivering medical supplies
64280	69420	in Rwanda, SkyDrop had flown a 7-Eleven Slurpee and a Domino's Pizza straight to consumers,
69420	73020	and Google's Project Wing had airdropped burritos to hungry college kids.
73020	78140	A wave of startups sent their maiden drone delivery skyward to much media fanfare, while
78140	84020	major parcel couriers—DHL, UPS, FedEx—substantiated the hype by partnering with the budding tech
84020	87540	companies set to help solve their last-mile problems.
87540	92380	Inventors, investors, eccentric billionaires, and the world's biggest companies were all
92380	94180	pulling the same rope.
94180	96900	Anything, anywhere, anytime.
96900	100240	The dark days of DoorDash and two-day delivery were over.
100240	103800	The drone delivery era was coming.
103800	104800	Or so it seemed.
104800	110500	It's now 2022, and save for the smallest fraction of a percent of people, it's not
110500	114480	automated drones dropping off your small packages and food orders.
114480	118500	Pizzas aren't falling from the sky, they're showing up in the hands of a high schooler.
118500	122300	Burritos aren't delicately dropped on your lawn from above, they're left on your doorstep
122300	123820	by a hustling gig worker.
123820	128340	Your Amazon order won't show up in 30 minutes, it probably won't even show up same day.
128340	134100	The world 60 Minutes introduced in 2013, the world that felt closer and closer to reality
134100	138380	with every inaugural delivery, just isn't here.
138380	142360	Fundamentally, the fast delivery niche still exists.
142360	147040	The last mile still accounts for around 40% of partial shipping costs, roads are still
147040	151540	increasingly clogged with traffic, green shipping alternatives are still desperately needed,
151540	155580	and consumers still want products as cheap and fast as possible.
155580	159840	Outside of a few specific locations, drone delivery has yet to take off, and in those
159840	163740	few specific locations, it's hardly more than a proof of concept.
163740	168280	Certainly, delays are understood, expected even, when it comes to the acceptance of a
168280	170060	disruptive technology.
170060	174900	Delayed acceptance, though, is at very most, only part of the story.
174900	180640	In 2021, Amazon fired staff and closed its prime-air offices in the UK.
180640	185500	From the former center of Amazon's drone project emerged stories of mismanagement and
185500	186500	disarray.
186500	191540	Employees drank beers at their desks, managers were given no direction, executives ignored
191540	194660	the stalling division aside from the occasional pizza party.
194660	198980	While the company responded to these reports with a statement affirming its continued investment
198980	203380	in drone delivery, Amazon hasn't released any promotional material for the project since
203380	208260	2016, and Prime Air's website doesn't seem to have been updated in years.
208260	213060	The most generous possible interpretation is that the Amazon project is definitively
213060	216140	on the backburner—others aren't even there.
216460	221580	While Amazon remains quiet on their future intentions, DHL announced in summer 2021 that
221580	227060	it was officially abandoning its Parcelcopter project nearly eight years after its maiden
227060	228060	flight.
228060	232340	So, two of the most important drone delivery companies put their programs on ice, few companies
232340	236960	are getting the investments they used to, and no company has yet realized the imminent
236960	241060	future of widespread operations laid out a decade ago.
241060	245220	So, what went so wrong with drone delivery?
246580	252620	Well, this is Phoenix—a sprawling desert metropolis home to five million people.
252620	257540	On first glance, Phoenix seems the perfect candidate for a drone delivery service.
257540	262420	Its year-round sunny, dry, still climate makes for easy, reliable flight conditions, its
262420	266740	autonomous innovation-friendly city and state governments would welcome them with open arms,
266740	271020	and its sprawling, low-density neighborhoods would make for countless hungry and impatient
271020	274500	residents lacking walkable dining and shopping options.
274500	280440	Surely, this is the low-hanging fruit—surely, a drone delivery company could come in, connect
280440	285860	any house with any product within minutes, and demand would immediately outstrip supply,
285860	286860	right?
286860	288900	Well, perhaps not.
288900	292700	Connecting any house with a drone delivery provider doesn't quite work, because in
292700	297240	the center of the city, right here, is Phoenix Sky Harbor International Airport.
297240	301300	In order to assure the safety of arriving and departing aircraft at the busy hub, the
301300	304140	FAA restricts the use of drones within this area.
304180	309660	So, a Phoenix drone delivery service probably just couldn't operate here, and here, in
309660	315020	the restricted airspace around Luke Air Force Base, and here, around Phoenix Goodyear Airport,
315020	318580	and here, and here, and here, here, and here.
318580	323200	It's not entirely impossible to operate drones within restricted airspace, but from
323200	328740	a legal perspective, it ranges from somewhat to extremely difficult—enough that it probably
328740	332860	wouldn't be worth pursuing for a drone delivery company at least at the start.
332860	335940	The rest of Phoenix, though, is fair game.
335940	336940	To an extent.
336940	340460	You see, drones need somewhere to deliver to, and it's gotta be safe.
340460	344700	When the concept was first introduced, the vision typically presented was of a drone
344700	350540	flying down, landing on one's lawn, releasing its delivery, then taking off and flying away.
350540	351540	That didn't work.
351540	353500	At least, not in reality.
353500	358300	Drone delivery is a novel technology, and, like any novel technology, the public views
358300	360260	it with an air of distrust.
360260	365520	The worst thing the industry could do is prove that distrust warranted with a series of high-profile
365520	367180	accidents at launch.
367180	371960	The first instance of a delivery drone injuring a customer will inevitably ignite a media
371960	377320	firestorm, which could lead to a legislative clampdown, so manufacturers naturally must
377320	379900	strive for perfection.
379900	382100	Perfection is tough to scale, though.
382100	385900	Delivery drones must act autonomously to be cost-effective, and autonomous operations
385900	390660	require computer vision and artificial intelligence able to reliably identify a clear landing
390660	391660	zone.
391660	395740	Determining whether someone is behind or in front of a window, noticing when a dog's
395740	399620	running towards the drone, knowing what's a pool and what's dry ground—these are
399620	404060	all challenging for a computer to tackle on its own, and so attaining perfection proves
404060	405540	rather difficult.
405540	410540	Therefore, whereas the logistics field generally considers the last mile of delivery the most
410540	415440	difficult, once the economies of scale are gone, drone delivery is a last-mile solution
415480	417520	with its own last foot problem.
417520	421880	It's fairly straightforward to get a drone to a couple dozen feet above the ground—getting
421880	425880	a package safely to the ground has proven more challenging.
425880	427840	Some solutions have emerged.
427840	432620	Zipline, focusing on longer-distance delivery to a set number of facilities with dedicated
432620	437000	delivery zones, drops its payload in a packaging with an attached parachute that carries it
437000	438080	to the ground.
438080	442520	MatterNet also uses dedicated zones for delivering to commercial facilities, while they've
442520	445920	developed a system of delivery stations for use by urban consumers.
445920	450440	Uber Eats, meanwhile, implemented a scrappy yet inefficient system where delivery drones
450440	454680	would land on top of delivery drivers' cars, then those delivery drivers would walk the
454680	456640	food to the customer's door.
456640	460840	Most solutions for the last foot problem, however, have gravitated towards one method.
460840	464960	Wing, Skydrop, Flytrek's Wingcopter, and others have developed systems where their
464960	468940	drones hover above the destination at a safe height and lower their payloads to the ground
468940	474180	using cords—far less risky than landing a heavy drone propelled by fast-moving rotors.
474180	479620	What all these solutions have in common is that they require a roomy, controlled, obstruction-free
479620	482380	area to make their final deliveries.
482380	487020	However, in the places where people actually live, that's hardly a given.
487020	490980	Yards are the best delivery zones that are widespread, but not everyone has a yard.
