start	end	text
0	2880	This video was made possible by Hover.
2880	8440	Professionalize your web presence with a custom email address for 10% off at hover.com slash
8440	10800	Wendover.
10800	15080	This is the two-page document that changed the world.
15080	19900	It's what's referred to as a notification to the World Trade Organization Committee
19900	25040	on Technical Barriers to Trade—a type of document that, to anyone in the know, is thoroughly
25040	26040	mundane.
26920	32960	In fact, every few hours another such notification enters the WTO system, each signifying that
32960	37600	yet another country wants to make yet another change to its rules regarding the import or
37600	40680	export of goods or services.
40680	47960	This particular notification, though, submitted on July 18th, 2017, managed to send the entire
47960	55120	global recycling industry into a tailspin—or possibly even a death spiral.
55120	61560	But simply, this document broke the world's recycling system.
61560	63760	But here's how it worked before this document.
63760	68700	Let's say a woman in Littleton, Colorado has yogurt for breakfast.
68700	74480	The yogurt is packaged in a thin polypropylene plastic container and so, once finished, she
74480	77780	disposes of it into her recycling bin.
77780	81960	This is then picked up by a recycling truck a few days later and brought here to the local
81960	85280	recycling company's Materials Recovery Facility.
85280	89660	There, this yogurt container, along with all the rest of the single-stream recycling picked
89660	94840	up that day, is dumped out and placed into this semi-automated sorting system.
94840	99360	Some products are simple to isolate—most metals, for example, can be picked up by magnets
99360	103240	while paper and cardboard can be easily sorted by density as they're typically lighter
103240	104720	than other recyclables.
104720	109520	Glass, plastics, and non-magnetic metals are a little more difficult to sort, but each
109520	114220	looks quite distinct, so optical scanners operate blowers or other diversion tools that
114220	116580	are able to sort these out.
116580	122300	With a few more steps, the facility is more or less left with just plastic, but that's
122300	124900	where things get difficult.
124900	129840	Plastic comes in all sorts of shapes, sizes, and types, and different shapes, sizes, or
129840	133320	types of plastic are recycled in different ways.
133320	137540	Optical sensors start out by at least accomplishing a high-level sort, though.
137560	142900	For example, in many US states, plastic bottles are sold with a five or ten cent deposit,
142900	147580	meaning that recycling companies put a lot of effort into recovering those from the mix,
147580	151660	as they can be sold for, at least relative to the other plastics, a lot.
151660	156060	They also put a lot of work into recovering certain plastic types, such as high-density
156060	160460	polyethylene, as this both sells for more and is easier to sort out of the mix since
160460	164580	it's typically used to make larger items like plastic crates, shampoo bottles, and
164580	167260	other products where sturdiness matters.
167260	171740	The polyethylene and other higher-value plastics are quite accurately sorted and then melted
171740	176380	down into bulk raw plastic which is resold to manufacturers.
176380	181420	Certain other plastics, though, have a negative value—they can't be sold, and in fact,
181420	185840	it would take so much work to turn them into usable raw material that recycling companies
185840	188920	would have to pay someone to take it off their hands.
188920	193680	Typically falling into this category are smaller items like bottle caps, plastic bags, and
193720	198340	other scraps below three inches or eight centimeters in width that just can't be easily sorted
198340	200320	by automated systems.
200320	204600	These are then aggregated together and, at best, used to generate electricity through
204600	208920	incineration or, at worst, are just sent to a landfill.
208920	213800	So, to summarize, there's high-value plastic that's recovered immediately, negative-value
213800	217740	plastic that's either incinerated or sent to a landfill, and then there's a third
217740	223040	category in between those two, and that's where things get interesting.
223400	228380	Anything that isn't small and unrecoverable or large and valuable is typically mixed together
228380	235120	and formed into big bales of unsorted, medium-size, medium-value plastic that effectively have
235120	237880	a neutral value on the free market.
237880	243520	The raw materials in these bales, known as MRF residuals, is not quite valuable enough
243520	247780	to pay for the sorting process they would need for recycling, which leads to their neutral
247780	251600	value—at least, in the US.
251600	255680	Whenever it takes its trip through the Materials Recovery Facility, that yogurt container from
255680	262340	Littleton, Colorado would, if properly sorted, end up in one of these MRF residual bales.
262340	268120	These are then loaded into the back of a semi-truck driven 1,000 miles to the port of Long Beach,
268120	269120	California.
269120	274040	There, the bales are officially exported from the US, loaded into a shipping container,
274040	279360	and placed on an enormous, yet empty, Hong Kong-bound cargo ship.
279360	286700	Now, with this knowledge, some might ask a question—how on earth did we end up with
