start	end	text
0	3280	So, you want to build a road.
3280	6920	First is perhaps the most impossible feat—finding a route.
6920	11080	That's because roads have a particular shape that Earth often does not.
11080	16280	Both linearly and laterally, they're fairly flat, but not completely flat—flat roads
16280	17280	are dangerous.
17280	21580	A flat turn will increase the potential of a car skidding off, so road designers slope
21580	25800	the corners inward to counteract centripetal force and give the car more friction.
25800	29440	The higher the speed and the sharper the turn, the more slope the turn needs, meaning there
29440	32760	is a theoretically safest slope for a turn.
32760	36700	The American Federal Highway Administration has a formula that converts design speed and
36700	41400	turn radius into a suggested slope, but that's only their interpretation of it.
41400	45280	Road designers and mathematicians endlessly shoot academic papers back and forth debating
45280	48400	the merits of this and other superelevation formulas.
48400	52000	Some suggest more severe banking on turns to accommodate the higher centers of gravity
52000	55760	of trucks, others argue that steeper slopes are not worth the benefit due to the issues
55760	60120	they create for slower-moving vehicles in the event of snow and ice, and it gets far
60120	61820	more complex than that.
61820	66100	But this is all largely irrelevant because, at the very, very most, the sideways slope
66100	70360	will be about 12%, but it's normally quite a bit less and it's only on corners, so
70360	74600	overall a relatively flat cross-section is needed regardless.
74600	79340	Linearly, in the direction of travel, even less of a slope is tolerated.
79340	82860	In order to allow heavily loaded trucks to safely climb and descend, highways should
82860	87140	rise or fall no more than six vertical feet or meters for every hundred horizontal.
87140	92700	So, in combination, the narrow accepted range of linear and lateral slopes presents a challenge
92700	98380	when you need a road to go over this—Colorado's Rocky Mountains.
98380	104060	Originally, America's interstate designers didn't dare attempt to traverse these peaks.
104060	108260	I-70 was originally supposed to end in Denver, leaving the state as the only in the region
108260	110980	without a trans-mountain interstate.
110980	115860	After intense lobbying, though, Washington relented—designers would have to find a
115860	117300	route through.
117300	121740	The E. Lionel Pavlo Engineering Company was tasked with identifying the cheapest, flattest
121740	123300	route through the mountains.
123300	126860	One year later, they returned with these seven options.
126860	130460	At first glance, the northern route seemed best, as it best subscribed to one of the
130460	134660	most tried and tested road routing shortcuts—rivers.
134660	138620	You see, any route through the mountains is going to require a certain amount of earthwork.
138660	143180	If the slope is perpendicular to the road, you cut a flat section into the slope at great
143180	148300	expense—by one estimate, a 50% slope doubles construction costs.
148300	152980	But using earth to achieve the required gradient in the linear direction is even more expensive,
152980	156540	simply due to the sheer distance and volume of earth involved.
156540	160920	So, considering they're either going to need to flatten linearly or laterally, road
160920	163660	builders would much rather do so laterally.
163660	166500	The best place to find routes like this is by rivers.
166540	171260	That's because they typically center mountain valleys and fall rather gradually—for example,
171260	176540	the mighty Colorado River only drops about a mile of elevation across the 280 it traverses
176540	180980	through the state, despite being surrounded by terrain steep enough for a mile of elevation
180980	184300	gain to occur over a mile of horizontal distance.
184300	188780	The gentle riverside linear gradient is perfect for road construction, leaving the primary
188780	193180	gradient correction to the lateral direction, which can be done at lesser expense.
193220	198460	Therefore, on a per-mile basis, this northern route was far cheaper and less complex—the
198460	202100	only section that couldn't easily sit at a reasonable grade was here, traversing the
202100	204920	Continental Divide, where they'd need to build a tunnel.
204920	208940	But after that, the road would follow the Fraser and Colorado Rivers, each shepherding
208940	211620	a flat, mellow path through the mountains.
211620	216380	But the Pavlo Engineering Company didn't ultimately suggest this route.
216380	221400	Its justification was first that this northern area of Colorado was relatively sparsely populated,
221400	224840	even by Rocky Mountain standards, meaning this route would be of lesser use to those
224840	227440	actually living in the state rather than traversing.
227440	232120	And perhaps more crucially, even with the relatively simple geography, it was a far
232120	234280	longer, less direct route.
234280	237940	This meant that, even though the southern route would require traversing two high-elevation
237940	243880	passes rather than one, Pavlo thought it could be built for some $55 million less—it would
243880	246320	just require some creativity.
246320	249560	Inevitably, this route too would require a tunnel.
249560	253120	That's because it crossed the Continental Divide—the geographic split between the
253120	256720	side of the country where rivers drain into the Atlantic and the side where they drain
256720	258000	into the Pacific.
258000	262000	Inherently, rivers from one side don't connect to those on the other, meaning there generally
262000	266640	are not mellow mountain valleys for roads to follow up and across the Divide—there's
266640	271900	simply a wall of massively high, massively steep peaks, meaning traversing it was going
271900	276000	to require either a massive feat of engineering to create an interstate-standard road climbing
276000	280800	up to nearly 12,000 feet or 3,700 meters, or the construction of the world's highest
280800	285280	elevation road tunnel at 11,000 feet or 3,400 meters.
285280	290000	Incredibly, given the gradients and weather in the area, the tunnel was ultimately selected
290000	292400	as the more practical option.
292400	294320	That left the other pass.
294320	297320	The interstate was definitely going to go through Silverthorne, and it was definitely
297320	301680	going to go through Vail, but standing between the two towns was a similarly formidable stretch
301680	302680	of mountains.
302680	307200	Initially, the answer was to just go straight—climb up this valley, then tunnel under Red Buffalo
307200	308200	Pass.
