start	end	text
0	3680	This video was made possible by CuriosityStream.
3680	8920	Get the CuriosityStream-Nebula bundle deal, on sale now for $15 a year, to watch our brand
8920	15500	new Nebula Original documentary at CuriosityStream.com slash Wendover.
15500	20600	In March, 2020, the cruise industry shut down.
20600	23000	There are no qualifiers to that sentence.
23000	28280	It's not that certain ships from certain companies in certain countries shut down—it's
28280	34840	that every ship, from every company, in every country stopped accepting passengers in March
34840	36840	2020.
36840	40240	That's… unprecedented.
40240	46060	Never before in modern times has there been such a complete global shutdown of an industry
46060	47560	of this size.
47560	52040	This isn't like airlines or restaurants or movie theatres—they couldn't keep operating
52040	56780	at a certain level, or with certain precautions, or in certain geographies.
56780	60140	Every single cruise ship shut down.
60140	64220	The second that happened, though, time started ticking.
64220	68680	Cruise lines were on the clock with the biggest challenge they might ever face—they had
68680	74380	to survive as organizations with no revenue, no passengers, and little to no government
74380	79020	support until it was safe and legal to sail again.
79020	85700	As it turns out, doing nothing, as a company, is actually quite a lot of work.
85700	90020	After ships dropped off their last loads of passengers, thousands of people remained
90020	92380	on board—the crew.
92380	95960	Naturally, management started to wonder what they should do with them.
95960	98660	At first, the answer was nothing.
98660	103940	You see, as the shutdown started, much of the global cruise fleet was in the Caribbean,
103940	107540	finishing up the peak season before crossing the Atlantic for the summer Mediterranean
107540	108720	cruise season.
108720	113540	As most Caribbean cruises leave from the US, that meant that the American CDC's March
113540	118620	14th no-sail order was what officially prevented them from sailing, even if in practice most
118620	120460	shut down voluntarily.
120460	125440	That no-sail order, however, was initially slated to expire after just 30 days, so most
125440	129380	cruise lines decided to leave their ships staffed and wait it out under the hope that
129380	131960	they could salvage their summer seasons.
131960	138480	On April 9th, though, the CDC extended the order for 100 days until July 24th, making
138480	143440	it very clear that this would not be a short-term stoppage.
143440	147600	In most cases, cruise lines are subject to the laws of the countries in which they're
147600	151560	registered, which means that most cruise lines register their vessels in countries with loose
151560	155280	labor laws like Panama, the Bahamas, or Malta.
155280	159920	That typically lets them hire from anywhere, which in practice gives them access to low-wage
159920	163480	labor pools from places like Eastern Europe or the Philippines.
163480	169000	Now, cruise ships are, of course, massive, and correspondently need a massive number
169000	170860	of staff to run.
170860	176860	The Carnival Panorama, for example, has a crew size of 1,450 people, and Carnival, its
176860	180240	owner, has some 23 ships.
180240	185100	That meant that, once they decided to officially pull the plug in April 2020, they had some
185100	191460	26,000 staff members from all around the world who each needed to get home.
191460	196140	In the era of paired-back flight schedules, border closures, and complex testing and quarantine
196140	202900	protocols, it soon became very clear that finding 26,000 flight itineraries for 26,000
202900	207780	stranded crew members would not be a quick and simple exercise.
207780	215940	So, rather than 26,000 itineraries, they cut it back to just about seven.
215940	220980	In late April, 18 of Carnival's 23 ships started sailing to a spot off the coast of
220980	222620	Grand Bahama Island.
