start	end	text
0	3880	This Wendover Productions video was made possible by Away.
3880	9560	Get $20 off the perfect suitcase from Away with the code Wendover at checkout.
9560	11720	The post office made America.
11720	17000	It's an ambitious claim, I know, but without it, the United States as we know it today
17000	18860	would not exist.
18860	23540	As author Winifred Gallagher eloquently pointed out in her book How the Post Office Created
23540	27620	America, in the years following the American Revolution, one didn't say, the United States
27620	30940	is, they said, the United States are.
30940	34540	The country at the time was just a loose collectivity of states.
34540	36300	The national government was weak.
36300	39960	People identified with their state first and their country second.
39960	44540	With the opening of the post office, however, Americans across the continent had, for the
44540	49160	first time, a direct link to the federal government and the outside world.
49160	53340	In the New England colonies that preceded the United States, infrastructure was poor.
53340	57460	It was considered a great achievement when travelers could finally reach New York from
57460	58980	Boston in under a week.
58980	63700	There was little emphasis on creating roads between colonies since each was a unique,
63700	65220	independent entity.
65220	69180	Some have even attributed the colonists' lack of attachment to the crown to their lack
69180	70400	of roads.
70400	74940	Those living outside of cities might have never met a royal official in their lives
74940	77780	just because of how hard it was to get around.
77780	82820	Given this, the crown's postal system in the colonies was slow, expensive, and emphasized
82820	87820	links across the Atlantic to Britain almost more than it did links between the colonies.
87820	92100	Before the American Revolution, there were unofficial, almost black market ways of getting
92100	96860	mail around, but the increasingly legitimate Continental Congress—the group that eventually
96860	102060	declared American independence—realized that in order to properly coordinate and collaborate,
102060	105700	the member colonists needed a way to effectively communicate.
105700	111140	Therefore, surprisingly, the United States post office was founded almost a full year
111140	113980	before the United States itself.
113980	118880	In the century following its founding, the US had a bit of a good problem—it expanded
118880	122480	in territory faster than it could expand in people.
122480	126700	For much of its history and still to an extent today, the United States was a country of
126700	129140	vast, untamed wilderness.
129140	133340	This was especially true in the early years to the west of the Appalachians.
133340	138780	Despite the gold rush, California only hit a population of 1 million in about 1890.
138780	143340	By that time, the nation had a population of over 60 million and between California
143340	148740	and the Appalachians during the early 1800s, there was hardly anything—especially roads.
148740	151540	California might as well have been an island.
