start	end	text
0	3300	This video was made possible by Brilliant.
3300	7280	Learn more about the math and science behind this video's topic for 20% off by being
7280	12300	one of the first 200 to go to brilliant.org slash wendover.
12300	18620	Within the walls of the 51 licensed casinos of the Las Vegas Strip, there are 2,879 gaming
18620	25220	tables collectively bringing in $3.1 billion in revenue annually, or over a million dollars
25220	26220	each.
26220	33300	In addition, there are some 38,864 slot machines bringing in another $3.4 billion.
33300	40060	A single large Las Vegas casino, like the Bellagio, makes more annually than some small
40060	41060	countries.
41060	45300	This is because the casino business model is pretty much bulletproof.
45300	49220	Overall, the odds are always in the casino's favor.
49220	54220	If this weren't true, the casino would fail, so these floors just print money.
54220	59280	MGM International, for example, one of the world's largest multinational gaming companies,
59280	65860	has about 2.5 million square feet of casino floor worldwide, meaning it makes, on average,
65860	68500	$1,138 per square foot.
68500	72640	With the money their casinos bring in, they could line every inch of every foot of their
72640	78660	casino floor worldwide with a brand new iPad and still have money left over.
78660	83780	This is all to say, casinos make a lot of money, but to do so, they need a lot more
83780	86340	money coming through their doors.
86340	90400	You see, the casino business model all revolves around risk.
90400	94780	With every game they have, the odds are in their favor, but that's not to say the house
94780	96340	will always win.
96340	101660	Their advantage varies from game to game—in roulette it's about 5.25%, in poker it's
101660	106120	about 3.35%, and in blackjack it's about 0.5%.
106120	110740	Of course, given how tight these margins are, there's a natural variability so casinos
110740	115820	can come out behind on a given table on a given night, but overall, with enough tables
115820	119700	and enough nights, they'll average out to these odds.
119700	125740	However, in order to do so, they need an immense amount of money running through their casinos.
125740	130700	Blackjack, for example, is one of the games with the lowest house edge, so if a casino
130700	135280	wants to earn $1 billion in a given year from the game, which would not be an unreasonable
135280	141080	estimate for a large gaming company like MGM International, they would need $200 billion
141080	143760	changing hands within their doors each year.
143760	147120	$200 billion is an enormous amount of money.
147120	152320	That's pretty much the entire GDP of New Zealand, passing through, in the case of MGM,
152320	156080	a physical structure barely larger than the Empire State Building.
156080	160620	When you have such a rapid throughput of money, very slight changes in the odds can make a
160620	163720	huge dent in the gaming company's earnings.
164080	170120	If, for example, the house edge in Blackjack changed from 0.5% to 0.4%, they would lose
170120	175600	$200 million, assuming $200 billion in annual play.
175600	181280	This is why making sure these odds stay in their favor is so important to casinos—it
181280	184800	can quite literally make or break them.
184800	189120	Despite what pop culture might portray, a casino's biggest problem is not robbers
189120	194840	or hackers or even technically cheaters, because each of those is relatively easy to prevent.
194840	199840	Rather, their biggest problem is people who are able to turn their odds in their favor
199840	203380	without robbing, hacking, or even cheating.
203380	208480	You see, in most common law countries, such as the US, England, Ireland, or Australia,
208480	212740	cheating is legally defined as altering the outcome of the game, acquiring knowledge not
212740	217260	available to all players, or changing one's bet after learning of the outcome.
217260	222920	Cheating in a casino is generally illegal, however, it is possible for a player to consistently
222920	225700	win without cheating.
225700	229920	The best known example of this is card counting—a type of advantage play used in the Blackjack
229920	235620	family of games which is not illegal and, in some cases, is even legally protected.
235620	239280	This advantage play technique essentially takes the basic principles of the game of
239280	244740	Blackjack and uses them against the casino, and these principles are fairly simple.
244740	249580	To start a game, each player bets an amount of money, then six decks of cards are shuffled
249580	252100	together to form what's called the shoe.
252100	257500	Each player is dealt two cards face-up, while the dealer gets one face-up and one face-down.
257500	263080	The goal for all participants is simple—it's to get their cards to total as close to 21
263080	265480	without going above 21.
265480	268400	The execution of that is much tougher.
268400	272280	Starting from the left, each player will either decide to stick with the total they have or
272280	274640	to take another card to add to it.
274640	278000	Of course, the player doesn't know what the next card will be worth—it could be
278000	281920	anything from one to eleven—so it's a gamble on whether it'll make the total go
281920	285160	over 21, in which case their bet is lost.
285160	289720	The higher the original total, the riskier it is to take another card, but there is,
289720	293820	in fact, a mathematically optimal choice for each scenario.
293820	298800	Once every player is done taking cards, or not, the dealer reveals the face-down card
298800	304940	and, automatically, if their total is below 17, they take additional cards until it isn't.
304940	308380	If it's 17 or higher, they leave it as is.
308380	314260	There are then three scenarios—if the dealer goes above 21, all players' bets are doubled,
314260	316960	as long as they didn't go above 21 first.
316960	321120	If a player's total is higher than the dealer's, then the player's bet is doubled.
321120	325480	However, if a player's total is lower, they lose their bet.
325480	329640	Of course, this explanation skipped over plenty of smaller rules and less likely edge
329640	334600	cases, but it is these fundamental elements of gameplay that tie into why card counting
334600	335600	works.
335600	341120	Now, without getting too much into the math, on average, in Blackjack, higher value cards
341120	345100	benefit the player, while lower value cards benefit the dealer.
345100	348980	While the explanation for the higher cards is more complex, lower cards' benefit is
348980	352720	based on the fact that the dealer is required to take additional cards when their total
352720	358060	is less than 17, and so a greater density of lower cards makes it less likely that they'll
358060	361880	go over 21, in which case each player's bet is doubled.
