start	end	text
0	3460	The beginnings were as inadvertent as they come.
3460	8140	Hastily drawn up and jammed into the entirely unrelated Safe Port Act, the Unlawful Internet
8140	13020	Gambling Enforcement Act passed through Congress in September of 2006, then, with President
13020	16280	Bush's signature a month later, became law.
16280	20020	The unremarkable bit of legislation banned gambling companies from taking payments over
20020	23420	the internet made in violation of state or federal law.
23420	27700	The old guard of online gambling—the likes of Full Tilt Poker, Poker Stars, and Absolute
27700	31280	Poker—the new law would prove an existential threat.
31280	36460	For a set of upstarts, though, it'd function as the legal foundation of an as-yet untapped
36460	37460	market.
37460	42260	In trying to close one loophole, the Act opened another with this seemingly innocuous exemption—that
42260	47220	betting and wagering did not include participation in fantasy sports, which were deemed as games
47220	48860	of scale, not chance.
48860	54020	At the time, the distinction made sense—fantasy sports were fundamentally different from any
54020	55940	sort of online gambling.
55940	60320	People didn't get rich off fantasy sports, nor did they lose thousands, tens of thousands,
60320	63720	or hundreds of thousands of dollars in one fell swoop.
63720	67100	Fantasy team owners wagered on season-long outcomes with their friends from school or
67100	70740	work, and poured over stat sheets for bragging rights as much as money.
70740	73620	They might have been obsessed, but they were never quite addicted.
73620	79580	Then, in 2009, a fateful backyard brainstorm at South by Southwest completely altered the
79580	84740	trajectory of fantasy sports and, as it would turn out, sports betting.
84740	89020	The company that coalesced under the Austin sun was called FanDuel, and it was everything
89020	91100	that fantasy wasn't.
91100	95780	Countering the traditional season-long league, FanDuel offered daily fantasy.
95780	99100	Rather than just playing with your buddies, the service provided tournaments and cash
99100	102060	games to compete against countless others.
102060	105920	Whereas traditional fantasy leagues only saw minimal financial exchanges in league buy-ins
105920	109780	and annual draft guides, FanDuel moved major money.
109780	114940	Just one good day they advertised could net a couple thousand dollars, and, thanks to
114940	120480	the Unlawful Gambling Enforcement Act of 2006, it was online and in your pocket.
120480	124860	What had been slow-moving and cumbersome was now fast and convenient—just play from your
124860	129320	phone, win, and cash out that very same day.
129320	132020	Young people followed, and so too did money.
132020	138380	FanDuel's first rounds of funding topped $1 million, then $4 million, then, by 2013,
138380	139920	$11 million.
139920	142620	As investment climbed, so too did winnings.
142620	146660	That same year, the platform crowned its first million-dollar prize winner during its December
146660	151860	Fantasy Football Championship and dished out more than $150 million in prize money overall.
151860	156380	The following year, FanDuel partnered with the NBA, while its rising competitor, Draftkings,
156380	158420	nabbed the MLB and NHL.
158420	162940	Suddenly, companies that didn't exist just years prior were outspending the entire beer
162940	166780	industry, running ads every 90 seconds on national TV.
166780	170820	With palm-of-your-hand convenience, cheap buy-ins, mouthwatering prize potential, and
170820	176020	unavoidable promotional offers, daily fantasy services had maximized the potential of fantasy
176020	177020	sports.
177020	180740	Sports fans played, sports leagues and media invested, while critics and academics began
180740	185380	asking exactly to what extent this sped-up, further gamified version of fantasy sports
185380	187940	actually differed from sports betting.
187940	193600	Yet, rather than regulators intervening, legislators, league leaders, team owners, and daily fantasy
193600	198200	consumers alike began to rethink just how bad sports betting really was.
198200	203000	Banned by Congress in every state except Nevada, and opposed by all major leagues, sports betting
203000	206720	had long been perceived as the antithesis of fair sport.
206720	211080	This wasn't only the position held by league commissioners, either, as 56% of Americans
211080	215080	polled in 1993 disapproved of its legalization.
215080	219700	Through the 2000s, after point-shaving scandals rocked college basketball, then insider betting
219700	224460	and the NBA came to light, betting remained a dark, shady sports underworld in the view
224460	228720	of most and, to league leaders, a direct threat.
228720	233820	Even through 2012, NFL's Roger Goodell, MLB's Bud Selig, NHL's Gary Bettman, and
233820	239260	NCAA's Mark Emmert each came out against the idea of overturning the federal ban.
