start	end	text
0	2720	This video was made possible by Brilliant.
2720	9600	Learn complex topics simply for 20% off by being one of the first 200 to sign up at brilliant.org.
9600	15440	This is one block, in one city, in one state, of the United States.
15440	20520	The US Constitution's Article I, Section 2 prescribes something that must happen, on
20520	22400	this block.
22400	25920	Representatives and direct taxes shall be apportioned among the several states which
25920	30340	may be included within this union according to their respective numbers.
30340	34080	The actual enumeration shall be made within three years after the first meeting of the
34080	38600	Congress of the United States, and within every subsequent term of ten years, in such
38600	42120	a manner as they shall by law direct.
42120	46620	What that means is that every ten years, the US government must determine how many people
46620	50940	live on this block, in addition to how many people live on every other block in every
50940	54800	other city in every other state and territory of the United States.
54800	59120	They must determine the population of the country—a straightforward task, but one
59120	64400	that thousands of US Census Bureau employees spend a decade preparing for and a year and
64400	67340	$15.6 billion executing.
67340	73400	It turns out that counting more than 300 million people isn't exactly easy.
73400	77840	Instead of looking at how the census counts every one of those hundreds of millions, let's
77840	83400	rather look at how they count the couple dozen people living on this one city block.
83400	88920	The Bureau started preparing for the 2020 census on November 1st, 2011.
88920	93640	They have a staff of about 4,000 who plan and coordinate each census, along with their
93640	98180	other programs, and then, every ten years, when it comes time to actually conduct the
98180	102480	census, they employ more than half a million other individuals temporarily.
102480	106840	The 4,000 full-time employees, though, spend much of the decade forming their operational
106840	110120	plan, the first draft of which was done in late 2015.
110120	113240	They then spend the next three years refining that.
113240	117580	A significant element of this plan includes deciding where the census's field offices
117580	119080	will be located.
119080	122920	You see, the census divides the country up into six regions which are headquartered with
122920	128000	permanent offices in Los Angeles, Denver, Chicago, Atlanta, Philadelphia, and New York
128000	129000	City.
129000	134480	Then, within those regions, the census opens up 248 temporary field offices to conduct
134480	136180	local operations.
136180	140200	These field offices are distributed based on density so Colorado, for example, only
140200	143800	has four, while New York, on the other hand, has 21.
143800	148400	Each of these offices has to hire hundreds or thousands of enumerators to go out into
148400	150880	the streets and conduct the census.
150880	155440	Finding half a million temporary workers is of course incredibly difficult, and it's
155440	159840	even more difficult for the 2020 census given that the country currently has the lowest
159840	162160	unemployment rate in recent history.
162160	166260	In order to attract those half million people, they do have to account for the drastically
166260	169500	different wage conditions across the country.
169500	174340	Workers in Mesa County, Colorado, where our block is located, for example, are paid $16
174340	179420	per hour which, for this area, is a pretty decent hourly wage, especially for a low-skilled
179420	181740	job requiring few qualifications.
181740	185960	Of course, if you offer that pay in New York City, on the other hand, it would be far less
185960	191700	attractive so the pay there is up to between $25 and $28 an hour.
191700	196060	Despite this decent pay, though, the census still always has enormous difficulty filling
196060	200620	all their positions so they spend years teeing up all these workers.
200620	204340	The first of the temporary hires for the 2020 census happened in mid-2018.
204340	209680	That's because, before the census can go and ask every household on this block how
209680	214320	many people live there, they have to figure out where each of these households is.
