start	end	text
0	2600	This video was made possible by Raycon.
2600	7400	Get top-quality, comfortable, and surprisingly affordable wireless earbuds for 15% off at
7400	11360	buyraycon.com slash wendover.
11360	17160	Just about once every three days, somewhere in the world, a large commercial passenger
17160	19320	plane crashes.
19320	24460	Most of these are not hugely catastrophic, because most of these are fatality-free.
24460	31580	Of the 1,070 recorded crashes in the 2010s decade, only 112 proved fatal.
31580	36740	Even of these, the vast majority of passengers survive an average fatal crash.
36740	42940	In fact, half of all deaths from airline crashes in the previous decade are from just 12 incidents.
42940	49140	That's to say, most fatal aircraft accidents are not the kinds you see in movies—the
49140	52660	kinds where there are few or no survivors.
52660	58760	Most are more minor incidents, with just one or two or a few more unlucky victims.
58760	61940	The industry, though, does not view them that way.
61940	66600	The truth is that people fear airplanes an irrational amount, so in order for air travel
66600	72140	to be as commonplace as it is, they require a standard of safety far higher than any other
72140	74340	method of transport.
74340	78260	Safety and profitability go hand in hand for airlines.
78260	84380	Despite this, though, accidents are effectively an inevitability for any of the largest airlines.
84380	89940	Statistically, some of these largest airlines are also some of the safest, yet none are
89940	91860	100% safe.
91860	96220	Therefore, with enough flying, an accident will happen.
96220	100680	All ten of the world's largest airlines have had fatal accidents in their histories
100680	105700	and so, with this level of inevitability, airlines must have a strictly defined plan
105700	109140	for what to do after one of their airplanes crash.
109140	113220	So, let's say an accident happens.
113220	117380	This will almost certainly have something to do with landing or taking off.
117380	122640	The overwhelming majority of accidents involve the runway, however, if an accident is fatal,
122640	126940	it is much more likely that it has to do with a loss of control in flight or a controlled
126940	128800	crash into terrain.
128800	134860	Runway accidents represent more than 90% of accidents, but only account for 25% of fatal
134860	135860	accidents.
135860	140540	The airline really never is the first responder to an accident.
140540	145660	That is typically firefighters and other emergency personnel, but as soon as word of an accident
145660	149700	reaches them, the airline will begin to mobilize.
149700	153580	Almost every airline out there will have what's called a go team.
153580	157420	This is a group of people, typically working at the airline's headquarters, who train
157420	161940	to be part of the crisis response function on top of their ordinary jobs.
162020	166300	With larger airlines, this go team can be comprised of as many as hundreds of individuals
166300	169220	filling a huge variety of functions.
169220	173060	Larger long-haul airlines might also have smaller teams comprised of people working
173060	177060	at their outstations who can more quickly get to crash sites while the main team travels
177060	178540	from a headquarters.
178540	183180	Now, each airline will have different procedures and protocols, but there are loose standards
183180	184820	adopted by all.
184820	188680	Typically within three to four hours of a crash, an airline's go team will have assembled
188680	191180	and taken off from the headquarters airport.
191220	196460	Usually, a standby flight crew and aircraft would be used for this dedicated flight.
196460	199220	With them, they'd bring a go kit.
199220	203060	Considering accidents can happen quite literally anywhere, this would include all sorts of
203060	207900	things like satellite communications equipment, food, water, cooking equipment, personal protective
