start	end	text
0	2440	This video was made possible by Dashlane.
2440	8440	Browse the internet faster and easier by signing up for free at dashlane.com slash wendover.
8440	13460	On November 3rd, 2020, hundreds of millions of Americans will all make their way to their
13460	18400	local polling stations to cast their votes—deciding who will be the next President of the United
18400	20160	States of America.
20160	25160	That day will be the accumulation of a multi-year, multi-billion dollar election process, but
25160	30640	before that all truly ends, the votes need to be counted and the winner has to be declared.
30640	35920	As soon as the first polls close at 6 PM Eastern Time, there begins a massive overnight exercise
35920	40400	to count hundreds of millions of votes and, typically, declare who will next lead the
40400	43080	country by the early hours of the following morning.
43080	47220	While the true effort doesn't start until the early evening of voting day, the first
47220	52040	results come in the early morning of election day, before most polls have even opened.
52040	56280	A few small towns on the East Coast, most famously Dixville Notch, New Hampshire, all
56280	60240	compete to be the first precinct in the US to report results.
60240	64800	New Hampshire state law allows polling places in the state to close early as long as all
64800	67520	registered voters have cast their ballots.
67520	71380	Given that the town only has a dozen or so registered voters, this process is typically
71380	73820	finished in minutes or seconds.
73820	78120	In front of a cluster of cameras from nearly every major news organization, the votes are
78120	79760	read out and tallied.
79760	83840	The process of counting a dozen or so paper ballots in a small town is not tough, but
83840	88320	a few hours later, the rest of the country's polling places will open, each of which eventually
88320	92040	has to accurately count up to thousands of votes.
92040	97680	What makes the US election so difficult to conduct right is that there are over 178,000
97680	102400	individual voting precincts, each of which can and does do things in a slightly different
102400	103400	way.
103400	107000	Some use paper ballots that have to be read and interpreted manually, some use paper ballots
107000	111840	that are scanned by a machine, some use electronic voting machines, and some even allow for absentee
111840	113560	voting over the internet.
113560	116800	The selection of a voting method is a difficult balancing act.
116800	120480	Handwritten paper ballots are simple and cheap, which means that a polling station can process
120480	124960	loads of voters at once, but they're much more difficult to count.
124960	128040	Electronic voting machines are expensive and complicated, meaning they're often in short
128040	133880	supply, leading to longer lines, but counting and reporting the votes happen almost instantaneously.
133880	137340	Also a major concern in the selection of voting method is security.
137340	142400	The most secure ballot is no doubt a handwritten paper one, as submitting a fraudulent vote
142400	146040	involves physically acquiring and submitting a ballot—something that can't be easily
146040	147720	done at a large scale.
147720	152740	Arguably the least secure method is electronic voting machines, as anything electronic can
152740	154200	be hacked.
154200	158120	Almost every voting machine out there has been hacked in some way or another in controlled
158120	161020	experiments at hacker conventions such as Defcon.
161020	164940	In the real world, it's impossible to know for sure how often voting security has been
164940	169900	compromised, but we do know that these machines can be hacked which is why still today much
169900	175020	of the US votes the same way it did hundreds of years ago—on paper ballots.
175020	179520	First to close their polling places will be parts of Indiana and Kentucky at 6 PM Eastern.
179520	183400	The second that happens, everything shifts into counting mode.
183400	188040	Both states use a mix of optical scan and direct record electronic voting machines.
188040	192900	For example, the majority of Kentucky's machines are Hart Intracivic e-scans.
192900	196880	These are those optical scan electronic machines where a voter physically fills out a paper
196880	201160	ballot, shading in bubbles for their preferred candidates, then feeds the sheet into a machine
201160	205160	which scans their responses, and then records and tallies the votes.
205160	209120	In Indiana, however, the majority of their machines are micro-vote infinities which are
209120	212060	examples of direct record electronic machines.
212060	215860	These are fully electronic machines where the voter selects their candidates of choice
215860	219260	on the screen before pressing a button to cast their votes.
219260	222700	Once 6 PM rolls around, though, the machines' voting modes will be turned off, they will
222700	226700	print out a physical paper backup displaying the tally of votes for each candidate, and
226700	230740	the poll workers will remove a sort of memory device that stores the totals.
230740	235780	Every step of this process has to be witnessed by multiple people, usually of different political
235780	236780	parties.
236780	240780	These papers and memory devices are all then packed up in sealed envelopes and gathered
240780	241860	together.
241860	245460	From there, the votes need to make it to a central vote-counting location.
245460	250420	Usually, they're driven there by the county's police to assure there is no interference.
250420	252980	That works in most places, but not all.
252980	257540	For example, anyone who's been in Los Angeles in the early evening, when their polls close,
257540	261540	knows that it would take hours to get a vehicle from Gorman, on the northern end of Los Angeles
261540	264020	County, to Norwalk, where votes are tallied.
264020	268520	Therefore, the county uses helicopters to fly voting records to Norwalk from across
268520	272720	the county, and therefore ends up spending many millions of dollars on each election
272720	273720	day.
273720	278520	Traffic is less of a concern in Indiana and Kentucky, though, and so, not long after 6
278520	282780	PM eastern, votes will start arriving at their central counting locations where all the memory
282780	286800	devices will be plugged in to a tabulating computer that will record the results.
