start	end	text
0	4360	More than eight years have passed since I uploaded the very first video to this channel,
4360	7780	and the world was a very different place back in 2015.
7780	12280	Brexit and a Trump presidency both felt like longshots, the term Coronavirus was only known
12280	17000	by epidemiologists and crossword aficionados, same-sex marriage had just been legalized
17000	21200	nationwide in the US, Netflix and other streamers were only just starting to threaten cable
21200	24800	supremacy, TikTok's Chinese predecessor didn't even exist yet.
24800	28880	The eight years since the start of this channel have been extremely consequential in ways
28880	32100	we almost certainly don't yet fully understand.
32100	37240	Often the way we think about a Wendover video is not as the news of the day or week or month,
37240	39600	but rather the news of the year.
39600	43360	We try to cover some of the most consequential changes going on in the world that might be
43360	47940	easy to miss due to how gradually they're unfolding, but with enough time, even the
47940	49720	news of the year changes.
49720	53740	So today, as our last video of this year, we're going to be revisiting nine of our
53740	58240	most popular videos to look at what's different and what isn't, starting with a rare yet
58240	63080	encouraging case where we call out a problem, and then that problem actually starts to get
63080	65000	fixed.
65000	69360	Three years ago, we released a video called The Electric Vehicle Charging Problem.
69360	74660	It argued that perhaps the biggest barrier to greater EV adoption was the charging infrastructure,
74660	78680	rather than the cost of the vehicles themselves, meaning governments would find that incentivizing
78680	82240	cheaper construction would be a better use of their money than offsetting the purchase
82240	85560	price of cars, as was the incentive norm at the time.
85600	89360	Shortly after, quite a lot changed—for the better.
89360	94980	In 2022, Congress passed the Inflation Reduction Act, including $5 billion for the construction
94980	98280	of 500,000 fast chargers by 2027.
98280	102720	An additional $2.5 billion was allocated to the brand new Charging and Fueling Infrastructure
102720	107020	Discretionary Grant program, which will give money directly to cities, tribes, and local
107020	111300	governments over the next five years to build even more chargers, essentially solving the
111300	115460	EV charging problem by addressing it from the top down and bottom up.
115460	119980	Already, America's chargers have nearly doubled in number since 2019.
119980	123280	But just because a station has been built doesn't mean it's working.
123280	128480	A consistent sticking point with the country's existing infrastructure has been its unreliability.
128480	132120	Charging a battery with hundreds of kilowatts of energy is vastly more complicated than
132120	137540	filling up a gas tank, as consistent, reliable charging requires a large DC power source,
137540	141980	functioning connectors and receptors, credit card readers, and touch screens, unlike gas
141980	146060	stations, which only require working pumps and credit card readers to dispense fuel that's
146060	147260	then ignited.
147260	151940	The problem is, the largest charging networks for non-Tesla electric vehicles are run by
151940	158100	EVGo and Electrify America, which were both born begrudgingly—EVGo for NRG Energy to
158100	162200	gain regulatory compliance, and Electrify America as part of Volkswagen's Emissions
162200	163200	Gate settlement.
163200	167460	Therefore, they've not always been the most customer-friendly, and each has been criticized
167460	172060	for a high number of non-working chargers, which can strand drivers due to limited alternatives,
172060	176600	but to help solve the issue, the Biden administration allocated an additional $100 million this
176600	179300	year for EV infrastructure repairs.
179300	182740	And there's good news for consumers who have issues with Combined Charging System,
182740	184300	or CCS plugins.
184300	188840	CCS has emerged as the dominant non-Tesla charging port standard in the US, but that
188840	194460	means there are two redundant yet still sparse systems of chargers—one for Tesla drivers
194460	196780	and one for everyone else.
196780	202500	But following a flurry of announcements, from 2025 on, nearly all North American EV
202500	207300	manufacturers will adopt the Tesla, now known as the North American Charging Standard, which
207300	210220	they argue is better for consumers.
210220	214120	Millions will be able to access Tesla's nationwide charging network before the Inflation
214120	216340	Reduction Act's chargers are complete.
216340	220660	The Tesla charging port is objectively more user-friendly than the CCS port—it's less
220660	226260	than half the size, plugs in easier, and can alternate between supplying AC and DC energy.
226260	231100	Plus, Tesla must open its charging network to non-Tesla EVs to qualify for funding from
231100	235420	the Inflation Reduction Act, which means consumers with pre-existing CCS ports can tap in to
235420	240420	an increasing number of Tesla chargers with retrofitted dual ports already.
240420	244140	On the other side of the globe, nearly two years after we released our video titled The
244140	248540	Failed Logistics of Russia's Invasion of Ukraine, Ukrainians are still in the midst
248540	250060	of a war with Russia.
250060	253840	In the invasion's opening weeks, we covered how logistics failures were a major cause
253840	258560	of Russia's unexpected failure to capture Kiev, and having identified this weakness,
258560	263240	Ukraine went on to strategically target Russian logistics infrastructure as the war continued.
263240	267940	As the saying goes, amateurs talk strategy, professionals talk logistics, when it comes
267940	269220	to warfare.
269220	273400	This is helping Ukraine maintain their ground against the comparatively massive Russian
273400	274400	military.
274400	278440	Ukraine's primary strategy has involved splitting its troops and tanks equally between
278440	282920	its eastern and southern borders to find and exploit cracks in Russia's defenses.
282920	287920	Since March 2022, Ukrainian forces have reclaimed half of the territory taken by Russia, from
287920	289040	here to here.
289040	293360	In fact, Russian forces were forced to pivot their strategy after the opening days of the
293360	297360	war, and later abandoned its northern front here, as their logistical hurdles there had
297360	299880	become too difficult to overcome.
299880	303560	Because Russia can't get frontline supplies far into Ukraine, they've had to rely on
303560	308780	civilian vehicles to transport goods and switch from long-range missiles to unguided munitions,
308780	312620	as they ran low on precision missiles after failing to overtake Ukraine's forces in
312620	314360	the opening days of the war.
314360	318440	Where Russia still holds land in eastern Ukraine, they've erected miles of blockades that
318440	322420	essentially require brute force, rather than guerrilla warfare, to reclaim.
322420	327140	They planted tens of thousands of mines and built miles of concrete barriers, which along
327140	331180	with strategic vehicle traps, stalled Ukraine's counteroffensive for months.
331180	335540	Russia's been able to hold out so long because of its ability to acquire weapons and vehicles
335540	340300	for the front lines, in spite of its needs-averse pull military strategy.
340300	344420	Russia still has the upper hand for artillery, as they fired an estimated 10 to 11 million
344420	348260	rounds last year with their manufacturing and transportation capacities, which means
348260	351780	Ukraine is still dependent on Western countries for supplies.
351780	356140	Ukraine's logistics could also be threatened by its other enemy—corruption.
356140	360100	President Zelensky has continually replaced cabinet officials and military officers, as
360100	364420	well as the nation's defense minister, to stave off an endemic problem until the war
364420	365420	ends.
