start	end	text
0	6440	The world's new era of warfare started here, on the eighth floor of an innocuous office
6440	9400	building in Minsk, Belarus.
9400	15360	A small anti-virus developer based within these walls, Virus Blockada, received an inbound
15360	16740	help request.
16740	22120	Their client in Iran was experiencing random, repeated reboots of their industrial-control
22120	23120	computers.
23120	28040	It was probably a bug, they thought—a misconfiguration of Windows, or an issue of two programs not
28040	29760	playing nice with each other.
29760	34220	So, they reinstalled Windows, but the issue remained.
34220	35600	This upped the stakes.
35600	40360	This wasn't some mistake in Windows programming—this was something purposefully malicious.
40360	46200	Soon, Sergei Ulasin, the company's researcher, found some suspicious files on the errant
46200	47320	machine.
47320	51640	As he combed through their code, he made a discovery—a discovery that shook the world
51640	55400	of information security to its core.
55400	60480	This code, when placed on a USB drive and plugged into a computer, could silently launch
60480	64340	and execute a program simply by being viewed.
64340	69280	This was a brand new exploit—a catastrophically capable exploit.
69280	74420	All it took was one drive, simply plugged in, to infect one computer.
74420	79240	This method of spread was mortifyingly efficient—it was something out of a movie.
79240	83720	Recognizing that, the intuitive question was how far it had spread.
83720	85720	The answer was chilling.
85720	86720	58%.
86720	92600	58% of devices in Iran were infected with this malicious code.
92600	97880	58% of the country's computers were within the grips of some mystery developer so capable
97880	101960	that they had identified an exploit of existential proportions.
101960	106140	And what made this ominous development all that much more intimidating was that nobody
106140	109740	knew what this code was intended to do.
109740	115940	Nobody knew why a high-skilled hacker had spread a groundbreaking worm to 58% of Iran's
115940	116940	computers.
116940	121540	What became clear far quicker is that Virus Blocka does discovery did not gain prominence
121540	126540	for the virus itself—it gained prominence because this small Belarusian antivirus company
126540	130640	had discovered that the world had entered a new era.
130640	138520	The world had entered the era of highly advanced, highly targeted, and highly capable cyber-warfare.
138520	144140	This new era was made possible, and perhaps more importantly, made profitable by one single
144140	147060	concept—the Zero Day.
147060	152060	You see, in decades past, national intelligence agencies and nefarious independent operatives
152060	155280	focused on gathering information in transit.
155280	158540	Rather than sneaking into the embassy, you intercepted the courier.
158540	161900	Rather than placing a bug in the phone, you tapped the transmission line.
