start	end	text
0	4940	This is a Wendover Productions video made possible by Squarespace.
4940	8020	Get your domain before it's gone with Squarespace.
8020	12600	Moving the president of the United States from one location to another is a logistical
12600	16540	nightmare that happens every single day.
16540	20380	The American president is one of the most powerful persons in the world and there is
20380	24860	no time when the president is more exposed than when they're in transport.
24860	28660	Two of the four successful assassinations of American presidents were when they were
28660	30880	traveling—Garfield and Kennedy.
30880	35300	For that reason, the secret service devotes an enormous amount of resources to ensuring
35300	39020	the president gets from one place to another safely.
39020	43420	The presidential motorcade is perhaps the most impressive method of transportation.
43420	48060	It includes up to 40 or 50 vehicles and over 100 people.
48060	50980	Let's take a look at some footage of a motorcade.
50980	53760	This is the lead car, or in this case motorcycle.
53760	57900	As the name suggests, its job is to lead the motorcade, but it's not actually the first
57900	58900	vehicle.
58900	62540	What we don't see here is the route car which would have come through about 5 minutes
62540	64180	before the lead car.
64180	69020	The route car is always followed by about 20 or 30 motorcycles which play the essential
69020	72020	role of clearing the route of cars.
72020	76100	When driving on a highway, they'll speed ahead and close exits so that no cars can
76100	80260	come on the highway, although they have to use a different technique in cities.
80260	84820	When driving in DC, where other drivers are used to frequent motorcades, the motorcycles
84820	90140	often drive in a v-pattern pushing cars to the side to clear the way for the motorcade.
90140	93700	This leads to a disruption of only about 2 or 3 minutes.
93700	98820	Outside of DC, drivers are less used to motorcades so the motorcycles will typically completely
98820	103740	block off the intersecting streets to create one continuous clear path for the president.
103740	107780	The entire first section of the motorcade isn't actually run by the secret service.
107780	111860	It's run by the local police jurisdiction of wherever the president is.
111860	116100	The fewer secret service cars and individuals needed for motorcades, the better since both
116100	120720	the cars and agents need to travel to wherever the president is visiting in advance which
120720	123420	is, of course, incredibly expensive.
123420	126620	The next part of the motorcade is what's known as the secure package.
126620	130540	It's the essential core to the motorcade because it's the group of cars that directly
130540	132020	secures the president.
132020	135940	In case of attack, this group of cars can detach from the rest of the motorcade and
135940	137900	function as an independent unit.
137900	141880	The most important car in the secure package is the president's limo but one can never
141880	145660	be sure which one that is because there are always two limos.
145660	149180	These two limos are identical—they even have the same license plate.
149180	153180	That way an attacker can't, for example, have a spotter tell them which car the president
153180	154180	left their origin in.
154180	157400	The limos themselves are no ordinary limos.
157400	163180	They weigh between 15,000 and 20,000 pounds and are built on a modified truck bed.
163180	167760	The entire car is bulletproof including 5 inch thick bulletproof windows.
167760	172360	The only window that can open is the driver's window reportedly so they can pay tolls.
172360	177200	The entire car is hermetically sealed to protect the president from a chemical attack and on
177200	183680	board are rocket powered grenades, night vision optics, a tear gas cannon, pump action shotguns,
183680	187260	bottled oxygen, and two pints of the president's blood type.
187260	192240	This car, leading the secure package, is the United States Secret Service Electronic Countermeasures
192240	193240	Suburban.
193240	198260	It leaves the secure package because its purpose is to jam any remote activated explosives
198260	199440	along the route.
