start	end	text
0	4960	This video was made possible by CuriosityStream. Watch the companion video to this, plus tons of
4960	8400	other exclusive videos, by signing up for the CuriosityStream Nebula bundle deal,
8400	14160	currently on sale for an unbelievable dollar a month at CuriosityStream.com slash Wendover.
14160	21520	Airlines are pragmatic. Each, inherently, is a sizable organization, as a degree of scale is
21520	27760	necessary due to the massive capital costs needed to, quite literally, get a plane off the ground.
27760	34400	There are no mom and pop airlines. Therefore, airlines have the resources to analyze choices
34400	39840	to a far greater level of detail than most businesses. Any decision that we, the public,
39840	46400	see has passed through such a level of review, such a level of scrutiny, that it must mean
46400	52000	something. Airlines typically don't make emotional, informal, or off-the-cuff decisions.
52560	58960	Therefore, it's odd how much airlines care about climate change because, from a theoretical
58960	66000	perspective, they shouldn't. It doesn't currently make sense for airlines to care about climate
66000	72720	change. Of course, from a moral perspective it does, but businesses, traditionally and theoretically,
72720	78720	don't value morality higher than profit. That's the role of non-profits—the organizational
78720	84160	structure designed to value social impact first and foremost. For-profit businesses,
84160	90800	in the traditional sense, are designed for profit. Therefore, properly managed, they do what
90800	97440	generates the most profit, and for airlines, right now, what enables that is to not care about
97440	103760	climate change. Carbon doesn't have a cost for airlines. With a few exceptions, emitting more
103760	108560	carbon does not cost the airlines anything, but it enables them to make more profit,
108560	113360	so the theoretically correct thing for airlines to do is to emit the amount of carbon that enables
113360	118960	them to generate the most profit regardless of environmental consequences. Some say airlines
118960	124000	care about climate change for public relations, and they're right, but only to an extent.
124000	127920	Airlines clearly posture as caring about their carbon footprint because consumers
127920	132800	increasingly care about their carbon footprint, so being viewed as a greener airline translates
132800	138160	to being a more desirable choice for consumers, who, unlike for-profit businesses, do care about
138160	144880	what's morally right to an extent. However, net carbon zero is expensive, biofuel development is
144880	149600	expensive, sustainable aircraft development is expensive—all more expensive than would make
149600	155200	sense if airlines and aircraft developers exclusively cared about PR. So, the reason
155200	161520	why airlines are starting to care about climate change is because they're terrified of the R-word.
162080	168320	Regulation. It started already. In France, the National Assembly has passed a bill that would
168320	173200	ban short-haul flights on routes that could be traveled in two and a half hours or less by train.
173200	180560	Here's the worst thing for airlines. Measures like this make absolute perfect sense. With airports
180560	186080	located away from city centers, security lines, less reliable departure times, and more, no journey
186080	190640	that would take two and a half hours by train could reasonably and reliably be accomplished
190640	195040	faster by plane. The bill would still allow the shorter flights to operate for the purposes of
