start	end	text
0	6280	At base, every military has defensive capabilities—they're able to protect their homeland from foreign
6280	7280	threats.
7280	12040	Iceland's armed forces, for example, comprise four ships, one airplane, three helicopters,
12040	16000	and four radar stations—all operated by the country's coast guard.
16000	20160	Beyond a small paramilitary peacekeeping unit made up of volunteers, the nation has nearly
20160	25580	no capabilities to deploy abroad—in fact, its constitution doesn't even have a mechanism
25580	27520	to declare war.
27520	32940	Some militaries build on their defensive capabilities with limited expeditionary posturing—ability
32940	35880	to wage a small-scale operation abroad.
35880	39840	This requires an expensive mix of training, equipment, and planning.
39840	44560	Whereas domestic capabilities can be permanent and stationary, all expeditionary capabilities
44560	48040	inherently must be designed to be temporary and mobile.
48040	52000	This spans from the ability to fire a missile to the ability to cook up breakfasts, which
52000	55240	raises costs and complexity dramatically.
55240	60320	For this reason, large-scale expeditionary capabilities are largely confined to the largest,
60320	64640	best-funded militaries like those of France, Mexico, or Canada.
64640	70160	But then there's the US military—it is in a class of its own.
70160	75100	Whereas most nations can defend at home and some can deploy abroad, the US military has
75100	80760	a rather singular strategic posture—they have essentially turned the entire world into
80760	82280	home turf.
82280	86840	Their goal is complete—it's the ability to fight any sort of fight, in any location,
86840	88600	at any moment.
88600	92940	To an American that might sound like the inherent function of a military, but it's a uniquely
92940	98160	US approach—most militaries are merely designed to respond to relevant regional threats and
98160	101280	can scale up to wage a war abroad if necessary.
101280	106320	To be able to fulfill this all-encompassing mission, the US military has a degree of flexibility
106320	111400	and globality unmatched by any other, which incurs a near endless array of exceptional
111400	113400	costs for the force.
113400	116920	They pay to produce their own private label of chicken tenderloins and ship it all around
116920	121040	the world to places like this base in southeastern Turkey because they run a grocery store there
121040	124240	because they have thousands of service members stationed there because that's where they
124240	128500	keep about 50 nuclear warheads in case they decide to use one in Europe, Africa, the Middle
128500	130160	East, or elsewhere.
130160	133980	They pay for professional sports teams to incorporate patriotic ceremonies honoring
133980	137560	past and present service members into their games in order to help boost recruiting to
137560	140660	the level needed to staff all their roles worldwide.
140660	144540	They pay to develop an occasionally viral bipedal humanoid robot because they believe
144540	148520	that in the future they can gain a competitive advantage against other forces by having these
148520	153660	robots integrate into their ranks and fulfill the most dull, dirty, and dangerous tasks.
153660	158720	These costs grow and grow atop each other, and then span all around the world.
158720	162420	From a spatial and logistical standpoint, covering the globe is nothing less than a
162420	165540	monumentally challenging and expensive task.
165540	170300	Then, there's the temporal component—making sure that the right soldiers with the right
170300	175420	weapons and technology are in the right locations requires a predictive approach and proactive
175420	180020	planning, and predicting what future warfare looks like, then preparing for it, is also
180020	182100	an extremely expensive endeavor.
182100	189340	Take, for example, the USS Freedom, a first-of-its-kind littoral combat ship commissioned in 2008.
189340	194280	At just under 400 feet or 120 meters long, what this ship lacks in size, it more than
194280	198180	makes up for in design complexity and state-of-the-art technology.
198180	203580	This ship represents two entire decades of planning and predicting, researching and developing,
203580	208480	contracting and commissioning—a nearly inconceivable dedication of time and resources, but one
208480	212420	that begins to make sense when considering the expectations.
212420	216880	When conceived of in the 1990s, the littoral combat ship was meant to lead the American
