start	end	text
0	6160	This video was made possible by Hover. Get 10% off your first purchase of a custom domain or email
6160	12400	address at hover.com slash wendover. COVID-19—that's the answer. That's
12400	18560	what caused all the shortages of 2020 and 2021. That's it. COVID-19 caused these shortages in
18560	23840	the same way that an iceberg caused the Titanic to sink, or the collapse of Lehman Brothers caused
23840	30320	the Great Recession, or the straw broke the camel's back. That's really to say, COVID did
30320	35200	cause these shortages. They would not have happened in the manner they did when they did,
35200	40480	if not for the pandemic. But just as the Titanic's design flaws would eventually lead to calamity,
40480	44480	the vulnerabilities in the global economy would eventually lead to a recession, and something
44480	50720	would eventually break the overloaded camel's back, COVID caused these shortages, but it's not
50720	57920	what made them possible. What made them possible is a fundamental, structural vulnerability in the
57920	66080	way today's supply chains work. On April 13th, 2021, Boba Bliss, a small bubble tea shop in
66080	71360	Dublin, California, posted on Facebook. They explained that they were having a hard time
71360	75040	getting their ingredients, and that this would mean their menu would have to change daily,
75040	79520	reflective of what they could actually get from their supplier. On April 15th,
79520	84320	Mighty Boba, in Canandaigua, New York, explained on Facebook that they would have to serve a
84320	89840	smaller quantity of tapioca pearls in each drink, and would no longer be offering extra as an option
89840	95360	due to a shortage of this ingredient. Bing's Boba Tea in Tucson, Arizona said much the same
95360	99760	one week later, and Tea Hut in San Francisco, California then announced that they would have
99760	106400	to raise their prices due to a 26% rise in their ingredient costs. All across the country,
106400	111680	shops selling this popular Taiwanese drink simply could not get ingredients in the quantities
111680	119040	demanded, despite no dramatic increase in demand. However, thousands of miles away, in Taiwan,
119040	124160	where much of the world's bubble tea ingredients are made, things were operating fairly normally.
124160	128640	With single-digit daily case numbers for much of COVID's reign, factories on the island were
128640	134720	able to work at full force in a way they couldn't elsewhere, but still, somehow, Boba Bliss,
134720	140800	Mighty Boba, Bing's Boba Tea, Tea Hut, and thousands of other shops across the US couldn't
140800	146080	get their product. The problem had less to do with anything happening in Taiwan, and more with
146080	152720	what was happening here—in the waters, off the coast of Los Angeles. Throughout the first half
152720	159840	of 2021, a rotating cast of dozens of cargo ships have dotted the Pacific's horizon. Each sat there,
159840	165040	at anchor, sometimes for weeks, until a spot opened for them at the port of Los Angeles or
165040	171360	Long Beach. This is abnormal. While the year prior it was possible for a ship or two to have
171360	177840	to wait a day or two, it was never dozens of ships for dozens of days. Transit time from Taiwan to
177840	182960	Los Angeles typically takes about two weeks, so an additional ten days of waiting represents a
182960	190720	near-doubling of shipping times. The root cause of this was, of course, a perfect, pandemic-fueled
190720	196640	storm. As the 2020 holiday season approached, more people were getting back to work in the US,
196640	202480	consumer spending was ticking up, and online shopping was exploding. With limited access to
202480	207600	travel, restaurants, shows, and other services, physical products were one of the few ways
207600	212640	people could spend their discretionary income. More goods than ever were coming from factories
212640	220560	in Asia, and 49.1% of those imports to the US passed through one of just two ports—Los Angeles
220560	227280	and Long Beach. Compared to a year prior, before COVID hit the US in earnest, February 2021 saw a
227280	233120	31% increase in ships and a 49% increase in container traffic at these two ports.
233840	240560	They just couldn't keep up. Simultaneously, however, a significant tranche of dock workers
240560	245840	were constantly out sick due to COVID itself or the quarantine procedures it demanded.
245840	252640	But the disorder doesn't end there. While a year ago a 20-foot container would cost about $1,800,
253360	259280	they now run for $3,500. There's a regional shortage of shipping containers that's having
259280	265520	global consequences. You see, in 2020, just as much of the world entered lockdowns,
265520	270800	China's manufacturing industry was emerging from it. The entire world bought masks,
270800	275120	personal protective equipment, and regular goods from the country, and once those containers
275120	280240	arrived in ports like Long Beach, they were unloaded. However, due to those destination
280240	285920	countries' lockdowns, there wasn't really much that needed to be shipped out. For every 100
285920	292560	containers that are imported into the US, only 40 are exported. So, containers stacked up in
292560	296880	the places they weren't needed, because they weren't needed, and they didn't make it back
296880	302240	to places where they were, like Asia. In the case of the ports of Los Angeles and Long Beach,
302240	306560	their capacity crunch means they don't even have the time to justify loading ships with empty
306560	312400	containers for return to Asia. Not only that, but a shortage of truck drivers in the US means that
312400	317520	it's tough to actually get empty containers back from their final destinations to ports to send
317520	322560	them back to Asia. So, a shortage of shipping containers is worsening a shortage of shipping
322560	326720	capacity, which is worsened by a shortage of port capacity, which is worsening the shortage
326720	331040	of shipping containers, which itself is worsened by a shortage of truck drivers, all of which is
331040	336880	causing a shortage of bubble tea ingredients. Shortages causing shortages causing shortages.
336880	340960	It's a vicious cycle that is only worsening as economies reopen.
341920	348720	Across the world, there's a proliferation of scarcity. Lumber prices in the US quadrupled
348720	354240	after a predicted decline failed to manifest, and a boom in construction and renovation did instead.
354240	359600	The use and construction of pools also accelerated, as outdoor spaces became more valuable, spurring
359600	364160	increased demand for chlorine which, when mixed with reduced supply as a result of a fire at a
364160	370400	major chlorine plant in Louisiana, led to sky-high prices and insufficient availability. As restaurants
370560	375280	pivoted to takeout and delivery, bulk ketchup was out, and single-serve packets were in,
375280	379120	but with manufacturers unwilling to spend significantly to increase production capacity
379120	383680	for a short-term bump, the packets became scarce, and companies started successfully selling them
383680	390960	for $10 per 50 on eBay. However, the greatest shortage of all can be seen here, in the empty
390960	397520	parking lots of Anchorage, Alaska's airport. The state relies heavily on its summer tourism season,
397520	403680	and after missing it last year, 2021 season is crucial. Facing uncertainty about the legality
403680	408480	of their operation until May, cruise companies cancelled many of their summer sailings to Alaska,
408480	414880	so this year is all about independent, domestic tourists. To traverse the vast wilderness of the
414880	421840	last frontier, independent travelers need rental cars. However, these travelers can't get rental
421840	428560	cars. Regardless of which date you search in summer 2021, there simply isn't availability.
428560	435520	For the lucky few who do find one, current market rates are over $500 a day for a compact car.
435520	441600	American travelers can now legally, safely, and easily go to Alaska, but they can't get around
441600	447920	Alaska, which means that eager travelers aren't going. You see, during the depths of the pandemic,
447920	453760	Hertz, Enterprise, National, and other rental car companies sold off much of their fleets of cars.
453760	459120	They needed money somehow, and it wasn't coming from rentals themselves. Now, however, with
459120	466080	vaccinations easily available to all in the US, there is demand for rentals, yet no supply.
466080	471120	In Alaska especially, with its highly seasonal tourism market, it's normal for the rental car
471120	475360	companies to sell off their old vehicles in the fall and purchase new ones in spring, but the
475360	480320	latter half of that didn't happen this year because there's a massive, global shortage of
480320	486160	new cars, and manufacturers are simply unable to fulfill the huge orders rental car companies are
486160	493040	asking for. You see, in spring 2020, as COVID took hold of the globe, car manufacturers cancelled and
493040	497840	reduced their orders for components, as they anticipated reduced demand for new vehicles.
497840	503600	They were right on that—demand did go down as it tends to during any recession, but it recovered
503600	509760	faster than anyone imagined. Regardless, the plan was that, once recovery started, they'd boost
509760	514400	component orders and manufacturing in step. The problem was that they're now at the back of the
