start	end	text
0	6880	2022 was just another year. There was death, and there was destruction, and there was disease,
6880	12880	and there were wildfires, and hurricanes, and earthquakes, and drought, and poverty,
12880	18720	and pollution, and war, and terrorism, and habitat destruction, and rising temperatures,
18720	24240	and human rights violations, and dysfunctional political systems, and widening wealth inequality,
24240	29120	and worrisome leaps forward in AI, and steps towards the precipice of nuclear Armageddon,
29120	34800	and an ever-present inclination that the present degree of chaos truly is unprecedented.
35440	41680	These issues matter, but they're not the only things that matter. Through it all, the world
41680	46960	got better. Whether it balanced out to a net improvement is perhaps up for debate,
46960	53600	but the fact that things did get better is not. We are leaving 2022 without problems with which
53600	60880	we entered 2022. This matters. The world of the future is defined by the actions of today,
60880	65840	so just as much as we fight against and lament against the issues of today, we should celebrate
65840	72320	the successes that compound into a ceaseless inclined march of human progress. So, that's
72320	79440	what we'll do. For our final video of 2022, we'll cover 22 problems solved this year. Some mean
79440	84880	little in the grand scheme, others could define society within a few more trips around the sun.
84880	90880	Some were celebrated by few, others consumed our media for days. And some might not be accepted
90880	97280	by all, but none portray a meaningfully contested position as a solution. Rather, in the fine scrub
97280	102480	of it, they portray the democratic system as a potential process through which problems can
102480	109120	and do get solved. Like all else, solutions should be celebrated when and where they happen.
109200	115920	So, to start our story of 22 problems the world solved in 2022, let's start beyond it—in the
115920	122480	cosmic. In a perfect world, we'd solve potential problems before they materialized—we'd be
122480	128160	proactive. While this isn't a perfect world and we generally aren't proactive, we, or more accurately
128160	133360	NASA, did solve one potentially enormous problem well ahead of time with its Double Asteroid
133360	139440	Redirection Test, or DART. This September, after ten months since launch, the test accumulated in
139440	145200	a 1,300-pound or 600-kilogram spacecraft roughly the size of a refrigerator smashing head-on into
145200	150320	an asteroid called Dimorphis. Now, Dimorphis wasn't actually headed towards Earth—it was just
150320	155680	orbiting around another larger asteroid, Didymos, some seven to ten million miles away. Instead,
155680	160320	this was a test to see if ramming into an asteroid would knock it off its course—a concern of
160320	164800	existential proportion in the event that one beelines towards us in the near future.
164800	169600	Fortunately, the test was a success beyond expectations. After the collision, Dimorphis
169600	174240	was pushed about 500 feet closer to Didymos, shortening its orbit by 32 minutes which,
174240	177440	for NASA employees expecting a change in course around 10 to 20 minutes,
177440	182080	was a major proof of concept and a first success for their planetary defense strategy.
184160	188640	In existential news of the terrestrial variety, the United States agreed to join the Kigali
188640	192400	Amendment this year as part of the federal government's efforts to phase out the most
192400	197840	problematic carbon substances. This amendment follows the 1987 Montreal Protocol, a climate
197840	203440	treaty that phased out 100 types of ozone-depleting chemicals known as chlorofluorocarbons, or CFCs,
203440	208720	which started destroying Earth's ozone layer. The problem was, manufacturers replaced CFCs with
208720	214320	hydrofluorocarbons, or HFCs, which aren't great either. While the ozone hole did get smaller,
214400	220080	HFCs have a far worse greenhouse effect than CO2. Whereas carbon dioxide has a warming potential
220080	224640	of 1 based on its ability to trap heat, and methane has a warming potential of 34,
224640	231840	HFCs have warming potentials ranging from 1,370 to 4,180, which makes them way worse
231840	237040	for climate change. So, the Kigali Amendment expands on those original ozone-depleters to
