start	end	text
0	2960	This video was made possible by Brilliant.
2960	9320	Learn with Brilliant for 20% off by being one of the first 200 to sign up at brilliant.org.
9320	13440	For the longest while, airlines treated pilots as a renewable resource.
13440	17660	It was long considered one of the best jobs one could have—to make good money flying
17660	22240	around the world in comfort—but as aviation has become more commonplace, the job of pilot
22240	25640	has too become more and more just like any other job.
26080	30300	While in the 50's the job garnered the same respect and pay as a doctor, entering the
30300	34880	industry today earns you not much more than you'd make at a fast food restaurant.
34880	38440	Before a pilot can even perform their first takeoff with passengers in the back, they
38440	40480	have to get licensed.
40480	44620	Most top airline jobs require or strongly favor those with a college diploma so for
44620	49120	those that want to go all the way in the field, they have to start by getting a degree.
49120	55420	The cost of that averages $133,000 in the US and then every aspiring commercial pilot
55420	60860	first needs to get a private pilot's license which requires 35 hours of flight time.
60860	65740	These first bits of flight time, which are with an instructor, typically cost about $140
65740	68600	an hour or $4,900 total.
68600	72980	You also have to take classes which have their own fees so getting a private pilot's license
72980	75780	usually costs about $8,000 all in.
75780	80260	To start actually making money as a pilot, though, you need 15 additional hours of instruction
80260	85980	for an instrument rating costing $900 and an additional 215 hours of flight time costing
85980	88540	$23,500.
88540	93020	There are also tons of other smaller costs for books and housing and transportation and
93020	98900	other things which bring the total cost of a pilot's training to at least $80,000.
98900	105160	Having done all that, having spent $213,000 on education so far, one finally receives
105160	110840	a commercial pilot's license but still, at that point, one can't work for most airlines.
110840	114800	To get an airline transport pilot license, the one needed to work for large commercial
114800	121080	airlines by the likes of Delta or KLM or Cafe Pacific, one needs, with some exception, 1,500
121080	122140	flight hours.
122140	128000	That would cost an additional $136,000 in rental fees alone if one were to pay for the
128000	132200	flight time themselves so pilots normally let someone else pay for it by working at
132200	135600	a job that doesn't require a full ATP license.
135600	140640	The most common job used to get from 250 to 1,500 hours is as a flight instructor but
140640	145960	some also work flying skydiving planes, towing banners, or for airlines flying small single-engine
145960	146960	planes.
146960	150800	Once that's all done, after having been in education continuously for a quarter of
150800	155160	one's life until the age of 23 and having spent hundreds of thousands of dollars one
155160	160640	can finally start flying commercial passenger planes and earning $30,000 a year.
160640	167000	That's a typical and even fair starting salary for a first-year first officer and,
167000	171480	considering these individuals often have tens or hundreds of thousands of dollars of debt,
171480	175400	young pilots are often in a tough financial situation.
175400	179400	Most American pilots start their commercial careers at regional airlines.
179400	184120	The largest of these is SkyWest Airlines which is an airline that flies for other airlines.
184120	188980	You could be flying any of the three major American airlines—Delta, United, or American—and
188980	191580	actually be on a SkyWest operated flight.
