start	end	text
0	5240	Sitting in the center of a maze of dirt roads, shantytowns, crumbling infrastructure, open
5240	12700	sewers, and trash fires, central Rwanda, circa 2015, was defined by opulence.
12700	17780	Three times a week, a specially configured 747 would speed 14 hours across the Atlantic
17780	24060	from Houston, depositing up to 189 passengers at Angola's International Airport—an unusually
24060	28380	low number for this aircraft, reflecting its unusually luxurious interior.
28380	33700	It spent first-class seats, 143 business, and just 36 in economy.
33700	38460	The Houston Express, as it was dubbed, operated as a charter accessible only to invitees of
38460	42560	Angola's national oil company, the Sonangol Group, and for the convenience of a non-stop
42560	50220	flight to or from America's oil capital, they charged an eye-popping $2,399 for a round-trip
50220	55260	economy-class ticket—roughly equivalent to half a year of income for the average Angolan.
55700	58540	But these passengers were rarely Angolan.
58540	64540	Rather, American oil executives, businesspeople, and their families filled the 189 seats, returning
64540	67900	from a visit to their home offices or hometowns.
67900	72220	Having cleared customs, most would instruct their taxis to turn left, or south, towards
72220	76340	their gated community of choice in the polished Talatona neighborhood.
76340	81020	Inside these walls, snaking streets dotted by Range Rovers, BMWs, and Porsches opened
81020	86620	up to suburban-style housing, featuring manicured lawns, backyard pools, tennis courts, backup
86620	92060	generators, water treatment systems, and 24-7 security—an approximate impression of average
92060	98000	American housing, offered for a far higher than average $10,000 or $20,000 American dollars
98000	99220	a month.
99220	104340	Come evening, Talatona's residents might head to dinner at Cafe Del Mar, PIMS, UNDA,
104340	108900	or even the city's yacht club—a walled enclave of luxury carved out of a landscape
108900	110780	of tin-roofed shacks.
110780	115920	Regardless of the restaurant of choice, one couldn't escape for less than $100 a head.
115920	121060	On a budget-conscious night, one could head to KFC, but still, a meal there went for some
121060	123180	$20 a person.
123180	127620	Home cooking was also an option, but the comforts of home would cost you—a liter of Coke went
127620	131700	for $10, while a pint of Häggendoss $17.
131700	135540	While the adults of Talatona would typically commute into downtown Luanda to work in some
135540	139600	the most expensive office space in the world, their kids would typically stay closer to
139600	142660	home to attend the Luanda International School.
142660	146980	English-language, American-accredited, international baccalaureate curriculum was taught by an
146980	152180	international collection of teachers in a sprawling, modern, polished campus.
152180	158460	Tuition averaged some $50,000 a year, equivalent to 11 Angolans' average annual income, but
158460	162260	it was often paid by the pupils' parents' employers, as it was the only school in the
162260	166560	city to regularly send graduates to Stanford, Columbia, and Oxford.
166560	173100	The wealth of the Luanda elite was, simply put, extraordinary—and so too were the means
173100	175700	by which Luanda got to this point.
175700	180980	Until recently, Luanda was less a destination for the world's elite, and more so a destination
180980	184060	for deadly military ordnance.
184060	188460	Entering the 1970s, even at the height of decolonization, it would have been hard to
188460	192940	imagine Luanda as the capital of a single, sovereign Angola.
192940	197020	Entering this century, Luanda would have seemed one of the least likely of African capitals
197020	201780	to have its downtown dotted with high-end hotels and streets crisscrossed by BMWs and
201780	202900	Porsches.
202900	208540	The bloody, drawn-out process of Angolan independence began in earnest here.
208540	214420	On January 4, 1961, where a protest over farm wages devolved into violence that spread across
214420	219600	northern Angola, before a brutal Portuguese response stopped the rebellion in its tracks.
219600	224340	The months-long revolt signaled the upswelling of a nascent Angolan nationalism, while its
224340	229680	violent conclusion hinted at the uphill battle such a movement would face going forward.
229680	233760	In the years that followed this first rural revolt, a series of independence movements
233760	236080	took shape across Angola.
236080	240900	The FNLA, the main combatant group in 1961, formed in the north and coalesced around a
240900	243220	shared Bakongo ethnicity.
243220	249020	From Luanda came the MPLA, a Marxist-Leninist group made up largely of Angolan intelligentsia,
249020	253880	and in central Angola was UNITA, a group of FNLA dissidents who rallied around their Uvumbundu
253880	255020	ethnic background.
255020	261200	For the next decade, each group took on Portuguese military and Portuguese-funded paramilitaries.
261200	266180	Because of such stark ideological and ethnic divides, though, each group did so individually,
266180	268740	and each, in turn, failed.
268740	273860	By 1974, Portuguese forces had pushed each of these factions to the very brink.
273860	279680	Then, unexpectedly, Portugal itself fell in a military coup, and with the old regime went
279680	283120	any interest in maintaining the nation's African colonies.
