start	end	text
0	4920	This is a Wendover Productions video made possible by VideoBlox.
4920	10520	Get an exclusive 7-day free trial of VideoBlox with up to 140 free stock footage clips for
10520	14720	your videos by using the link videoblox.com slash future.
14720	18760	Before I start, I want to quickly mention that I started a podcast with Brian from Real
18760	20600	Engineering called Showmakers.
20600	24560	In the very first episode, which is out now, we chat with none other than Hank Green.
24560	29560	I'd really appreciate it if you give it a try and the link is down in the description.
29920	31440	Trains are expensive.
31440	36080	So expensive, in fact, that on three of the most traveled routes in three countries—New
36080	42000	York to Washington in the US, Edinburgh to London in the UK, and Paris to Lyon in France—they're
42000	44280	pretty much the same price as the plane.
44280	50240	These routes start at $49, 30 pounds, and 30 euros respectively on the train and $52,
50240	53720	13 pounds, and 53 euros on the plane.
53720	57840	On a longer route like New York to Chicago, the difference is even more pronounced.
57840	62000	$59 for the plane, $108 for the train.
62000	66320	And that's keeping in mind that trains are subsidized or government run in almost every
66320	70880	country while airlines are highly profitable commercial enterprises.
70880	76500	The planes flying between DC and New York are $49 million machines while the trains
76500	80260	traveling the route cost no more than $10 million total.
80260	85940	The plane has to burn 1.7 gallons of fuel per mile flown while the train relies on clean
85940	87240	electric power.
87240	91200	All this therefore begs the question, why are trains so expensive?
91200	97120	Now, I mentioned that fares between DC and New York start at $49, but that's far from
97120	98760	the average price—$73.
98760	102760	Let's look at the expenses that go into that fare.
102760	106960	The single largest expense for Amtrak is staffing.
106960	110400	Trains require a lot of people to operate.
110400	117040	85,000 passengers journey on Amtrak daily, but for that Amtrak employs 20,000 people.
117480	122800	Meaning that, daily, Amtrak requires one employee for every four passengers.
122800	127820	On top of that, the majority of those working for Amtrak are highly specialized, unionized
127820	130600	workers who demand high salaries.
130600	136440	Amtrak's financial reports tell us that they spend $105,000 per employee, but that's
136440	139680	not to say that everyone at Amtrak is making six figures.
139680	145720	Taxes and benefits typically cost an employer 30-40% of a salary so the actual average salary
145720	149360	for an Amtrak employee is around $75,000.
149360	154640	These salary costs are so high that they account for over a third of the ticket price between
154640	158620	DC and New York—$25.82 total.
