start	end	text
0	2760	This video was made possible by Brilliant.
2760	6320	Learn something new every day with Brilliant for 20% off by being one of the first 200
6320	9880	to sign up at brilliant.org slash Wendover.
9880	14920	In all of World War II, the world used about 5 megatons of explosives.
14920	20960	Now this is a Trident II missile, capable of carrying 12 nuclear warheads together equivalent
20960	24680	in power to about 5 megatons of explosives.
24680	30640	A single American Ohio-class submarine can carry 24 Trident II missiles.
30640	37880	A single submarine can carry a devastating, catastrophic, inconceivable amount of firepower.
37880	42160	While in reality, due to arms reduction treaties and practicality, these boats often carry
42160	47860	far less than their maximum armament, submarines can still creep up anywhere, undetected, ready
47860	51960	to unleash their firepower, more powerful than the entire arsenal of some countries,
51960	53600	in an instant.
53600	56680	Submarines are different in purpose to some other elements of a navy.
56680	60440	While an aircraft carrier, for example, is intended to be big, foreboding, and noticeable
60440	65160	as a means to display a nation's power to the world, submarines are meant to be unseen,
65160	70360	undetected—an invisible, silent force that could, or could not, be anywhere at any given
70360	71360	time.
71360	75380	In a way, submarines almost serve a purpose of psychological warfare—an enemy can never
75380	78920	know for sure whether a submarine is looming off its shore.
78920	82740	While dozens of countries operate submarines, the most powerful and often largest of these
82740	87400	boats are those capable of firing ballistic missiles carrying nuclear warheads.
87400	93320	Only six nations are confirmed to have these submarines—the US, UK, France, India, Russia,
93320	94320	and China.
94320	97820	In addition, analysts have found evidence suggesting that North Korea and Israel also
97820	100420	each have nuclear missile capable submarines.
100420	105020	Nowadays, there are essentially two different types of military submarines with two different
105020	106020	missions.
106020	110300	The attack submarine, the more common kind, is generally smaller and, in combat, attacks
110300	114500	other close range targets like ships using torpedoes, shorter range missiles, and other
114500	115500	armaments.
115500	119220	The other, often larger, type of submarine are those ballistic missile submarines which
119220	123980	essentially serve the purpose of being a mobile, hidden launch platform for nuclear missiles.
123980	128620	The idea is that, as a stealth launch platform, a country's submarines would survive any
128620	133080	nuclear first strike and therefore be able to retaliate against an aggressor.
133080	137900	Ballistic missile submarines are therefore critical to the idea of mutually assured destruction—if
137900	141500	anyone attacked with nuclear weapons, assuming those attacked had nuclear weapons that would
141500	146860	survive a strike and they retaliated, both the attacker and those attacked would be destroyed.
146860	150900	Therefore, many consider these nuclear missile equipped submarines to actually be a form
150900	155140	of nuclear deterrence—they say they reduce the likelihood of others using nukes since
155140	157620	they assure their subsequent destruction.
157620	161460	Considering that these submarines might survive when a country and government do not, they
161460	164860	therefore need the independent authority to use their missiles.
164860	168260	While other operators likely have similar setups, it's noted that the UK's four
168260	172280	ballistic missile submarines each have a letter locked in a safe instructing their commander
172280	175940	on what to do if the UK is wiped out by a nuclear strike.
175940	179940	These letters are written by each prime minister at the beginning of their term and destroyed,
179940	181460	unread, at the end.
181460	185540	Each PM essentially has to choose which of the four potential options they want to instruct
185540	189740	their sub-commanders to do—nothing, to place themselves under the command of an ally like
189740	194300	the US or Australia, for the commander to use their judgement, or to retaliate and launch
194300	196380	nuclear missiles at the attacker.
196380	200700	Of course, what gives submarines their stealth is the blanket of water.
200700	205220	American Ohio-class submarines are publicly known to be able to go down as deep as 800
