start	end	text
0	3000	This video was made possible by Brilliant.
3000	6960	Start learning with Brilliant for 20% off by being one of the first 200 people to sign
6960	10480	up at brilliant.org slash wendover.
10480	15760	This is East Asia, comprised of China, Japan, Korea, and Taiwan, and this is Europe.
15760	21200	2.4 billion people live in these two areas—a third of the world's population.
21200	26720	More impressively, each of these two areas have a GDP of around $20 trillion.
26720	32360	Combined, just these countries account for half of the world's economic activity.
32360	37080	They are two of the world's most dense, most developed, and most economically interlinked
37080	42000	regions and are home to the world's largest and most influential cities yet laying between
42000	45440	them is just one country—Russia.
45440	50140	This more or less means that one country controls whether Europe can get to Asia and vice versa
50140	52780	and for a while, they couldn't.
52780	57040	During the cold war, almost universally, non-Soviet airlines were not allowed to fly
57040	58820	over the Soviet Union.
58820	61420	This proved a huge barrier to travel.
61420	66260	In the 1950s, flying on BOAC, which later became British Airways, the fastest route
66260	72500	from London to Tokyo involved leaving London at 10 AM on Friday and stopping in Rome, Beirut,
72500	79340	Bahrain, Karachi, Calcutta, Yangon, Bangkok, and Manila before finally arriving in Tokyo
79340	81580	at 6 AM on a Sunday.
81580	87820	All in all, that was 36 hours and 10,000 miles of travel to get between two cities 6,000
87820	92460	miles apart and that was also their fastest service on the Comet jet plane.
92460	96620	Their slower and cheaper propeller service would leave London on a Sunday and not arrive
96620	101300	in Tokyo until Thursday after 88 hours of travel.
101300	106900	It was just hugely inefficient but there was a better way—over the Arctic.
106900	112380	SAS was the first to develop routes overflying the Arctic but other airlines soon followed.
112380	116300	These routes were first used to get to the American west coast faster.
116300	120900	This involved developing new navigation systems to overcome the issue of traditional magnetic
120900	123660	compasses not working properly in the high north.
123660	128860	In the 1950s, no commercial airplane had the range to fly to the American west coast non-stop
128860	133340	but with SAS' new polar route, they would take a relatively quick route from Copenhagen
133340	138600	stopping in Kangerlussuaar, Greenland, and Winnipeg, Canada before arriving in Los Angeles.
138600	142600	This cut what was previously a 36 hour trip down to 22.
142600	146880	With SAS having proven that commercial flights over the Arctic were both safe and commercially
146880	151180	viable, other airlines quickly followed not only setting up routes to the American west
151180	153900	coast but also to the far east.
