start	end	text
0	5820	The opening shot of Golf Civil War came in the form of a press release.
5820	11340	Published on a Friday in late October of 2021, the newly formed company, Liv Golf Investments,
11340	16580	with the backing of the Saudi Sovereign Wealth Fund, announced its commitment of $200 million
16580	21380	to establish 10 new marquee professional golf tournaments.
21380	27500	It also announced its new CEO, the brash Australian, the former world number one golfer, the shark
27500	29500	Greg Norman.
29500	32940	And it announced, well, little else.
32940	36900	Who would play, where they'd play, and exactly how these tournaments would be played were
36900	38820	details for a later date.
38820	44620	Instead, the release opted for platitudes and an ominous promise—that this was only
44620	46300	the beginning.
46300	49980	For other established sports leagues, it might be easy to write off the arrival of such an
49980	52500	overly vague and optimistic challenger.
52500	56340	The established leagues have the money, they have the TV deals, and most importantly, they
56340	57620	have the talent.
57620	62500	The PGA Tour, the most prestigious golf circuit in the world, however, is a little different.
62500	68620	While it has the money and TV deals, it doesn't pay for the luxury of keeping its talent locked
68620	70140	down.
70140	73620	Whereas most professional sports leagues pay their players consistent base salaries with
73620	79260	the occasional incentive looped into a contract, the PGA Tour only pays for winning.
79260	84060	For the world's very best, this works just fine—show up to a third or maybe a half
84060	88220	of the 40-something annual PGA tournaments, post a score good enough to land in the money
88220	92560	or even win outright, bring home the winnings, and cash in on the media attention through
92560	93780	endorsement deals.
93780	97940	But this creates a problem for those in the middle and back of the pack—elite golfers
97940	102520	in their own right, but golfers who are paying for their own travel, coaching, and accommodations
102520	107580	only to quite possibly finish outside the money if they don't play to their full potential.
107580	113040	All this is to say, the PGA Tour and its pay structure, along with its stuffy, hesitant-to-change
113040	119000	culture was ripe for a challenge—and they knew it as well as anyone.
119000	123120	The counter to the live announcement came from the tour's wary commissioner, Jay Monahan,
123120	126920	who sent each tour member a memo explaining they were sweetening the pot.
126920	130960	For the upcoming season, there'd be more prize money at tournaments, more money devoted
130960	135000	to the player impact program that compensates for their roles in boosting the tour's engagement,
135000	139800	and that there'd be an entirely new bonus fund for players appearing in 15 or more PGA
139800	140800	events.
140800	143560	If the carrot wasn't enough, there was also the stick.
143560	147040	Along with more money, Monahan also warned that if players defected to whatever this
147040	151900	new league was, they'd be banned from playing in the PGA Tour.
