start	end	text
0	6000	It was January 25th, 1969, and Boston, Massachusetts was buzzing.
6000	10480	The night prior, thousands had poured into the Boston Garden to watch the future NBA
10480	13280	champion Celtics play their arch-rival Philadelphia.
13280	17480	The night following, the Boston fans would be back again in droves to cheer on the ascending
17480	19520	Bruins of the NHL.
19520	23720	As for that night, not far from the Garden, just five stops or ten minutes down the Orange
23720	28320	Line, none other than Led Zeppelin was playing a four-hour set at the Boston Tea Party as
28320	33520	part of their first ever North American tour that would go down as one of their best.
33520	37960	For a city dealing with existential issues of urban decay, draconian renewal projects,
37960	42200	redlining, and simmering racial tensions, the pulse of Boston's beating heart as a
42200	46880	center of entertainment and culture was still unmistakable.
46880	51120	And for a group of 2,000 protesters that was descending on the Statehouse that January
51120	54680	day, the hope was to keep it that way.
54680	59280	People Before Highways Day, as it became known, was a manifestation of bubbling frustration
59280	63600	towards the direction of Boston's transportation network that threatened to turn the densely
63600	68600	populated, richly historical colonial city into a car-centric roadscape.
68600	74200	With the Interstate Act of 1956, and the subsequent arrival of I-93 traumatically bisecting communities
74200	78600	through the heart of Boston, the expansion of massive roadways inside the city had only
78600	81180	just begun by the 1960s.
81180	86060	With the arrival of a new governor, Bostonians and the greater metro area protesters feared
86060	88100	how far it'd go.
88100	93180	For the highway-crazed urban planners, I-90 and I-93 weren't enough—the city also
93180	97420	needed a connective inner beltway along with a few more expressways to split the distance
97420	99540	between those already constructed.
99540	104540	But in the eyes of a diverse set of stakeholders—working class Cambridge residents, black power, women's
104540	109340	liberation, and Native American rights activists to union workers, along with Harvard and MIT
109340	113660	professors—these planned roadways wouldn't make the city more accessible—they'd tear
113660	117100	down homes and kill communities.
117100	120060	So, they marched.
120060	123260	Then something unprecedented happened.
123260	127900	Against the tide of massive nationwide urban overhaul, and in response to the protests,
127900	133180	Massachusetts's newly elected governor, Francis Sargent, declared a moratorium on
133180	134660	highway construction.
135100	142300	Then in 1972, he announced an outright construction freeze on highways inside Route 128.
142300	146020	Rather than a massive expressway contouring the city's southwest corridor, it'd be
146020	150980	mass transit lines—subways and commuter rails that got the state's green light.
150980	155400	Boston was poised to remain for the people, and no system was better positioned to benefit
155400	159580	from this countering of American convention than the Massachusetts Bay Transportation
159580	162100	Agency, or MBTA.
162540	167460	Boston, as a walkable, human-first city, already had its advantages.
167460	172140	For one, it was designed before the car, making it uniquely dense—almost European.
172140	175420	Second, it was home to a one-of-a-kind transit system.
175420	179880	With the adoption of this law establishing the MBTA in 1964, the greater Boston area
179880	185140	became the first combined cohesive regional transit system in America, as it accounted
185140	190080	for Boston along with the 77 separate communities surrounding it.
190080	194520	Under one big umbrella, and with a substantial tax base, were the Boston area bus lines,
194520	198940	the streetcars and light rail, and the subway system—the very modes of transportation
198940	204320	that would provide for commuters every morning, and those living within the city, every day.
204320	206720	It was all falling into place.
206720	211520	As the Boston anti-highway movement built momentum across the 1960s, the MBTA began
211520	212800	to expand.
212800	217680	The subway, or the T, adopted the standardized colored lines the system's now known for—the
217680	221500	orange line running from North Boston to Forest Hills, the blue from Bowdoin Street
221500	226240	to East Boston, the red from Harvard to South Boston, and the green running rapid transit
226240	229080	from Riverside all the way through downtown.
229080	231720	Then it got bigger and modernized.
231720	235880	The orange line, formerly elevated, now went underground, streetcars on the green route
235880	240280	were replaced with buses, and both ends of the red line pushed farther from downtown.
240280	244080	Aside from a few holdovers on the green line, nearly all of the rolling stock was either
244080	247840	replaced within the decade or had been replaced recently.
247840	250380	By 1970, all the pieces were there.
250380	254320	The nation's oldest subway, now organized in a one-of-a-kind regional structure with
254320	261520	the support of state and local politicians, along with the city itself, was ready to boom.
261520	263160	Then it didn't.
263160	264680	Zoom to the 2020s.
264680	269880	While the routes have changed some, and certain stops have flipped names, the promise of Boston
269880	273200	subway has hardly materialized.
273200	278480	Instead of pacing the future, it's a system that looks like it's frozen in time.
278480	282640	What the arrival of federal regulators in 2022 served to say was that rather than the
282640	288440	subway of the future or a quaint, reliable service of the past, the T was America's
288440	290400	most dangerous.
290400	294280	But by this time, close calls and outright crashes were not new.
294280	298820	In 2008, at the farthest outskirts of the system along the green line's D branch,
298820	303180	one westbound train missed a slow signal and catastrophically rear-ended the train
303180	304180	ahead of it.
304180	308180	While the first was moving at little more than a crawl, the second was cruising at 38
308180	313300	miles or 61 kilometers per hour with the operator assumed literally asleep at the wheel on account
313300	317900	of their struggles with sleep apnea that hadn't been identified in the hiring process.
317900	322100	What exactly happened could never be ascertained in a post-accident interview by the National
322100	326300	Transportation Safety Board investigators, though, as the operator died in the crash
326300	328780	while another 14 were injured.
328780	332540	Despite the unique circumstances, the crash wasn't a one-off.
332540	336300	Less than a year later, another accident on the green line occurred underground near the
336300	337880	heart of the city.
337880	342020	This time, a bunch up of westbound traffic had created a full stop between Government
342020	343900	Center and Boylston.
