start	end	text
0	3200	This video was made possible by CuriosityStream.
3200	6680	Watch an exclusive companion video to this by signing up for the Nebula bundle deal at
6680	10400	curiositystream.com slash wendover.
10400	16520	On August 15th, 2021, Taliban fighters encircled Kabul.
16520	21960	Over the hours, days, and weeks prior, they had swept across the nation, toppling provincial
21960	24520	capital after provincial capital.
24720	31240	Now, their grand prize—their return to rule after 20 years of war with the West—was
31240	32740	within sight.
32740	37280	As police put on street clothes, retailers raised the price of burkas, and workers painted
37280	43240	over pictures of women, Hamid Karzai International Airport maintained an eerie impression of
43240	44240	normalcy.
44240	48640	It was certainly busy, with civilians fleeing on commercial flights, governments evacuating
48640	53400	their diplomatic staff, and airlines relocating their aircraft to more stable nations, but
53400	59100	the way Kabul's airport operated that morning was broadly the way it operated any morning.
59100	65200	At 1042 AM, a Pakistan International Airlines 777-200 landed from Islamabad.
65200	71840	At 1126, a Qatar Airways 777-300ER touched down on a charter flight from Doha.
71840	79060	Shortly after, at 1149, a Kam Air A340 left on its daily run to Delhi.
79060	83600	In spite of the foreboding feeling in the air, the airport fulfilled its regular role
83600	86460	for the bustling Middle Eastern metropolis.
86460	88140	But then came the news.
88140	94620	Shortly after noon, the Taliban's spokesperson, Zabuhullah Mujahid, issued a statement.
94620	99740	Their forces had encircled Kabul, and they intended to enter.
99740	105540	Still, the planes kept coming, having allocated each one of their seats to those lucky enough
105540	107620	to find an available ticket.
107620	113160	As an Air India A320 approached, however, ATC stopped responding.
113160	117780	With panic setting in on the ground, controllers had abandoned their posts, so in the air,
117780	122460	the A320 entered a holding pattern until its pilots determined a course of action.
122460	128140	12,000 feet above, an Emirates 777 did the same until it diverted back to Dubai, but
128140	132980	one hour later, finally, the Air India aircraft successfully landed.
132980	137780	In the hours that followed, without any ATC clearance, the Pakistan International Airlines
137780	144500	777, Qatar Airways 777, Air India A320, and a Pakistan International Airlines A320 each
144500	149420	departed for their destinations, but the most significant departure was not one of the afternoon's
149420	152620	planes, but a passenger aboard it.
152620	158760	At 456 PM, Tolo News, one of Afghanistan's largest broadcasters, reported that President
158760	162480	Ashraf Ghani had fled the country.
162480	166300	The Islamic Republic of Afghanistan was no longer.
166300	169960	The Taliban were in control.
169960	173360	Soon after, its forces entered Kabul.
173360	180600	At 738 PM, a Kam Air 737 left on the Afghan Airlines regular evening run to Islamabad,
180600	186480	representing Kabul's last regularly scheduled commercial flight for days, weeks, or maybe
186480	187480	more.
187480	191760	Meanwhile, the Taliban took control of the ark, Afghanistan's presidential palace,
192040	196520	and the first photos emerged displaying the finality of the situation.
196520	199560	Reactions around Kabul were mixed.
199560	200560	Some celebrated.
200560	206100	The jihadist group does have some public support, so Kabul's streets were roamed by men enjoying
206100	209480	what was, in their minds, a victorious night.
209480	214840	Others, including nearly all women, hid in their homes, worried for potential violence
214840	217360	and for the future of their country.
217800	224240	Then there were those who feared for their lives—journalists, activists, former government
224240	229360	officials, along with interpreters, security guards, and others who had worked with American,
229360	231880	NATO, and NATO Allied forces.
231880	237400	The desperation was undoubtedly profound because as soon as Kabul's fall was no longer in
237400	242680	question, scores of people worked their way through the streets towards the same destination—Kabul
242680	244160	Airport.
244160	248720	The Taliban already controlled every one of Afghanistan's land border crossings, so
248720	254120	the airport was truly the singular way out for those who needed to leave.
254120	258760	Surrounded by dense urban sprawl and located mere miles from the city center, Hamid Karzai
258760	263360	International Airport is a nightmare from a perimeter security perspective.
263360	267960	It was hardly difficult for those who flocked there to scale its walls, and across the evening
267960	273520	of August 15th, thousands made it onto the airfield, desperate to find any flight, with
273520	277760	any seat, going anywhere but Afghanistan.
277760	282280	In the days leading up to the fall of Kabul, the US had ramped up its evacuation efforts,
282280	287680	largely in the mission of evacuating its diplomatic staff before the situation deteriorated further.
287680	292960	Therefore, it had already deployed thousands of troops and effectively relocated its embassy,
292960	296200	and the key staff that ran it, to the airport.
296200	302200	Amidst the chaos, a single C-17 was scheduled to depart, filled with hundreds of individuals
302200	306320	adorned with a wristband, indicating that they had been authorized to travel on an American
306320	311280	evacuation flight, due to their status as an individual believed to be in acute danger
311280	313040	under Taliban rule.
313040	318900	The manifest for this flight, Reach 871, soon became moot, as hundreds who were not assigned
318900	323360	to the particular flight, but were cleared to fly, rushed the cargo bay.
323360	327580	The aircraft became packed far beyond its operating limit, but faced with the alternative
327580	331860	of spending hours reloading the aircraft properly as the airfield's condition decayed
331860	338620	further, Reach 871's commander chose to break protocol and take off at 1.27 am on
338620	340820	August 16th.
340820	346820	823 passengers were packed onto the aircraft's floor, easily breaking the record for the
346820	349760	most people carried by a C-17.
