start	end	text
0	3040	This video was made possible by Skillshare.
3040	10260	Learn from over 25,000 classes for free for two months at skl.sh slash wendover six.
10260	15640	No sports league in the world makes more money than the American National Football League.
15640	20020	The NFL earns more yearly revenue than the English Premier League, the Champions League,
20020	24000	Formula One, the Japanese Nippon Professional Baseball League, and the Continental Hockey
24000	25640	League combined.
25640	30160	It is by far the largest sports league in the world by revenue.
30160	35040	Making up the NFL are 32 football teams each themselves essentially acting as their own
35040	36720	distinct businesses.
36720	41320	These teams are spread out all across the contiguous United States, some only 30 miles
41320	47520	or 45 kilometers apart from each other, some nearly 3,000 miles or 4,500 kilometers apart.
47520	52600	Now, American football teams are some of the largest in sports, both physically and in
52600	53600	numbers.
53600	58240	They have a roster of 56 players, the majority of which play in any given game.
58240	63000	These players weigh on average about 250 pounds or 110 kilograms.
63000	66600	This team size leads to some particular travel needs.
66600	70440	Players each require a first class seat or, at the very least, the seat next to them free
70440	75760	in economy meaning those 56 players take up far more than 56 seats.
75760	80360	On top of that, a team typically brings more than 100 support staff and an immense amount
80360	82960	of cargo to each away game.
82960	87400	With the exception of the largest, most valuable ones, most other professional sports teams
87400	94640	in the US will just fly on chartered narrow-body aircraft like A320s, 737s, or 757s, but most
94640	99200	NFL teams, given their size, require something larger.
99200	104200	NFL teams tend to charter their aircraft from commercial airlines—American, Delta, United,
104200	108200	or Hawaiian airlines—and they'll typically fly something a bit larger than other teams
108200	113480	like a 767 or sometimes even a 777, but the nature of this charter job makes finding a
113480	116320	plane to take them particularly difficult.
116320	120640	You see, let's take the example of the New York Jets' last game of the 2018 season
120640	123920	versus the New England Patriots on December 30th.
123920	130280	For this game, they left the day before on a United Airlines 767-400 at 3.37 pm, landing
130280	134560	30 minutes later at 4.07 pm in Providence, Rhode Island.
134560	139640	The plane then sat on the ground at Providence Airport for the next 26 hours until the game
139640	140640	was over.
140640	144700	The following day, the plane took off at 6.30 pm bound for New York.
144700	148000	The aircraft's previous flight had been to Buenos Aires and its next flight was to
148000	153240	London and yet for these 26 hours, United only made money from the half-hour charter
153240	155320	flight to and from Providence.
155320	159720	It's easy to understand why this wouldn't really be worth it to the airline, but at
159720	164140	least the jets are located next to a United Airlines hub at Newark Airport.
164140	168680	Many teams, like the New Orleans Saints, for example, are not located in a city with any
168680	169820	airline hub.
169820	173820	That makes finding an airline to take their charter contract even more difficult.
173820	178340	That's because, for example, when the team had to travel to Charlotte last season, the
178340	183060	767 that took them had to fly in empty from Houston, the nearest United hub, then fly
183060	188100	to Charlotte, sit on the ground for 33 hours, fly back to New Orleans, then once again fly
188100	190980	empty—this time all the way to New York.
190980	195520	All told, for those 2 hours and 51 minutes of flight time United was paid for, they used
195520	198960	this airplane for almost 44 hours.
198960	203180	Being located away from an airline hub, where planes are based, means charter flights will
203180	207000	almost always require a plane flying in empty.
207000	211340	It is for this reason that airlines are raising rates or just flat out stopping flying NFL
211340	216200	teams as they find normal commercial flying a more lucrative use of their aircraft.
216200	220520	American Airlines, in recent years, for example, dropped all the many teams they previously
220560	225480	flew except for the Carolina Panthers, the Dallas Cowboys, and the Philadelphia Eagles—three
225480	227960	teams located at their hub airports.
227960	232260	More teams have moved their contract to dedicated charter companies such as Atlas Air or Miami
232260	237160	Air International while the New England Patriots even bought their own set of planes to solve
237160	238500	this issue.
238500	241840	Some other teams still have contracts with commercial airlines but have switched to flying
241840	245360	multiple smaller planes as these can be in less demand.
245360	250320	The Indianapolis Colts, for example, now typically travel in two Delta 757s leaving
250320	252560	within a half hour of each other.
252560	256780	Other American sports, such as hockey, baseball, and basketball, don't have nearly as much
256780	261320	of a problem because they play far more games a season which makes their contract a more
261320	266120	attractive one to airlines and they also typically use smaller aircraft of which there are more
266120	267280	available.
267280	271200	The NFL briefly considered investing in its own fleet of aircraft or at least negotiating
271200	276140	a deal with an airline in bulk like the NBA does with Delta, but for now, NFL teams are
276140	281140	seeing their travel costs skyrocket as the laws of supply and demand take hold.
281140	284880	After losing their contract with American Airlines, for example, the Jacksonville Jaguars
284880	290680	saw their travel costs double to $4 million a year as they chartered an Atlas Air 747
290680	296440	and remember, those $4 million pay for the travel costs to a mere eight away games.
296440	300840	But the NFL's most daunting logistics problem is not this.
300840	306440	Their most daunting logistics problem relates to the NFL's other big problem—expansion.
306440	311040	You see, part of the reason the NFL is the most valuable sports league in the world is
311040	317840	because of how saturated the football market is in the US—57% of Americans identify as
317840	318840	NFL fans.
318840	324080	That's an amazing level of market saturation for what is, at its core, a business, but
324080	328800	that also presents a problem because, with such a high proportion of the population already
328800	333800	stands, it's quite difficult for the NFL to expand their audience—at least within
333800	334800	the US.
334800	339380	In the past decade or so, the league has turned its attention internationally.
339380	344280	The NFL now plays regular season games in Mexico City and London.
344280	348720	These cities don't have home teams, but rather, two teams from the US will come out
348720	349720	and play.
349720	353540	For the most part, these international games are about promoting the sport in these two
353540	357480	countries which already have significant fan bases watching the sport on TV.
357480	361720	There's never been more than one game a season in Mexico City, but in London, in the
361720	366320	2019 season, they're playing four regular season games.
366320	370980	With the 16 regular season games per team per year, any other city that has a resident
370980	376480	NFL team typically only has eight home games, meaning London's quantity is really not
376480	377680	that far off.
377680	382720	What's more, the Jacksonville Jaguars are designated as a sort of home team for London
382720	386600	and therefore play at least one of their games there each year in an attempt to give the
386600	389200	city and country a clear team to root for.
389200	393320	The league has even said that it plans to eventually have a full eight games per season
393320	397000	in London—the same as any home city in the US.
397000	401440	The reason there are now so many NFL games in London is because the sport of American
401440	405600	football has gained significant inroads in the UK audience.
405600	411240	The NFL estimates that it has 13 million fans in the UK, 4 million of which watch regularly,
411240	416040	and 47,000 of which buy games to every single NFL game in the UK.
416040	422000	Its dedication to the UK has become so significant that it contributed $12.5 million to the construction
422000	425040	of the new Tottenham Hotspur Stadium in North London.
425040	429800	This recently opened stadium was built to become the home of the NFL in the UK.
429800	434480	It has a permanent synthetic American football pitch under its grass soccer field, purpose-built
434480	439480	NFL-sized locker rooms, and a media suite built to the preferences of NFL press.
439480	444640	In the coming years, at least two NFL games will occur each year at this stadium.
444640	449620	Now, the logistics of these international games in London are formidable.
449620	455280	When the Seahawks played in London in 2018, they had to ship 1,150 rolls of athletic tape,
455280	462440	about 4,000 pounds or 1,800 kilograms of medical supplies, 350 power adapters, 500 shoes, 240
462440	467000	pairs of socks, and tens of thousands of other pounds of equipment to the city weeks ahead
467000	468240	of their arrival.
468240	472280	Months before, they had to arrange for many of their players, who had never left the US,
472280	473680	to get passports.
473720	476800	The team's trainers had to carefully schedule their players' sleep in the week leading
476800	478320	up to reduce jet lag.
478320	483000	There's even a hotel in Watford with a purpose-built American football practice pitch that teams
483000	484000	typically stay in.
484000	489080	While these London matches come at great difficulty and force teams to sacrifice a coveted home
489080	493840	game, the teams and their owners seem to tolerate them given their infrequency and the promise
493840	495000	of the UK market.
495000	499840	But the promise of the UK market could push the NFL to stretch beyond eight international
499840	501480	series games a year there.
501480	506600	You see, there is some very real, very serious discussion of putting a National Football
506600	508640	League team in London.
508640	513280	There is little doubt that the city and country could support a team in terms of fan base.
513280	518040	The issue, according to the league's commissioner, would be having one solitary team stationed
