start	end	text
0	4880	Imagine an America where you could just go anywhere by train—one where one could pick
4880	9600	from four daily options from Pittsburgh, each arriving in Columbus some six hours on.
9600	13760	One where twice-daily trains left Denver, tracked south, then climbed through the most
13760	18240	rugged reaches of the Rockies, providing passengers a selection of dozens of destinations
18240	22640	that today can only be reached by the most reliable off-roaders. One where the same
22640	27280	sleeper that left Washington on a Monday or Wednesday or Thursday or Friday would pull
27280	32480	into San Francisco on a Sunday, Tuesday, Wednesday, or Thursday. One where even Hawaii
32480	37360	had trains, linking the south of Oahu to its north, stopping at countless coastal communities
37360	42560	along the way. One where one could go from Indianapolis to Nashville, or Albany to Burlington,
42560	48560	or Dallas to Denver, or Boise to Spokane, or anywhere to anywhere—an interconnected,
48560	53760	frequent, reliable, affordable nationwide network where all it took to travel anywhere was a quick
53760	61760	walk to your town's local station. This America existed. In fact, if you average America out,
61760	67200	if you examine the country through its most persistent configuration, this is America.
67200	71760	The development of the nation was so deeply intertwined with the development of the railroads
71760	77120	that if anything, today, the blip in time since World War II where automobiles have come to define
77120	83280	the landscape, that's the aberration—trains are the norm. This average configuration of
83280	88720	America can return, but before, it has to recognize the minor yet monumentally
88720	94560	meaningful mistake that took it off track and into today's exceptional, irrational reality.
94560	100320	The rise of American rail was as meteoric as it was chaotic. Bolstered by favorable loans,
100320	104320	cheap labor, and with full-fledged federal government support in the form of land grants,
104320	110240	the back half of the 19th century saw American rail mileage nearly double for three consecutive
110240	115760	decades. The result was a nation quickly over-indexed with a maze of mismatching rails.
115760	119760	The race for critical market share was rash, bordering on irrational, as companies ran
119760	125040	redundant rails into cities, dropped rates to bleed others dry, and, in the most extreme cases,
125040	130240	even took up arms. But the frenzy launched an industry which in turn built a nation.
130800	135360	The craze couldn't last. While railroads became the nation's second-largest employer behind
135360	139520	only agriculture, and nationwide rail mileage would continue upward into the next century,
139520	143760	the industry began to mature—expansion for the sake of expansion gave way to
143760	150160	efficiency-focused consolidation. This shift in approach was best epitomized by J.P. Morgan.
150160	156320	In 1869, Morgan entered the industry with the purchase of this—the tiny Albany-Susquehanna
156320	162240	line—but rather than expand lines, he looked to cut unnecessary costs and inefficient practices.
162240	165840	In the following decades, the Gilded Age financier reorganized companies,
165920	170640	ended rate wars, and removed duplicate routings, hoovering up railroad shares as he went.
170640	176080	By 1902, the maneuvering had wrestled Morgan control over an estimated six of all American
176080	182560	railways, streamlining services to maximize gains. While atypically successful, Morgan's focus on
182560	188080	efficiency was hardly unique. As his empire grew, companies like Great Northern experimented with
188080	193040	route optimization. By employing heavy trains, focusing on maximizing car loads, and only
193040	197440	running at full capacity, the railroad pulled higher revenue at lower costs—an approach that
197440	202800	made railroads increasingly popular to private investors across the US. Through the expansion
202800	207920	era, the rails had become central to American life. Like post offices and town halls, rail
207920	212800	stations were staples of every downtown, and day to day, the average traveler and business owner
212800	218480	alike steadfastly relied on trains' consistent, constant availability. Through the consolidation
218480	223040	phase, however, as track gauges standardized, companies merged, and financiers looked to
223040	227760	maximize profits, rails also became critical wealth-generating machines for the American
227760	233520	capitalist. Effectively then, by centuries close, the rails served two masters with divergent
233520	237920	purposes—the American public who required their passenger and freight capabilities,
237920	242800	and their investors who poured money in with the expectation that efficiency gains and optimization
242800	248400	would create more money. From the jump, finding the balance between these two purposes was tricky,
248720	252960	with the arrival of the combustion engine, it became nearly impossible.
254000	259840	The reasons behind American rails decline are well established. Affordable automobiles, improving
259840	264880	roads and highways, and increasing consumerism sent passenger rails plummeting. And it wasn't
264880	269840	just cars making things worse for the rails, but trucks. Freight now faced its first real
269840	274160	competition after World War II as American trucking companies operated on interstates,
274160	278800	moving increasingly diverse goods from increasingly dispersed factories to various
278800	284480	alternating locations. Rails simply struggled to match the flexibility and convenience offered by
284480	290000	the roads. In a car-centric society, passenger service was becoming less viable by the year,
290000	293440	and while rail was still the king of heavy freight, it would need to make adjustments
293440	298480	in the face of its first real competitor. Yet, while the writing was on the wall,
