start	end	text
0	3060	This video was made possible by Skillshare.
3060	10540	Learn new skills for free for two months by being one of the first 1,000 to join at skl.sh.wendover10.
10540	16440	The term, helicopter airline, is one that most are probably not familiar with.
16440	22100	Simply, it's an airline, transporting passengers or cargo, that uses helicopters.
22100	27900	Of course, not all helicopter companies are truly airlines, since many, if not most civilian
27900	31600	applications of helicopters do not involve transport.
31600	36200	The people or things inside often land right back where they took off.
36200	39980	Helicopter airlines have been around almost as long as helicopters themselves, but they
39980	42620	certainly are not widespread.
42620	47400	There was, however, a time when helicopters were believed to be the future of short-haul
47400	49140	passenger transport.
49140	51060	So what happened?
51060	55940	The opportunity for helicopter airlines emerged around the 1950s.
55940	60340	When passenger aviation first began, cities' first airports were located rather close to
60340	64540	the cities themselves as they just didn't need as much space.
64540	69340	Around the mid-century, New York's primary airport was LaGuardia, Chicago's was Midway,
69340	74800	DC's was National, Paris's was Le Bourget, and Tokyo's was Haneda—all airports fairly
74800	76800	close to their city centers.
76800	81620	These airports were relatively small and generally had short runways, but that wasn't a problem
81620	85460	because passenger demand was small and airplanes were too.
85460	90140	After all, the smaller the airplane, the shorter the runway needed, and vice versa.
90140	94740	These small airports even worked for the long-haul flights of the time since, in general, before
94740	99740	the 1950s, these were done on relatively small airplanes that would make multiple stops on
99740	101140	longer journeys.
101140	105720	However, with the introduction of the de Havilland Comet in the 1950s and other passenger jet
105720	110620	aircraft soon after, airplanes were growing larger, range was increasing, and passenger
110620	112700	demand rose too.
112700	117280	That meant that all these small airports of the past wouldn't cut it, and so, cities
117280	121580	looked to build larger airports more suited for the jet age.
121580	126260	New York's primary airport shifted from LaGuardia to JFK, Chicago's to O'Hare,
126260	130620	DC's to Dulles, Paris's to Orly, and Tokyo's to Narita.
130620	134740	Each of these larger airports were further from their city centers, though, as that was
134740	136580	where there was space.
136580	141580	In many cases, the smaller, closer airports remained in operation for domestic or regional
141580	144580	flights, but in other cases, they closed down.
144580	149620	That's how we got to the reality today where many cities airports are an hour's trip
149620	151320	from the city center.
151320	156280	Of course, the impact of this distancing varied depending on the type of flights passengers
156280	157380	were taking.
157380	161820	For example, with a seven-hour flight from New York to London, the additional 45 or so
161820	166440	minutes it would take to get from Manhattan to JFK over LaGuardia only extends overall
166440	168740	travel time by about 7.5%.
168740	174140	However, on the one-hour flight from New York to DC, this would extend travel time by nearly
174140	175760	20%.
175760	180200	This trend of distancing of airports from their cities had little impact on long-haul
180200	184700	flights, but it had a huge effect on short-haul flights, meaning that planes were now less
184700	187820	competitive compared to cars or trains.
187820	193100	Nowadays, via JFK, it takes just 30 minutes more to travel from Manhattan to downtown
193100	197860	Charlotte than from Manhattan to downtown DC, even though Charlotte is more than twice
197860	198860	as far.
198860	204140	There are always diminishing marginal returns to air travel's efficiency as distance decreases,
204140	209040	but moving airports further from cities increases this to the point that, below a couple hundred
209040	214800	miles of distance, airplanes are not the fastest means of travel.
214800	217400	Helicopter airlines were supposed to solve that.
217400	223540	It was quite the niche business model concept, but the 1950s, 60s, and 70s saw a small wave
