start	end	text
0	4740	Australia is a nation defined by starkness.
4740	9420	Evoking images of the New World, and mirroring the process of Western expansion, European
9420	14240	settlers arrived on an untamed continent, pushed across vast wilderness, through hostile
14240	21620	indigenous populations, and established, then doggedly defended, a few narrow bands of civilization.
21620	26500	As the years rolled forward, cascading sequences of gold rushes and increasing need for agricultural
26500	31520	output pulled Australian society further from the convenient natural harbors where
31520	32820	it began.
32820	37220	With Man and Beast continuously working to reclaim the land they usurped, the increasingly
37220	41680	small and informal groups of settlers on the frontier relied on their more advanced weaponry
41680	44020	to maintain their foothold.
44020	48460	Guns matured into a standard-issue piece of kit for those straying beyond the established
48460	49460	towns.
49460	52620	A century on, that reality remained.
53060	57300	20th century Australians continued to leave the comfortable confines of coastal cities
57300	61240	in hope of transforming rural land into a living.
61240	65540	Those that found themselves in this less urban life, in turn, inherited a unique culture
65540	70300	and identity framed around individualism and rugged self-reliance.
70300	74720	These individuals were proud of their lifestyle, providing for their families and nation through
74720	77020	what they helped pull from the earth.
77060	83100	Yet, even as technology advanced, nature proved unruly, and so rural Australians continued
83100	88980	to rely on their weaponry to defend their crops or livestock or minerals from the other.
88980	94340	Among this population, guns had become conflated with culture—they were important tools,
94340	98300	they were pest control, they were family heirlooms, they were security.
98300	102620	But as urban Australia continued to develop alongside rural Australia, guns in cities
102620	105720	and suburbs began to seem superfluous.
105720	111160	Guns no longer worth the inherent risk of operating, and in untrained or uncertain hands,
111160	113280	potential disasters.
113280	118480	All the while, as this rift widened, the weapons grew more effective.
118480	123040	The destructive potential of a minute shrunk down to a second.
123040	128920	What was once but a cultural difference morphed into an issue—should personal gun ownership
128920	130260	be allowed?
130260	134380	Was the necessity of some stronger than the risk to most, as the potential for misuse
134380	137540	grew in step with technological development?
137540	142100	As the century progressed, as the cosmopolitan and countryside continued to drift apart,
142100	147780	the issue escalated, and the questions informing the issue begged for an answer.
147780	153300	Australia's gun debate—informed by history, landscape, and legacy, intensified by growing
153300	158440	urban-rural divide and the technology's ruthless efficiency—was at an impasse.
158440	163000	As one exasperated New South Wales politician voiced after a futile national gun summit
163000	164720	in 1987, quote,
164720	170060	It will take a massacre in Tasmania before we get gun reform in Australia.
170060	174440	Nearly a decade later, his words proved prophetic.
174440	180720	It was just after one in the afternoon, on the 28th of April, 1996, when a 28-year-old
180720	185960	man in a yellow Volvo entered the Port Arthur Historic Site.
185960	190100	Carrying what security described as a sports-type bag through the tourist-laden formal penal
190100	197460	colony, the man entered a busy café, ate a meal, then opened fire on unsuspecting tourists.
197460	203140	Within just 90 seconds, the gunman had killed 20 people with 29 bullets.
203140	206900	Leaving the café, the shooting then continued onto the streets.
206900	212100	By the time of his capture the following day, the gunman had killed 35 and injured another
212100	213340	23.
213340	218940	In the hands of the murderer throughout his rampage was a semi-automatic Colt AR-15—a
