start	end	text
0	3560	This video was made possible by CuriosityStream.
3560	7360	Watch the extended cut of this video, listen to my podcast, or watch our upcoming original
7360	12240	exclusively on Nebula, which you can get access to for $15 a year through the bundle deal
12240	16300	at CuriosityStream.com slash Wendover.
16300	21720	There was a time, earlier in 2020, when there was no news but COVID news.
21720	27520	There was this time when every word, of every story, of every front page, of every paper,
27520	34360	either directly or indirectly dealt with the coronavirus, but now, many months on, that
34360	36800	is no longer the case.
36800	41160	The world has awoken in a way that there is more of relevance.
41160	49260	However, in certain circles, in those most dramatically impacted, COVID is still everything.
49260	52480	That is certainly the case in aviation.
52480	57420	Almost nothing they do nowadays is not dictated by the ever-present backdrop of the centuries
57420	59460	first pandemic.
59460	63580	Most of what anyone has been talking about recently, including us, has been on how this
63580	68800	will fundamentally change the industry—on how the airline of 2029 will look markedly
68800	70540	different than that of 2019.
70540	77220	Today, though, in October 2020, we're nearing the one-year mark since when SARS-CoV-2 is
77220	80000	believed to have made the jump from animal to human.
80000	85280	With this amount of time behind us, the airline industry has already changed.
85280	91200	The airline of October 2020 is already different than the airline of October 2019.
91200	96620	So, to see what's happened already, we're going to look at eight flights that, for reasons
96620	101940	either big or small, would have been considered strange, unique, or even unimaginable just
101940	106600	a year ago today, but now are nothing out of the ordinary.
106600	111800	We'll start with the end for one aircraft—at least for a while.
111800	117620	On September 25th, Qantas's VH-OQI, an A380, flew from Dresden, Germany to Victorville,
117620	123160	California—a route that is quite clearly unordinary for an airline based in Australia,
123160	126360	but it's not the route that made this notable.
126360	130840	VH-OQI had been flown to Dresden in March for cabin refurbishment.
130840	135920	By September, though, it became clear that not only was the refurbishment unnecessary,
135920	138160	but that the aircraft was too.
138520	142640	Therefore, the decision was made to put this fleet of aircraft into long-term storage,
142640	147120	and this particular flight from Dresden would mark the last time a Qantas A380 would be
147120	151160	airborne until at least 2023.
151160	155960	This demonstrates that this is the soonest Qantas believes passenger demand could return
155960	160480	to 2019 levels—when the A380 served as its flagship aircraft.
160480	165520	However, the fact specifically that the airline would bother storing the aircraft, rather
165520	170460	than scrapping or selling it, also marks a hint of optimism.
170460	175400	Long-term aircraft storage is not cheap—it involves quite regular maintenance and monitoring,
175400	181320	and so this means that Qantas does truly believe that demand will return to the levels of before—an
181320	183480	opinion not held by all.
183480	187420	Qantas desperately needs every dollar they can get right now, so they would only spend
187420	191760	money on keeping their A380s if they truly believed that there was a significant need
191760	195000	for super-large aircraft in the medium-term future.
195000	199560	Therefore, while it's plenty easy to find negative signs for the future of aviation,
199560	204960	this flight does represent a belief that the good times will return, for airlines.
204960	210260	This next flight, meanwhile, didn't, and in some ways couldn't, exist a year ago.
210260	215520	On October 8th, Southwest Flight 1920 flew from Phoenix, Arizona to San Jose del Cabo,
215520	216520	Mexico.
216520	220360	This certainly looks like a fairly normal flight—just another big city to resort town
220360	224860	route—but the backstory behind it explains its peculiarity.
224860	230400	Mexico is one of the few major countries that has not restricted entry to Americans, so,
230400	235560	when the US emerged from lockdown in May and June, Cabo was one of the first international
235560	238740	destinations added back to Southwest's network.
238740	244100	This is, without a doubt, due to the fact that it's both open to Americans and, crucially,
244100	246120	a leisure destination.
246120	250360	Airplane demand is traditionally split into leisure and business, and these two segments
250360	253680	have had very different stories of recovery.
253680	259160	Leisure demand picked up quickly and sharply as soon as stay-at-home orders lifted, while
259160	262280	business demand has barely increased at all.
262280	267200	This is no surprise considering that, overwhelmingly, offices are still closed, conferences are
267200	270440	still cancelled, and clients are still cautious.
270440	274260	Therefore, airlines have had to respond by removing capacity from where people travel
274260	279180	for work and adding it to where people travel for vacation, such as Cabo.
279180	284500	Right now, there's a huge amount of capacity being dumped into the Florida and Mexico markets.
284500	289380	For example, in the coming winter, there are 24 flights a week scheduled between New York
289380	292960	and Cabo versus just two a week last winter.
292960	297620	Some leisure destinations have not only recovered faster, but have come out ahead versus how
297620	299260	they were before.
299260	303420	This is certainly the case with Cabo, and the October 8th flight from Phoenix represented
303420	307860	the first of many, with Southwest adding this city pair to their network.
307860	312960	Overall, leisure is winning, business is losing, and therefore airlines that have historically
312960	318180	been more leisure-oriented, like Southwest, have fared far better than their more business-oriented
318180	319940	competitors.
319940	324100	One of those more business-oriented competitors is United, which announced this new route
324100	327220	from Milwaukee, Wisconsin to Fort Myers, Florida.
327220	332340	Much like Southwest's flight, this probably doesn't seem that strange, but for United,
332340	336080	it's a dramatic deviation from the mean.
336080	341260	You see, like most legacy carriers, United has traditionally been a strict follower of
341260	344300	the hub-and-spoke school of network planning.
344300	349620	Every single flight they fly, with very limited exception, either originates or terminates
349620	355820	in DC, Newark, Chicago, Houston, Denver, Los Angeles, San Francisco, or Guam—their hub
355820	357180	airports.
357180	361780	This flight, though, along with a whole package of others announced at the same time, does
361780	362780	not.
362780	368480	United wouldn't break from precedent without a good reason, and so this must mean something.
368480	374100	Most likely, it indicates a mix of desperation and innovation—desperation because they're
374100	378600	now seriously competing on leisure routes, something they avoided before, and innovation
378600	384540	because United is reinventing its network design and getting a little more creative.
384540	389420	Creativity and innovation is what pushes an industry forward, and so, even if it comes
389420	394620	in the form of a route that is just ever so slightly different, it demonstrates a characteristic
394620	398980	that would be welcome once the downturn is over.
398980	402920	Airlines are now willing to find revenue wherever it might be, whereas in the past they might
402920	408740	have only chosen to pursue the most profitable form of revenue, so this flight—UA-2861,
