start	end	text
0	5160	A fraction of a second ago, the electricity powering your lights, your air conditioning,
5160	10400	your television, your refrigerator—nearly everything electric around you right now was
10400	16400	water, gas, wind, or some other form of energy, potentially hundreds or thousands of miles
16400	17680	away.
17680	22260	If you flip a light switch in Los Angeles, that could cause a turbine in Washington to
22260	24040	start spinning.
24040	28400	Electric grids are considered some of the single largest machines in existence—they
28400	34240	stretch across entire continents, but they're machines with absolutely zero slack.
34240	38380	With water systems, for example, there's some extra supply in a storage reservoir at
38380	42120	the treatment plant, and some extra supply in the pipes connecting the treatment plant
42120	46840	to your home—supply only has to roughly match demand, but that's not the case with
46840	47840	electricity.
47840	53720	Your lights, your TV, your microwave—everything plugged into the grid uses electricity produced
53720	55120	just moments ago.
55640	59120	For the sake of example, let's look at what it takes to turn on the lights at the public
59120	63120	library in the small town of Glenwood Springs, Colorado.
63120	68240	Now, what makes the relatively straightforward task of converting natural fuels or phenomena
68240	73520	into electric power difficult is the huge variability in demand from minute to minute
73520	75160	and month to month.
75160	77720	There are, however, some trends.
77720	82620	On an annual basis, the peaks correlate to climate—January represents the winter high
82620	87120	water mark as many homes and businesses turn on their electric heating, while July typically
87120	91580	ranks highest outright as the country battles summer heat with air conditioners.
91580	95400	The month-to-month variations are not that significant, though.
95400	100140	The difference between the highest and lowest demand months is less than a third.
100140	103220	Most of the variability happens across a given day.
103220	108340	In January, all regions of the US observe a two-peak daily demand trend, where electricity
108340	113140	use spikes around 7 AM as people turn up their thermostats and fire up lights and appliances
113140	115540	as they wake up and get ready for the day.
115540	120140	Then, demand peaks again when people return from work in the evening and do the same.
120140	124860	Meanwhile, in July, energy use is highest in the late afternoon or early evening, but
124860	127060	this does depend on the region.
127060	132020	For example, in the sweltering southwest, usage peaks around 4 PM—around the hottest
132020	135820	hour of the afternoon, when air conditioners have to work the hardest.
135820	139400	In the more temperate northwest, though, which includes Colorado and that Glenwood
139400	143900	Springs Public Library, fewer buildings have air conditioning, so demand peaks around 6
143900	149060	PM—pulled back by post-work use of appliances, lights, televisions, and more.
149060	153680	These trends then get further complicated by holidays and special events—for example,
153680	158660	on Super Bowl Sunday in the US, demand plummets for a few hours as people turn off the lights,
158660	162700	stop cooking, and gather together at others' homes to watch the big game.
162700	167980	This is all to say, when forecasting demand, utilities need to factor in the hour, day,
167980	170900	season, location, and plenty more.
170900	177540	Now, with whatever demand materializes, utilities then need to essentially instantly match supply.
177540	181740	To do this, they layer different energy sources on top of each other.
181740	185220	Often, the lowest layer is nuclear power.
185220	189820	Nuclear power stations aren't designed to be able to turn off and on easily—it would
189820	194140	take the better part of a day to shut down and start up again—so it's rather impractical
194140	196940	to operate these in response to demand.
196940	201800	In addition, considering how massively expensive their construction is, it would be economically
201800	204340	inefficient to let these stations run idle.
204340	209600	Therefore, they'll run nearly continuously for the entirety of their service lives, except
209600	211480	for during planned maintenance.
211480	215940	This means they provide the most stable supply of electricity 24-7.
215940	222260	Colorado no longer operates any nuclear power plants, but it does have six of the next layer—coal
222260	223500	power stations.
223500	227820	Like nuclear, most of these coal plants cannot be fired up quickly, as they take some time
227820	232420	to get up to temperature, so utilities will also run them essentially continuously.
232420	236740	Coal and nuclear combined typically fulfill what's called the baseload.
236740	241580	Their continuous production essentially equals the valley of demand—they'll make the
241580	244920	minimum amount of power needed at a point in the day.
244920	250580	So then, on top of that, utilities need production methods that can fire up and shut down far
250580	255340	faster—they need to be able to produce the power to operate all those AC units in hot
255340	257060	summer afternoons.
257060	261300	The bulk of this job is completed by natural gas-fired plants.
261300	267980	Of the 25 in Colorado, 13 of these stations generate using a simple cycle combustion turbine.
267980	273260	This is the simplest means of turning natural gas into electricity—much like a jet engine,
273260	278000	the fuel is used to turn a turbine, which turns a generator, which produces electricity.
278000	282660	More advanced natural gas power plants recover the hot exhaust to convert it into electricity
282660	287120	too, but the startup process for these takes longer, so simple cycle stations are used
287120	290120	for applications where speed is key.
290120	294260	Most can reach full power within 15 minutes, making them an effective tool to respond to
294260	296340	those short peaks in demand.
296340	302220	Nuclear, coal, and natural gas are some of the more traditional means of generating electricity.
302220	307220	The recent proliferation of renewable energy sources, though, has kickstarted a reinvention
307220	310220	of this system of baseload and peaker plants.
310220	315700	That's because, when wind and solar generating stations can make power, that power is essentially
315700	321420	free—meaning, there's essentially no additional, variable cost to generate power once the panels
321420	322980	or turbines are installed.
322980	328160	That's not the case with natural gas-fired plants, for example, as the gas itself represents
328160	330020	one of their primary costs.
330020	334800	So, this essentially creates a new bottom layer to the energy mix, but it's a bottom
334800	338120	layer that's uncontrollably variable.
338120	342420	One sunny, windy day could mean that a state has an excess of electricity when added to
342420	346900	its baseload sources, while one cloudy, windless day could mean that the peaker plants have
346900	349140	to operate at full force.
349140	353620	Nuclear and onshore wind power are now some of the cheapest sources of electricity, but
353620	358180	because they rely on natural phenomena, they can't match supply to demand the way that
358180	361860	the traditional nuclear, coal, natural gas trifecta can.
361860	366940	Therefore, grids are being reinvented so that supply doesn't have to match demand—at
366940	368960	least minute to minute.
368960	374580	Of course, the way to do that is with storage, but storing electricity is not easy.
374580	379760	The average American household uses about 30 kilowatt-hours of electricity per day.
379760	384960	Lithium-ion batteries currently cost around $130 per kilowatt-hour, meaning one day storage
384960	389980	for one household would cost around $3,900 in batteries—and that's excluding all
389980	394060	the additional infrastructure needed to make such an installation possible.
394060	398420	Considering the average American household pays less than half of that per year in electricity
398420	402780	bills, installing such a system grid-wide would be economically impractical.
