start	end	text
880	5600	Few of the monsters that evolution created have been so successful at hurting us
5600	8640	as the variola virus, responsible for smallpox.
9280	12560	The carnage it caused was so terrible and merciless
12560	16640	that it compelled humankind, for the first time, to act truly globally.
17280	21360	It was one of the greatest wins of our species over the ancient powers of nature,
21360	23600	all made possible by cows.
30960	37040	Variola is a virus, a tiny machine that only seeks to reproduce itself.
37680	40080	Evidence of it has been found in Egyptian mummies
40080	43120	and in writing for India and China as old as 3,000 years.
43840	48240	1,300 years ago, smallpox killed up to a third of Japan's population.
48800	53120	By the 1600s, it was one of the major causes of death worldwide.
53120	56400	In late 18th century Europe, it killed 400,000 a year.
57040	60240	Every third person who went blind did so because of this virus.
60880	64160	Even in the 20th century, a hot second ago in history,
64160	66400	it still killed at least 300 million people.
66960	71680	Smallpox is an abusive monster that returns over and over and over again,
71680	74880	killing, maiming and disrupting societies.
75680	78960	How could variola be so incredibly deadly for so long
78960	81520	and how could we have forgotten its horror so quickly?
82240	85120	In 2023, there are only two laboratories left
85120	87920	where the living virus is officially stored for research
87920	91360	in Kosovo, Russia and Atlanta, USA.
91360	94800	Which is certainly a good idea because what could possibly go wrong?
95520	98480	Let's say that through an unfortunate series of events,
98480	101120	the virus got out and you got infected.
101120	102080	What would happen to you?
103200	104640	How smallpox kills.
106080	110400	Variola is highly infectious and catches a ride in small droplets you breathe in.
110400	113440	Immediately, it begins to infect the cells that line your throat
113440	115280	and starts killing them to cause chaos.
116000	116500	Why?
117360	119600	To trick your body into giving it a lift.
120480	122800	Whenever cells in your body die a violent death,
122800	126720	your immune cells immediately stream to the site of infection to help out.
126720	129760	In this case, that backfires horribly.
129760	134720	As immune cells begin cleaning up dead cells, eating viruses and killing infected cells,
134720	137920	variola infects a crucial cell of your immune system,
137920	142160	your dendritic cells, intelligence cells that gather information
142160	143920	and leave the battlefield to get help.
144560	148880	They enter your lymphatic system, a highway network that spans your entire body
148880	150960	and connects hundreds of immune bases.
151600	154480	In these bases, your heavy defenses are activated
154480	157440	and should be the last place an enemy would want to invade,
157440	159440	but variola wants to get here.
160240	164560	For about 12 days, the virus quietly infects civilian and immune cells,
164560	167520	jumping from cell to cell, infecting more and more of them.
167920	173200	At some point, a critical threshold is reached and variola starts its attack for real.
173840	178240	Millions of viruses use the lymphatic highway to spill into your blood and organs,
178240	179680	infecting your whole body.
180560	183200	Suddenly, variola is everywhere.
184080	188560	But despite this global attack, your adaptive immune system is struggling to wake up.
188560	192640	Your immune cells look for and use critical transmitters called interferons
192640	194560	to mobilize the body against viruses.
195200	200880	Interferons, as the name suggests, interfere, significantly slowing down virus infections,
200880	203840	but also quickly activating millions of antivirus weapons.
204720	208080	But variola is able to deactivate interferons,
208080	210880	which stuns the antivirus side of your defense system.
211520	214640	Other systems would usually help, like the complement system,
214640	217760	a sort of mobile minefield that can destroy viruses.
217760	220240	But variola manages to shut this down too.
220880	224400	And so, with little resistance, variola spreads everywhere.
224560	227440	And infects billions of your cells all over your body.
228000	230080	Among the infected are your capillaries,
230080	233360	the smallest blood vessels in your body, which die in great numbers.
234000	237760	All this death activates an immune cell that you really don't need right now,
237760	240320	but that's attracted by death, the neutrophil.
240960	243680	Normally, an efficient killer of invaders great and small,
