start	end	text
0	6720	Getting to space is hard. Right now, it's like going up a mountain on a unicycle with
6720	12240	a backpack full of explosives. Incredibly slow, you can't transport a lot of stuff,
12240	18560	and you might die. A rocket needs to reach a velocity of about 40,000 km an hour to escape
18560	24280	from Earth. To get to that speed, rockets are mostly containers for fuel, with a tiny
24280	29400	tip of payload. This is bad if you want to go to other planet, because you need a lot
29400	35440	of heavy stuff if you want to survive and maybe even come back. So is there a way to
35440	48840	get to space with less fuel and more payload?
48840	54680	A nice thing that solved most of our transport problems on Earth is what you call infrastructure.
54680	59600	Whether it's roads for cars, ports for ships, or rails for trains, we've made it easier
59600	66140	to get to places. We can apply the same solution to space travel. Space infrastructure will
66140	73240	make getting into orbit and out to the Moon, Mars, and beyond easier and cheaper. Great,
73240	78600	but what exactly is space infrastructure? Unlike an Earth space elevator, which is currently
78600	84640	science fiction, there is a simple yet promising technology that does not require new science
84640	89960	or magic materials or huge investments and that has been tested successfully in orbit
89960	98240	already. A cable and a weight, known as a tether. The concept is so simple, it's surprising.
98240	103640	What if we put tethers, hundreds or thousands of kilometers long, into space and had spacecraft
103640	110480	use them as ladders to climb to higher altitudes and gain speed? This concept is known as the
110480	115820	Skyhook. It works even better if we make it spin. The counterweight holds a long cable
115820	121160	in place while it rotates around a circle. A rotating tether slows down its tip relative
121160	126040	to the ground at the bottom and speeds it up at the top like a catapult. This means
126040	130460	that you can transfer energy from the tether and get a massive boost when released, more
130460	136320	or less for free, equal to twice the tether's rotation velocity. Specialized fibers already
136320	141320	exist that can survive the extraordinary stresses a Skyhook would be faced with. To
141320	146140	protect against cuts and collisions from debris and meteorites, we can thread our tether into
146140	151720	a web of redundant fibers. Since our Skyhook would pass over the same spot many times a
151720	157280	day, this would allow small reusable shuttles to catch up with it. Of course, it's not that
157280	161800	easy. At its lowest point, the tether's tip is dashing through the atmosphere at around
161800	166720	12,000 kilometers per hour. Because of Earth's atmosphere, we can't lower the Skyhook too
166720	173280	much or it will get too hot from air friction. So it will dip to a height of 80 to 150 kilometers
173280	179320	and no lower. To match this, we'll need specialized spacecraft that can get to the tether. While
179320	184060	this isn't exactly easy, it's still much cheaper than getting a big tin can filled
184060	189240	with rocket fuel to go 40,000 kilometers an hour. Catching the tip will be a challenge
189240	194640	too. There's only a short time window of 60 to 90 seconds to find a tiny thing in the
194640	200680	sky moving at Mach 12. To make this easier, the tip could have a sort of fishing line
200680	206260	a kilometer long with a navigation drone that helps the spacecraft connect. Another challenge
206260	211240	is keeping our Skyhook in orbit. As more and more ships latch onto it and pull themselves
211240	216180	up, they use up the momentum that keeps it in place. If we don't do anything, it will
216180	221900	slow down and crash into the atmosphere. And here we can cheat the universe a bit.
221900	228660	The Skyhook is a battery of orbital energy. It's possible to balance the payloads coming in and
228660	234860	being sent off. Arriving ships bringing humans and materials home to Earth add energy to the tether,
234860	240660	which it can give to other ships departing into space. This way the tether doesn't lose any energy.
240660	246220	The more we use it, the cheaper it gets. If we're still losing energy with each boost,
246220	250980	we can recover it with small electric or chemical engines that regularly correct the tether's
250980	256180	position. A set of tethers, one around Earth and one around Mars, could make trips between the
256180	261860	planets fast, straightforward, and low-cost compared to rockets. The Earth tether would sit
