start	end	text
0	4000	Human history is told by the energy we use.
4000	9000	At first we had to use our muscles, then we learned to control fire.
9000	16000	We industrialized the world using coal and oil and entered the atomic age when we learned how to split a nucleus.
16000	23000	At each step we increased our energy harvest to a scale never seen before and advanced as a species.
23000	31000	Currently, we're slowly transitioning to renewables and if we're lucky, fusion energy will become viable in the future.
31000	40000	As humanity progresses further, if we don't destroy ourselves or our habitat, we will likely gain complete control of our planet's resources.
40000	46000	At that stage, we'll probably begin to look outwards for new places to expand into.
46000	54000	But space is hard and establishing a serious human presence in the solar system will require ungodly amounts of energy.
54000	57000	Luckily, we know where to find it.
57000	60000	The Sun, the ultimate source of energy.
60000	66000	A furnace 100 quintillion times more powerful than our most efficient nuclear reactor.
66000	71000	It shines with the energy of a trillion nuclear bombs per second.
71000	76000	So how do we get this energy? Not some of it, all of it.
85000	92000	If we want to collect the most energy physically possible, we'll have to build the largest, most ambitious structure in the universe.
92000	99000	The Dyson Sphere, a megastructure that encompasses a whole star to capture its power output.
99000	106000	For an intelligent species, building a Dyson Sphere is a technological leap on a par with the discovery of fire for our ancestors.
106000	111000	The transition from a planetary species to an interstellar species.
111000	117000	It would usher in an age of exploration and expansion on a scale we can barely imagine.
117000	119000	So, what would it look like?
119000	123000	A solid shell enveloping the Sun is probably not the way to go.
123000	128000	A large rigid body like that would be vulnerable to impacts, possibly shattering.
128000	132000	It would be liable to drift and could crash straight into the Sun.
132000	142000	A more viable design for a Dyson Sphere might be a Dyson Swarm, an enormous set of orbiting panels that collect the Sun's power and beam it elsewhere.
142000	146000	Such a swarm would give humanity basically unlimited energy.
146000	149000	But building it won't be easy.
149000	153000	The Sun is very big, so we need a lot of satellites.
153000	159000	If each satellite is a square kilometer, we'd need around 30 quadrillion to surround the Sun.
159000	165000	Even if they're built as lightly as possible, we need about 100 quintillion tons of material.
165000	172000	And then we need the energy to actually put the parts together and deliver them to their positions around the Sun.
172000	178000	On top of all that, we need to have a permanent infrastructure set up in space to start building.
178000	185000	Let's assume for the purposes of this video that our descendants will take care of that and want to create the megastructure.
185000	188000	We can sort the challenges into three main categories.
188000	191000	Materials, design, and energy.
191000	199000	To get the vast amounts of raw materials required for our Dyson Swarm, we'll have to largely disassemble a whole planet.
199000	202000	Of the planets available, Mercury is the best candidate.
202000	206000	It's the closest to the Sun and very metal-rich.
206000	209000	Close to the Sun also means less moving stuff around.
