start	end	text
720	5840	Mr. President, nuclear missiles will strike our country in 14 minutes.
5840	8880	I know it's your first day in office, I'm going to walk you through it,
8880	12880	but you're the only one who can authorize our nuclear retaliation in response,
12880	15840	and you've only got a few minutes to make a decision.
15840	19440	As you know, tensions have escalated rapidly in the past few days.
19440	24000	Today's Joint Allied Aerial Defense Exercise began just minutes before we detected the launch.
24000	25680	A simple misunderstanding, maybe.
26240	31040	We assume the sudden attack is meant to neutralize as many of our nuclear forces as possible.
31040	34640	But that doesn't matter now, missiles are in the air, and we can't shoot all of them down.
35200	40800	Why? Because intercontinental ballistic missiles are basically rockets launched into space
40800	46080	before reentering the atmosphere over their target and releasing many different warheads,
46080	49120	higher and faster than anything you can send after them.
49120	50960	We need to get you to the bunker.
50960	56880	Here's what we know.
56880	62000	Four minutes ago, our new infrared monitoring satellites detected 112 bursts
62000	65520	consistent with ICBM launches from the enemy's inner territories.
65520	70000	For some reason, only 20 of their 80 underground nuclear silos seemed to have fired,
70000	73360	so we suspect most of them were transporter erector launchers.
73360	75760	You know, trucks with big missiles on them.
75760	78560	It's unclear why they didn't use all their silos.
78560	83040	They might just not work after more than 30 years, or they might be keeping them in reserve.
83040	85840	The fog of war is keeping many things unclear.
85840	91280	Aerospace Command thinks the ICBMs are targeting our nuclear command centers, silos,
91280	95920	and major air force and navy bases, ending this war before we have a chance to act.
96480	101600	The enemy's strategic doctrine prioritizes military targets and our nuclear weapon systems,
101600	105360	but their secondary targets are our industry and infrastructure,
105360	108720	all refineries, power stations, and deep-water ports,
108720	112400	all located near or in major population centers.
113360	116080	We won't know the exact casualty count for a few weeks.
116720	119600	Deaths from the blast and burns may be a few million today.
119600	123920	It's morning rush hour, and there's not much to be done for people stuck in traffic.
123920	126480	People in major metro areas can't really evacuate,
126480	130640	but emergency broadcasts are being sent out to shelter in place and away from windows.
131200	133840	Radiation exposure for intact population centers
133840	136480	is highly dependent on the weather over the next week.
136480	139680	We might be looking at dozens of millions of deaths by the end of the month.
140240	145360	For the next few minutes, we can still respond, but you need to decide.
146080	149760	We've got 1,500 warheads across our silos, bombers, and submarines.
149760	153280	The 400 in silos need to be launched now before they get taken out.
153920	158800	46 nuclear-capable bombers on high alert can be ready to take off in two minutes,
158800	162160	though we need to transmit the order right away to get them out of the blast radius
162160	163840	if you want to consider using them.
